mun_code,mun_name,efficient_measure,wellfare_measure,Opportunity_measure,Province
EC443,Mbizana,0.9997341376,0.092283048,0.3811720698,Eastern Cape
EC444,Ntabankulu,0.998090979,0.086652323,0.3136920011,Eastern Cape
EKU,Ekurhuleni,0.9999595223,0.680643316,0.4794362872,Gauteng
ETH,eThekwini,0.9999184632,0.626096942,0.4791218498,KwaZulu-Natal
FS161,Letsemeng,0.9977617389,0.650471416,0.6340707965,Free State
FS162,Kopanong,0.9967253105,0.673422829,0.5473180731,Free State
FS163,Mohokare,0.9974007277,0.632096414,0.4957386364,Free State
FS164,Naledi,0.9980702051,0.675822814,0.5264084507,Free State
FS181,Masilonyana,0.9945251186,0.649809488,0.3755458515,Free State
FS182,Tokologo,0.9940070466,0.505759785,0.5440528634,Free State
FS183,Tswelopele,0.9997946452,0.672778524,0.42432,Free State
FS184,Matjhabeng,0.9959600984,0.68203028,0.3523526325,Free State
FS185,Nala,0.9988403344,0.637097948,0.4050496331,Free State
FS191,Setsoto,0.9984281834,0.595088218,0.4028387969,Free State
FS192,Dihlabeng,0.9993748811,0.612852174,0.4657516675,Free State
FS193,Nketoana,0.9960600319,0.584591869,0.4515143095,Free State
FS194,Maluti a Phofung,0.9989386232,0.512304692,0.3321323652,Free State
FS195,Phumelela,0.9970543192,0.548109908,0.5624762628,Free State
FS196,Mantsopa,0.9984129179,0.638870691,0.490652673,Free State
FS201,Moqhaka,0.9984931429,0.693923669,0.3846385845,Free State
FS203,Ngwathe,0.9988847629,0.648358414,0.4218341812,Free State
FS204,Metsimaholo,0.9988985455,0.662229781,0.4403266332,Free State
FS205,Mafube,0.9983500853,0.634771649,0.415001537,Free State
GT421,Emfuleni,0.9998621431,0.720121079,0.398021982,Gauteng
GT422,Midvaal,0.9999180829,0.631948647,0.6475069252,Gauteng
GT423,Lesedi,0.9997109379,0.677683671,0.5400527558,Gauteng
GT481,Mogale City,0.9999024728,0.674589613,0.5374576922,Gauteng
