Wages_Salaries,75751532.5212221
emp_social_contributions,10626610.5419345
Councillor_Remuneration,9725172.78791601
Debt_Impairment,17689115.5175106
Collection_Costs,182360.328198606
Depreciation_Impairment,45551724.378402
IntExp_ExtBorrowing,3444451.55272832
Redemption_Payment,1681.9980620155
Bulk_Purchases,40507772.3724324
Other_Materials,7838004.68644412
Contracted_Services,14690443.1944753
Grants_Subsedies,13439702.6955354
Other_Expenditure,72580561.8988065
Loss_disposalPPE,1604314.8424372
Provision_Contribution,507508.12326187
