Wages_Salaries,327882096.636824
emp_social_contributions,37369149.8141892
Councillor_Remuneration,11295023.3445946
Debt_Impairment,91427446
Collection_Costs,2971781.26182432
Depreciation_Impairment,132673616.288851
IntExp_ExtBorrowing,41367218.4577703
Redemption_Payment,34588.5760135135
Bulk_Purchases,435962648.947635
Other_Materials,32185643.1452703
Contracted_Services,95066228.527027
Grants_Subsedies,20324606.8631757
Other_Expenditure,178328697.839527
Loss_disposalPPE,5426803.59628378
Provision_Contribution,725356.570945946
