geo_code,name,total,Do not know,Given birth,Never given birth,Unspecified,province
KZN242,Nqutu,18321,11,6718,9485,2107,KwaZulu-Natal
KZN244,Msinga,19773,23,5702,9562,4486,KwaZulu-Natal
KZN245,Umvoti,11358,17,3337,5634,2370,KwaZulu-Natal
KZN252,Newcastle,38157,45,12740,20136,5236,KwaZulu-Natal
KZN254,Dannhauser,10793,13,3984,5706,1090,KwaZulu-Natal
KZN261,eDumbe,8603,34,3278,3721,1570,KwaZulu-Natal
KZN262,UPhongolo,14381,33,5611,6526,2211,KwaZulu-Natal
KZN263,Abaqulusi,22006,47,7541,9742,4676,KwaZulu-Natal
KZN265,Nongoma,22890,19,7608,10915,4348,KwaZulu-Natal
KZN266,Ulundi,21262,41,6371,10284,4566,KwaZulu-Natal
KZN272,Jozini,21591,41,7330,9932,4288,KwaZulu-Natal
KZN273,The Big 5 False Bay,3841,19,1183,1526,1113,KwaZulu-Natal
KZN274,Hlabisa,8329,19,2660,3861,1789,KwaZulu-Natal
KZN275,Mtubatuba,19425,61,6369,9214,3781,KwaZulu-Natal
KZN281,Mfolozi,13373,17,4393,5988,2975,KwaZulu-Natal
KZN283,Ntambanana,8463,8,2591,4165,1699,KwaZulu-Natal
KZN284,uMlalazi,23315,51,7015,11588,4661,KwaZulu-Natal
KZN285,Mthonjaneni,5023,2,1690,2583,748,KwaZulu-Natal
KZN286,Nkandla,13016,34,3648,6355,2979,KwaZulu-Natal
KZN291,Mandeni,14803,32,5084,7155,2532,KwaZulu-Natal
KZN293,Ndwedwe,14991,23,4913,7429,2626,KwaZulu-Natal
KZN294,Maphumulo,11044,21,2929,5881,2213,KwaZulu-Natal
KZN431,Ingwe,10527,17,3877,4998,1635,KwaZulu-Natal
KZN432,Kwa Sani,1041,67,546,319,109,KwaZulu-Natal
KZN434,Ubuhlebezwe,10631,10,3540,4768,2313,KwaZulu-Natal
KZN435,Umzimkhulu,20709,18,7375,10607,2709,Limpopo
LIM331,Greater Giyani,29525,46,10855,15648,2976,Limpopo
LIM332,Greater Letaba,24821,31,7410,14884,2496,Limpopo
LIM333,Greater Tzaneen,41528,43,12864,23762,4859,Limpopo
LIM335,Maruleng,10494,16,3174,5805,1499,Limpopo
LIM341,Musina,6771,14,3345,2624,788,Limpopo
LIM342,Mutale,10361,9,3614,5667,1071,Limpopo
