geo_code,name,total,At least one employed adult,No employed adult,province
LIM331,Greater Giyani,55771,17794,37977,Limpopo
LIM332,Greater Letaba,48175,15246,32929,Limpopo
LIM333,Greater Tzaneen,81069,35693,45376,Limpopo
LIM335,Maruleng,20194,6324,13870,Limpopo
LIM341,Musina,12713,8856,3857,Limpopo
LIM342,Mutale,19775,6535,13240,Limpopo
LIM343,Thulamela,137935,51674,86261,Limpopo
LIM344,Makhado,106471,44255,62216,Limpopo
LIM351,Blouberg,35143,8353,26790,Limpopo
LIM353,Molemole,21737,7235,14502,Limpopo
LIM354,Polokwane,129342,71259,58083,Limpopo
LIM355,Lepele-Nkumpi,46219,15363,30856,Limpopo
LIM361,Thabazimbi,12877,9856,3021,Limpopo
LIM362,Lephalale,22125,13783,8342,Limpopo
LIM365,Modimolle,12245,8151,4094,Limpopo
LIM366,Bela-Bela,11181,7944,3237,Eastern Cape
BUF,Buffalo City,134844,79045,55799,Eastern Cape
EC101,Camdeboo,8206,5625,2581,Eastern Cape
EC105,Ndlambe,9437,5654,3783,Eastern Cape
EC122,Mnquma,47063,13000,34063,Eastern Cape
EC128,Nxuba,3816,1977,1839,Eastern Cape
EC135,Intsika Yethu,25313,5677,19636,Eastern Cape
EC144,Gariep,5718,3465,2253,Eastern Cape
EC157,King Sabata Dalindyebo,98031,34969,63062,Eastern Cape
NMA,Nelson Mandela Bay,207454,129609,77845,Eastern Cape
FS164,Naledi,4691,2096,2595,Free State
FS191,Setsoto,20934,9924,11010,Free State
FS196,Mantsopa,9471,5407,4064,Free State
MAN,Mangaung,145591,92507,53084,Free State
EKU,Ekurhuleni,561836,413641,148195,Gauteng
GT422,Midvaal,14948,12236,2712,Gauteng
GT484,Merafong City,33008,23747,9261,Gauteng
JHB,City of Johannesburg,764052,570203,193849,Gauteng
TSH,City of Tshwane,522354,383185,139169,Gauteng
ETH,eThekwini,693983,465005,228978,KwaZulu-Natal
KZN216,Hibiscus Coast,48912,31469,17443,KwaZulu-Natal
KZN227,Richmond,12450,6580,5870,KwaZulu-Natal
KZN241,Endumeni,12461,7786,4675,KwaZulu-Natal
KZN253,Emadlangeni,6375,3654,2721,KwaZulu-Natal
KZN271,Umhlabuyalingana,32957,8405,24552,KwaZulu-Natal
KZN282,uMhlathuze,68499,43122,25377,KwaZulu-Natal
KZN292,KwaDukuza,45149,31496,13653,KwaZulu-Natal
KZN433,Greater Kokstad,13438,8580,4858,KwaZulu-Natal
LIM334,Ba-Phalaborwa,29695,17010,12685,KwaZulu-Natal
LIM352,Aganang,26391,7681,18710,Limpopo
LIM364,Mookgopong,6030,3993,2037,Limpopo
LIM367,Mogalakwena,62232,25453,36779,Limpopo
LIM471,Ephraim Mogale,24718,8210,16508,Limpopo
LIM472,Elias Motsoaledi,51203,17382,33821,Limpopo
LIM473,Makhuduthamaga,55113,12400,42713,Limpopo
LIM474,Fetakgomo,18914,5729,13185,Limpopo
LIM475,Greater Tubatse,70307,28731,41576,Limpopo
MP301,Albert Luthuli,40684,17788,22896,Limpopo
MP302,Msukaligwa,28422,19254,9168,Mpumalanga
MP304,Pixley Ka Seme,15662,7284,8378,Mpumalanga
MP305,Lekwa,20606,14917,5689,Mpumalanga
MP306,Dipaleseng,7842,4857,2985,Mpumalanga
MP307,Govan Mbeki,55918,41843,14075,Mpumalanga
MP312,Emalahleni,74651,57658,16993,Mpumalanga
MP313,Steve Tshwete,40865,32789,8076,Mpumalanga
MP314,Emakhazeni,8383,5700,2683,Mpumalanga
MP315,Thembisile,63929,38131,25798,Mpumalanga
MP316,Dr JS Moroka,50997,22242,28755,Mpumalanga
MP321,Thaba Chweu,16509,11850,4659,Mpumalanga
MP323,Umjindi,11900,8722,3178,Mpumalanga
