geo_code,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
ZA,South Africa,1676105,45301,17382,27919,1251607,546152,705455,222118,76135,145983,157079,62851,94228,South Africa
WC044,George,8609,221,88,133,6805,3147,3658,1132,431,701,451,202,249,Western Cape
WC047,Bitou,1841,37,20,17,1367,591,776,224,61,163,213,77,136,Western Cape
WC048,Knysna,2664,78,33,45,1957,862,1095,296,100,196,333,137,196,Western Cape
WC051,Laingsburg,437,9,2,7,392,147,245,23,13,10,13,7,6,Western Cape
WC052,Prince Albert,562,9,7,2,419,115,304,92,26,66,42,22,20,Western Cape
WC053,Beaufort West,1543,44,22,22,1178,483,695,225,74,151,96,55,41,Western Cape
MP303,Mkhondo,4648,283,101,182,3038,1276,1762,1015,352,663,312,102,210,Mpumalanga
MP311,Victor Khanye,3102,154,63,91,2144,716,1428,471,121,350,333,91,242,Mpumalanga
MP322,Mbombela,20294,499,177,322,14142,6325,7817,3391,1141,2250,2262,846,1416,North West
NW373,Rustenburg,23111,639,208,431,16979,5717,11262,2998,774,2224,2495,770,1725,North West
NW384,Ditsobotla,4737,69,27,42,2982,943,2039,869,131,738,817,161,656,North West
NW396,Lekwa-Teemane,1541,88,21,67,888,343,545,303,83,220,262,49,213,Northern Cape
NC062,Nama Khoi,1521,19,8,11,1034,468,566,399,162,237,69,22,47,Northern Cape
NC071,Ubuntu,865,19,4,15,581,231,350,201,50,151,64,34,30,Northern Cape
NC077,Siyathemba,839,6,1,5,647,190,457,112,21,91,74,45,29,Northern Cape
NC085,Tsantsabane,1785,52,13,39,1122,391,731,448,107,341,163,71,92,Northern Cape
NC094,Phokwane,1510,51,21,30,1016,411,605,278,71,207,165,54,111,Western Cape
WC012,Cederberg,3244,79,35,44,2781,1317,1464,287,138,149,97,53,44,Western Cape
WC024,Stellenbosch,9311,253,123,130,7081,3409,3672,1340,558,782,637,281,356,Western Cape
WC033,Cape Agulhas,1917,82,31,51,1541,666,875,215,90,125,79,33,46,Western Cape
WC045,Oudtshoorn,3126,62,12,50,2511,1015,1496,410,149,261,143,60,83,Eastern Cape
EC102,Blue Crane Route,937,38,15,23,526,198,328,241,61,180,132,39,93,Eastern Cape
EC103,Ikwezi,423,7,2,5,241,117,124,111,42,69,64,27,37,Eastern Cape
EC104,Makana,2280,70,32,38,1499,682,817,425,165,260,286,116,170,Eastern Cape
