geo_code,name,total,Income-poor,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+,province
EC154,Port St Johns,136284,120938,56498,27475,10730,7420,6892,5407,6516,15346,4216,2608,2001,1756,1362,1271,2132,Eastern Cape
EC155,Nyandeni,254930,220483,99009,50277,21567,14838,13120,9924,11748,34447,9799,6621,4756,4081,3048,2452,3690,Eastern Cape
EC156,Mhlontlo,167292,141337,60483,31533,12562,9276,9589,8143,9751,25955,6795,4361,3150,3041,2593,2418,3597,Eastern Cape
EC441,Matatiele,173316,138878,60807,28901,13198,9490,9242,8177,9063,34438,9456,5431,4616,4037,3281,3138,4479,Eastern Cape
EC442,Umzimvubu,166250,135379,59482,28901,13037,9227,8554,7626,8552,30871,8588,5080,4298,3472,2859,2638,3936,Eastern Cape
EC443,Mbizana,245533,211776,101170,46350,19192,13317,11961,8532,11254,33757,11016,6409,4548,3804,2799,2077,3104,Eastern Cape
EC444,Ntabankulu,110048,97444,44100,21534,9313,5953,5859,4759,5926,12604,3598,2059,1513,1426,1111,1063,1834,Free State
FS161,Letsemeng,34091,21387,8143,4264,2797,2297,1903,1171,812,12704,2745,1991,2244,1909,1524,1215,1076,Free State
FS162,Kopanong,43410,26970,10121,5360,3554,2837,2220,1574,1304,16440,3362,2221,2926,2420,1996,1715,1800,Free State
FS163,Mohokare,30820,21624,8468,4548,2942,2065,1532,1054,1015,9196,1781,1259,1593,1385,1140,1088,950,Free State
FS181,Masilonyana,52386,36352,13941,7133,5042,3721,2759,2031,1725,16034,3397,2361,2638,2450,2041,1546,1601,Free State
FS182,Tokologo,25833,17714,6954,3410,2364,1931,1491,902,662,8119,1458,1109,1450,1329,1039,930,804,Free State
FS183,Tswelopele,43309,32282,12864,6494,4332,2974,2465,1777,1376,11027,2311,1621,1949,1726,1356,1054,1010,Free State
FS184,Matjhabeng,341514,186669,65456,39895,27196,18871,17191,10332,7728,154845,34526,24508,27109,23412,22750,12674,9866,Free State
FS185,Nala,72727,53834,20509,10634,7588,5099,4167,3250,2587,18893,4209,2745,3160,2630,2355,1989,1805,Free State
FS192,Dihlabeng,118691,69821,25531,14023,10717,7516,5519,3708,2807,48870,11027,7064,9051,7470,6133,4260,3865,Free State
FS193,Nketoana,56608,40483,15445,8529,5715,3757,3132,2260,1645,16125,3404,2228,2736,2278,2090,1714,1675,Free State
FS194,Maluti a Phofung,314086,236976,89269,52106,31639,22598,17364,12637,11363,77110,18589,13308,12015,10390,9610,6671,6527,Free State
FS195,Phumelela,43493,31314,11749,6365,4227,3137,2634,1789,1413,12179,2375,1808,2124,1705,1579,1283,1305,Free State
FS201,Moqhaka,138455,83647,29396,16764,11736,8906,7248,5341,4256,54808,11379,7814,9183,8059,7315,5822,5236,Free State
FS203,Ngwathe,107400,72082,26918,14005,10089,7330,5792,4257,3691,35318,7044,4720,5780,4868,4245,3937,4724,Free State
FS204,Metsimaholo,123837,61901,22078,12502,10203,7043,4852,2990,2233,61936,13288,10384,13002,9520,7422,4866,3454,Free State
FS205,Mafube,51992,36248,13860,7423,4961,3440,2851,2022,1691,15744,3351,2223,2764,2242,1926,1476,1762,Gauteng
GT421,Emfuleni,611190,296162,98247,60326,46797,34836,25029,17787,13140,315028,68244,54015,62182,49074,38277,24877,18359,Gauteng
GT423,Lesedi,84524,39603,14136,7971,6143,4601,3137,2023,1592,44921,9498,6884,9083,7179,5256,3779,3242,Gauteng
GT481,Mogale City,293625,113469,37756,22414,20404,14016,9914,5506,3459,180156,35875,28682,40024,30673,21793,13373,9736,Gauteng
GT482,Randfontein,128357,50481,17254,9745,7999,6057,4681,2834,1911,77876,16273,12505,15489,12618,10397,6111,4483,Gauteng
GT483,Westonaria,91761,38961,13926,8057,6795,4540,3273,1471,899,52800,9461,8019,13195,9880,8139,2733,1373,KwaZulu-Natal
KZN211,Vulamehlo,68362,57912,23083,12643,6289,4669,4498,3331,3399,10450,2539,1657,1511,1197,1063,1054,1429,KwaZulu-Natal
KZN212,Umdoni,65235,36678,12936,8124,5549,3705,2864,1849,1651,28557,5390,4503,4698,4056,3388,2901,3621,KwaZulu-Natal
KZN213,Umzumbe,142598,118671,47481,25737,12438,9112,8841,7189,7873,23927,6271,4197,3266,2711,2287,2144,3051,KwaZulu-Natal
KZN214,UMuziwabantu,86958,71576,31671,15637,7489,5305,4532,3316,3626,15382,4234,2717,2499,2065,1537,1025,1305,KwaZulu-Natal
KZN215,Ezingoleni,47997,39881,16534,8718,4436,3054,2845,2120,2174,8116,1951,1336,1359,1048,802,738,882,KwaZulu-Natal
KZN221,uMshwathi,95471,69249,26788,15581,8418,5839,4944,4081,3598,26222,5007,4871,5425,3940,3041,2095,1843,KwaZulu-Natal
KZN222,uMngeni,73253,34325,12120,7503,5456,3801,2297,1713,1435,38928,7288,6005,7666,6090,4354,3291,4234,KwaZulu-Natal
KZN223,Mpofana,32535,21647,8459,4534,3023,2106,1488,1132,905,10888,2033,1978,2684,1748,1135,762,548,KwaZulu-Natal
KZN224,Impendle,28629,22939,9447,4894,2361,1606,1558,1575,1498,5690,1479,977,771,617,592,594,660,KwaZulu-Natal
KZN225,The Msunduzi,523791,272584,91626,61927,43451,29091,19868,14718,11903,251207,55080,45419,47047,38341,28063,20394,16863,KwaZulu-Natal
KZN226,Mkhambathini,55256,39817,15069,8789,5407,3483,2886,2292,1891,15439,2714,2789,3620,2419,1595,1236,1066,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,206584,137454,54003,29718,18994,12002,9616,7235,5886,69130,17410,11672,13176,10055,7527,5076,4214,KwaZulu-Natal
KZN233,Indaka,93466,83200,37762,18331,8255,5375,5000,4186,4291,10266,3162,1767,1233,1033,868,896,1307,KwaZulu-Natal
KZN234,Umtshezi,74207,52522,21433,10918,7185,4717,3526,2753,1990,21685,5428,3648,3788,3326,2451,1643,1401,KwaZulu-Natal
KZN235,Okhahlamba,113689,95529,40952,20396,11205,7542,5947,4926,4561,18160,5036,2972,2983,2332,1634,1521,1682,KwaZulu-Natal
KZN236,Imbabazane,99214,82969,33200,18403,10530,6651,5585,4698,3902,16245,4763,2947,2530,1902,1480,1296,1327,KwaZulu-Natal
KZN242,Nqutu,149937,131774,59029,29364,13459,8843,7874,6548,6657,18163,5248,3218,2595,1985,1623,1568,1926,KwaZulu-Natal
KZN244,Msinga,161014,142589,66449,29950,13363,10216,8253,7114,7244,18425,5409,3004,2474,1895,1459,1615,2569,KwaZulu-Natal
KZN245,Umvoti,91168,69267,29228,15011,7459,5584,4778,3650,3557,21901,4602,3912,4245,3111,2479,1765,1787,KwaZulu-Natal
