geo_code,name,total,Income-poor,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+,province
NW401,Ventersdorp,48102,35287,12386,6922,5396,3683,3015,2083,1802,12815,2527,1892,2252,1907,1402,1346,1489,North West
NW402,Tlokwe City Council,139405,61922,21082,11892,9675,7312,5663,3573,2725,77483,16110,13700,14219,12142,9439,6339,5534,North West
NW403,City of Matlosana,339809,183585,65953,36403,27138,20270,16618,9956,7247,156224,33852,24093,29427,24577,19890,12785,11600,North West
NW404,Maquassi Hills,68954,51490,19410,10037,7698,5453,4265,2670,1957,17464,3543,2471,2996,2514,2219,1873,1848,North West
NC061,Richtersveld,10790,3995,1260,671,515,578,439,281,251,6795,1397,943,1232,1098,969,581,575,North West
NC064,Kamiesberg,9254,5348,1827,771,635,674,552,391,498,3906,681,433,450,486,603,524,729,Northern Cape
NC065,Hantam,19677,10172,3559,1772,1194,1260,1102,668,617,9505,1891,1361,1269,1315,1272,1086,1311,Northern Cape
NC066,Karoo Hoogland,10812,5913,2081,899,672,909,649,366,337,4899,938,603,614,686,745,636,677,Northern Cape
NC067,Kh̢i-Ma,11475,5284,1887,871,646,625,472,333,450,6191,1150,1158,1378,944,716,400,445,Northern Cape
NC072,Umsobomvu,25843,16073,5867,2993,2072,1414,1313,974,1440,9770,2120,1369,1678,1413,1085,894,1211,Northern Cape
NC073,Emthanjeni,39164,21910,8301,3935,2572,2240,1980,1299,1583,17254,4025,2690,2687,2431,2036,1657,1728,Northern Cape
NC074,Kareeberg,10584,6865,2444,1152,701,837,693,473,565,3719,703,471,513,487,495,484,566,Northern Cape
NC075,Renosterberg,10217,6357,2489,1074,757,676,528,412,421,3860,850,515,586,510,473,422,504,Northern Cape
NC076,Thembelihle,14498,8485,3128,1521,1046,944,781,422,643,6013,1326,975,934,842,699,588,649,Northern Cape
NC078,Siyancuma,32486,21405,7733,3943,2752,2352,1872,1142,1611,11081,2469,1568,1884,1593,1268,1032,1267,Northern Cape
NC081,Mier,6305,4167,1567,732,473,465,324,240,366,2138,455,330,309,294,245,223,282,Northern Cape
NC082,Kai !Garib,59672,28976,10393,5357,3786,3365,2622,1540,1913,30696,4326,7357,7255,4262,3059,2060,2377,Northern Cape
NC083,//Khara Hais,84662,43909,15699,8512,5552,5015,3828,2255,3048,40753,9571,6712,6894,6002,4701,3109,3764,Northern Cape
NC084,!Kheis,15301,10613,4370,1619,1334,1217,916,577,580,4688,1034,725,836,663,546,470,414,Northern Cape
NC086,Kgatelopele,17051,8228,2917,1624,1091,825,751,469,551,8823,2056,1409,1707,1378,1129,607,537,Northern Cape
NC091,Sol Plaatjie,223314,110577,36378,21669,15677,12320,9459,6195,8879,112737,25324,17381,19956,16875,12670,8903,11628,Northern Cape
NC092,Dikgatlong,41528,28444,10160,5244,3905,3102,2410,1485,2138,13084,2778,1953,2179,1850,1473,1252,1599,Northern Cape
NC093,Magareng,22341,15479,5317,2987,1897,1485,1271,912,1610,6862,1325,960,1006,937,825,687,1122,Northern Cape
NC451,Joe Morolong,79010,65421,28862,12406,6803,4944,4538,3775,4093,13589,3114,1990,2055,1762,1640,1373,1655,Northern Cape
NC452,Ga-Segonyana,82111,49087,19650,10092,6542,4705,3536,2516,2046,33024,8458,5504,6722,5004,3556,2071,1709,Northern Cape
NC453,Gamagara,34634,13056,4498,2665,1916,1456,1107,646,768,21578,4549,3653,5919,3386,2180,1183,708,Northern Cape
CPT,City of Cape Town,3085056,1151725,386636,235174,196850,142807,100478,54827,34953,1933331,411960,319080,387471,297075,232485,152731,132529,Northern Cape
WC011,Matzikama,61346,27288,9846,5062,3803,3465,2696,1397,1019,34058,7127,5470,5619,5075,4707,3245,2815,Western Cape
WC013,Bergrivier,53403,19209,6901,3301,2654,2760,1866,1026,701,34194,7102,5485,5426,5276,4589,3371,2945,Western Cape
WC014,Saldanha Bay,84660,30255,10240,5991,4772,4042,2822,1497,891,54405,12282,9048,9973,8454,6766,4427,3455,Western Cape
WC015,Swartland,94864,36117,12798,6663,5206,5009,3497,1840,1104,58747,13006,9749,9775,9153,7491,5136,4437,Western Cape
WC022,Witzenberg,107566,48035,16194,9382,7568,6671,4452,2360,1408,59531,11703,10606,12599,9857,7347,4253,3166,Western Cape
WC023,Drakenstein,208249,81782,27189,16506,11942,10804,7979,4424,2938,126467,28067,21798,21013,19815,17192,10310,8272,Western Cape
WC025,Breede Valley,145157,65073,23744,12546,9129,8422,5775,3393,2064,80084,18322,13352,13756,12138,10493,6747,5276,Western Cape
WC026,Langeberg,88284,45126,16281,8632,6367,6102,4196,2152,1396,43158,9459,6960,6911,6371,5771,3942,3744,Western Cape
WC031,Theewaterskloof,92548,40968,13662,7802,6442,5730,4013,2097,1222,51580,10985,8606,9524,8254,6718,4165,3328,Western Cape
WC032,Overstrand,63860,23785,7782,4393,4795,3237,1954,946,678,40075,6766,4823,6817,5412,4310,4741,7206,Western Cape
WC034,Swellendam,32815,14766,5296,2676,2045,2014,1527,729,479,18049,3632,2826,2862,2653,2491,1787,1798,Western Cape
WC041,Kannaland,22688,14155,4990,2593,1871,1828,1413,862,598,8533,1741,1211,1080,1180,1207,971,1143,Western Cape
WC042,Hessequa,47743,19943,6729,3467,2752,2719,2171,1246,859,27800,5284,3672,3802,3849,3756,3316,4121,Western Cape
WC043,Mossel Bay,65615,26653,8608,5017,4329,3610,2592,1488,1009,38962,6907,5195,6122,5509,4843,4605,5781,Western Cape
