geo_code,name,province,total,prop_yes,prop_no
KZN263,Abaqulusi,KwaZulu-Natal,42523,0.989041225,0.005667521
KZN265,Nongoma,KwaZulu-Natal,43231,0.992204668,0.002475076
KZN266,Ulundi,KwaZulu-Natal,39695,0.992694294,0.003703237
KZN272,Jozini,KwaZulu-Natal,41474,0.988378261,0.007474562
KZN273,The Big 5 False Bay,KwaZulu-Natal,7481,0.975671702,0.00748563
KZN274,Hlabisa,KwaZulu-Natal,15989,0.993182813,0.002063919
KZN275,Mtubatuba,KwaZulu-Natal,37293,0.984259781,0.008339367
KZN281,Mfolozi,KwaZulu-Natal,26388,0.986357435,0.005078066
KZN283,Ntambanana,KwaZulu-Natal,16530,0.990078645,0.002359347
KZN284,uMlalazi,KwaZulu-Natal,45337,0.987956856,0.006528884
KZN285,Mthonjaneni,KwaZulu-Natal,9718,0.988166289,0.009158263
KZN286,Nkandla,KwaZulu-Natal,24302,0.995391326,0.001645955
KZN291,Mandeni,KwaZulu-Natal,29135,0.983353355,0.01290544
KZN293,Ndwedwe,KwaZulu-Natal,29554,0.993672599,0.002470055
KZN294,Maphumulo,KwaZulu-Natal,20652,0.99171993,0.002178966
KZN431,Ingwe,KwaZulu-Natal,20904,0.992154612,0.004401072
KZN432,Kwa Sani,KwaZulu-Natal,2258,0.985828167,0.010186005
KZN434,Ubuhlebezwe,KwaZulu-Natal,21054,0.9923055,0.00322979
KZN435,Umzimkhulu,Limpopo,39335,0.991508834,0.002389729
LIM331,Greater Giyani,Limpopo,57527,0.975663601,0.021555096
LIM332,Greater Letaba,Limpopo,49850,0.962166499,0.035145436
LIM333,Greater Tzaneen,Limpopo,82671,0.972118397,0.025438183
LIM335,Maruleng,Limpopo,20622,0.984337116,0.012656386
LIM341,Musina,Limpopo,12886,0.658311346,0.33167779
LIM342,Mutale,Limpopo,20359,0.97770028,0.018861437
LIM343,Thulamela,Limpopo,141558,0.965667783,0.031492392
LIM344,Makhado,Limpopo,109391,0.963680742,0.033265991
LIM351,Blouberg,Limpopo,36381,0.97405239,0.023363844
LIM353,Molemole,Limpopo,22480,0.953558719,0.044172598
LIM354,Polokwane,Limpopo,131206,0.96171669,0.035348993
LIM355,Lepele-Nkumpi,Limpopo,47559,0.98202233,0.015433462
LIM361,Thabazimbi,Limpopo,12940,0.905486862,0.089799073
LIM362,Lephalale,Limpopo,22419,0.93028235,0.065524778
LIM365,Modimolle,Limpopo,12380,0.9319063,0.063570275
LIM366,Bela-Bela,Eastern Cape,11262,0.946013142,0.050790268
BUF,Buffalo City,Eastern Cape,136181,0.985232889,0.010060141
EC101,Camdeboo,Eastern Cape,8274,0.992385787,0.003746676
EC105,Ndlambe,Eastern Cape,9536,0.979131711,0.016568792
EC122,Mnquma,Eastern Cape,49060,0.99268243,0.003465145
EC128,Nxuba,Eastern Cape,3877,0.984524117,0.013154501
EC135,Intsika Yethu,Eastern Cape,26432,0.987325969,0.008474576
EC144,Gariep,Eastern Cape,5799,0.985514744,0.011381273
EC157,King Sabata Dalindyebo,Eastern Cape,99986,0.988008321,0.007331026
NMA,Nelson Mandela Bay,Eastern Cape,208282,0.977708107,0.017620342
FS164,Naledi,Free State,4785,0.971577847,0.026332288
FS191,Setsoto,Free State,21337,0.978441205,0.019965318
FS196,Mantsopa,Free State,9643,0.969718967,0.028414394
MAN,Mangaung,Free State,146807,0.969531426,0.027519124
EKU,Ekurhuleni,Gauteng,564110,0.927710907,0.06613781
GT422,Midvaal,Gauteng,15038,0.908298976,0.082856763
GT484,Merafong City,Gauteng,33221,0.922007164,0.071791939
JHB,City of Johannesburg,Gauteng,767187,0.875229898,0.115963904
TSH,City of Tshwane,Gauteng,524206,0.929472383,0.064379271
ETH,eThekwini,KwaZulu-Natal,697570,0.978263113,0.015422108
KZN216,Hibiscus Coast,KwaZulu-Natal,49407,0.989353735,0.004715931
KZN227,Richmond,KwaZulu-Natal,12625,0.983762376,0.014178218
KZN241,Endumeni,KwaZulu-Natal,12606,0.98881485,0.007853403
KZN253,Emadlangeni,KwaZulu-Natal,6444,0.991309745,0.007138423
KZN271,Umhlabuyalingana,KwaZulu-Natal,33535,0.990129715,0.005635903
KZN282,uMhlathuze,KwaZulu-Natal,68950,0.983698332,0.010906454
KZN292,KwaDukuza,KwaZulu-Natal,45473,0.960174169,0.036945
KZN433,Greater Kokstad,KwaZulu-Natal,13606,0.985594591,0.009922093
LIM334,Ba-Phalaborwa,KwaZulu-Natal,30036,0.971833799,0.025169796
LIM352,Aganang,Limpopo,27546,0.986894649,0.010709359
LIM364,Mookgopong,Limpopo,6074,0.842937109,0.151465262
LIM367,Mogalakwena,Limpopo,64077,0.977979618,0.019695054
LIM471,Ephraim Mogale,Limpopo,25344,0.932567866,0.06317077
LIM472,Elias Motsoaledi,Limpopo,52346,0.970618576,0.026821534
LIM473,Makhuduthamaga,Limpopo,56376,0.99056336,0.007201646
LIM474,Fetakgomo,Limpopo,19289,0.986209757,0.008657784
LIM475,Greater Tubatse,Limpopo,71224,0.985005054,0.01262215
MP301,Albert Luthuli,Limpopo,41565,0.974449657,0.02300012
MP302,Msukaligwa,Mpumalanga,28685,0.97897856,0.016768346
MP304,Pixley Ka Seme,Mpumalanga,15939,0.988581467,0.008218834
MP305,Lekwa,Mpumalanga,20777,0.982625018,0.014679694
MP306,Dipaleseng,Mpumalanga,7927,0.983978807,0.011732055
MP307,Govan Mbeki,Mpumalanga,56242,0.962696917,0.03191565
MP312,Emalahleni,Mpumalanga,74978,0.951759183,0.044119608
MP313,Steve Tshwete,Mpumalanga,41011,0.955792348,0.038648168
MP314,Emakhazeni,Mpumalanga,8434,0.969646668,0.027389139
MP315,Thembisile,Mpumalanga,64643,0.980724904,0.015670684
MP316,Dr JS Moroka,Mpumalanga,52032,0.984682503,0.012415437
MP321,Thaba Chweu,Mpumalanga,16702,0.951323195,0.042869117
MP323,Umjindi,Mpumalanga,12035,0.930535937,0.064894059
MP324,Nkomazi,Mpumalanga,92194,0.918378636,0.073757511
MP325,Bushbuckridge,Mpumalanga,125754,0.991069867,0.006536571
NW371,Moretele,Mpumalanga,35190,0.982097187,0.01582836
NW372,Madibeng,North West,86076,0.882929039,0.112807287
NW374,Kgetlengrivier,North West,8810,0.956186152,0.039046538
NW375,Moses Kotane,North West,42599,0.973238808,0.024085072
NW381,Ratlou,North West,19712,0.991730925,0.005935471
NW382,Tswaing,North West,23271,0.992823686,0.00554338
NW383,Mafikeng,North West,58043,0.979584101,0.018124494
NW385,Ramotshere Moiloa,North West,26142,0.981294469,0.0167929
NW392,Naledi,North West,11813,0.986201642,0.01083552
NW393,Mamusa,North West,11126,0.989394212,0.008718317
NW394,Greater Taung,North West,33441,0.990042164,0.006967495
NW397,Kagisano/Molopo,North West,18691,0.984645016,0.008025253
NW401,Ventersdorp,North West,9913,0.981438515,0.016241299
NW402,Tlokwe City Council,North West,32779,0.974038256,0.021843253
NW403,City of Matlosana,North West,70522,0.966932305,0.029962281
NW404,Maquassi Hills,North West,14123,0.988812575,0.008709198
NC061,Richtersveld,North West,1723,0.993035403,0.003482298
NC064,Kamiesberg,Northern Cape,1308,0.994648318,0.004587156
NC065,Hantam,Northern Cape,3311,0.99154334,0.0051344
NC066,Karoo Hoogland,Northern Cape,1605,0.997507788,0.001246106
NC067,Kh̢i-Ma,Northern Cape,2158,0.988878591,0.00695088
NC072,Umsobomvu,Northern Cape,4798,0.988953731,0.010004168
NC073,Emthanjeni,Northern Cape,7070,0.989250354,0.009193777
NC074,Kareeberg,Northern Cape,1739,0.996549741,0.003450259
NC075,Renosterberg,Northern Cape,1727,0.98089172,0.009264621
NC076,Thembelihle,Northern Cape,2697,0.989618094,0.008898776
NC078,Siyancuma,Northern Cape,6170,0.988492707,0.007941653
NC081,Mier,Northern Cape,1132,0.988515901,0.010600707
NC082,Kai !Garib,Northern Cape,14042,0.992522433,0.005341119
NC083,//Khara Hais,Northern Cape,16685,0.984297273,0.013365298
NC084,!Kheis,Northern Cape,2485,0.989134809,0.010462777
NC086,Kgatelopele,Northern Cape,3316,0.993063932,0.006332931
NC091,Sol Plaatjie,Northern Cape,43669,0.985825185,0.011197875
NC092,Dikgatlong,Northern Cape,8169,0.983718937,0.013832782
NC093,Magareng,Northern Cape,4382,0.98950251,0.008900046
NC451,Joe Morolong,Northern Cape,16163,0.987378581,0.01033224
NC452,Ga-Segonyana,Northern Cape,17881,0.982439461,0.014484649
NC453,Gamagara,Northern Cape,7157,0.980438731,0.014950398
CPT,City of Cape Town,Northern Cape,661974,0.954220256,0.038415406
WC011,Matzikama,Western Cape,11327,0.980665666,0.010859009
WC013,Bergrivier,Western Cape,9517,0.969212987,0.021225176
WC014,Saldanha Bay,Western Cape,17073,0.976688338,0.015521584
WC015,Swartland,Western Cape,18028,0.983470158,0.013035278
WC022,Witzenberg,Western Cape,21404,0.95505513,0.038684358
WC023,Drakenstein,Western Cape,45044,0.975335228,0.015695764
WC025,Breede Valley,Western Cape,29058,0.95832473,0.036272283
WC026,Langeberg,Western Cape,16930,0.960366214,0.026993503
WC031,Theewaterskloof,Western Cape,18629,0.966289119,0.020129905
WC032,Overstrand,Western Cape,11464,0.956734124,0.032100488
WC034,Swellendam,Western Cape,5870,0.976320273,0.021294719
WC041,Kannaland,Western Cape,4058,0.985707245,0.007885658
WC042,Hessequa,Western Cape,7627,0.985970893,0.009309034
WC043,Mossel Bay,Western Cape,13729,0.977347221,0.013912157
