geo_code,name,total,0-14,15-24,25-34,35-44,45-54,55-64,65+,province
MP323,Umjindi,65308,18352,12988,12820,8856,6046,3538,2708,Mpumalanga
MP324,Nkomazi,391131,140862,92705,61365,39223,24935,15484,16557,Mpumalanga
MP325,Bushbuckridge,550294,205103,125920,74324,52239,36807,25797,30104,Mpumalanga
NW371,Moretele,181965,56786,35226,26751,18717,15474,13578,15433,Mpumalanga
NW372,Madibeng,467509,119895,87477,92967,63357,48435,30814,24564,North West
NW374,Kgetlengrivier,51023,14023,9278,8437,6864,5407,3895,3119,North West
NW375,Moses Kotane,235935,69828,43100,35967,26816,24023,17280,18921,North West
NW381,Ratlou,103531,39635,19742,11439,9228,8657,6823,8007,North West
NW382,Tswaing,120214,41352,23327,16006,12532,11601,7903,7493,North West
NW383,Mafikeng,285305,88249,59427,42934,35696,28087,16658,14254,North West
NW385,Ramotshere Moiloa,146743,47562,27004,19547,16345,13934,10928,11423,North West
NW392,Naledi,66118,19680,11874,10843,8728,7194,4398,3401,North West
NW393,Mamusa,59051,20728,11189,8818,6289,5253,3688,3086,North West
NW394,Greater Taung,173666,62113,33812,20048,16319,14974,12219,14181,North West
NW397,Kagisano/Molopo,102998,38087,18763,12774,10605,9708,6718,6343,North West
NW401,Ventersdorp,53310,15854,9917,8611,6378,5092,3897,3561,North West
NW402,Tlokwe City Council,162660,40264,33842,27521,22434,17689,11499,9411,North West
NW403,City of Matlosana,397071,110377,71392,67220,54406,45091,26983,21602,North West
NW404,Maquassi Hills,77186,24440,14363,12421,9104,7564,5097,4197,North West
NC061,Richtersveld,12020,2822,1771,2112,1909,1599,950,857,North West
NC064,Kamiesberg,10454,2698,1604,1205,1295,1342,984,1326,Northern Cape
NC065,Hantam,21449,5777,3446,2681,2828,2697,1904,2116,Northern Cape
NC066,Karoo Hoogland,12356,3362,1767,1421,1763,1527,1130,1386,Northern Cape
NC067,Khí¢i-Ma,12573,3183,2260,2233,1792,1365,810,930,Northern Cape
NC072,Umsobomvu,28483,8412,4868,4318,3245,2811,2055,2774,Northern Cape
NC073,Emthanjeni,42428,12861,7322,5978,5088,4437,3217,3525,Northern Cape
NC074,Kareeberg,11723,3330,1871,1379,1501,1349,1061,1232,Northern Cape
NC075,Renosterberg,10984,3474,1727,1465,1306,1129,915,968,Northern Cape
NC076,Thembelihle,15854,4706,2754,2223,1971,1697,1090,1413,Northern Cape
NC078,Siyancuma,36882,11168,6346,5414,4595,3667,2489,3203,Northern Cape
NC081,Mier,6930,2149,1223,862,867,638,504,687,Northern Cape
NC082,Kai !Garib,65145,15477,14201,12296,8425,6340,3903,4503,Northern Cape
NC083,//Khara Hais,94288,27170,17179,14354,12580,9788,5964,7253,Northern Cape
NC084,!Kheis,16340,5581,2615,2370,2036,1588,1130,1020,Northern Cape
NC086,Kgatelopele,18727,5314,3320,3149,2467,2140,1179,1158,Northern Cape
NC091,Sol Plaatjie,250172,66855,44776,40844,33166,25762,16781,21988,Northern Cape
NC092,Dikgatlong,46619,14007,8218,7092,5782,4601,3025,3894,Northern Cape
NC093,Magareng,24539,7019,4387,3352,2779,2444,1760,2798,Northern Cape
NC451,Joe Morolong,87145,33809,16220,10133,7866,7394,5846,5877,Northern Cape
NC452,Ga-Segonyana,92490,30153,17963,15405,11251,8294,5245,4179,Northern Cape
NC453,Gamagara,40919,10106,7516,9493,5857,4060,2265,1622,Northern Cape
CPT,City of Cape Town,3707354,917301,684631,710922,530389,403751,251143,209217,Northern Cape
WC011,Matzikama,66890,17810,12187,10333,9198,8115,4976,4271,Western Cape
WC013,Bergrivier,61292,15246,10632,9695,9277,7270,4932,4240,Western Cape
WC014,Saldanha Bay,98123,24846,17815,17879,14484,11104,6868,5127,Western Cape
WC015,Swartland,113225,28235,20480,19404,17073,13061,8332,6640,Western Cape
WC022,Witzenberg,116692,29336,22253,22288,17966,12754,7151,4944,Western Cape
WC023,Drakenstein,250133,63567,48638,40261,36568,30184,17553,13362,Western Cape
WC025,Breede Valley,166861,46172,30755,27175,23750,18568,11557,8884,Western Cape
WC026,Langeberg,97603,27577,17192,14904,14046,11111,6789,5984,Western Cape
WC031,Theewaterskloof,108910,27634,19212,19762,16576,12651,7476,5599,Western Cape
WC032,Overstrand,79799,17218,11665,14820,10896,7664,7180,10356,Western Cape
WC034,Swellendam,35782,9354,6109,5371,5022,4439,2842,2645,Western Cape
WC041,Kannaland,24795,7057,4239,3265,3294,2940,2038,1962,Western Cape
WC042,Hessequa,52558,12735,7661,7159,7259,6647,5190,5907,Western Cape
WC043,Mossel Bay,88869,20530,13875,14579,12541,10183,8112,9049,Western Cape
