geo_code,name,total,Female,Female_Black,Female_Coloured,Female_Indian_Asian,Female_Other,Female_White,Male,Male_Black,Male_Coloured,Male_Indian_Asian,Male_Other,Male_White,province
ZA,South Africa,10140505,5101916,4266555,429852,103701,16736,285072,5038589,4184184,423331,112650,28794,289630,South Africa
WC044,George,33651,17037,5541,9254,85,102,2055,16614,5216,8988,82,263,2065,Western Cape
WC047,Bitou,7848,3949,2052,1366,30,186,315,3899,1942,1334,18,242,363,Western Cape
WC048,Knysna,10874,5560,2398,2578,22,44,518,5314,2204,2481,26,94,509,Western Cape
WC051,Laingsburg,1237,617,40,543,0,7,27,620,58,521,0,6,35,Western Cape
WC052,Prince Albert,2246,1099,26,1020,1,1,51,1147,31,1030,7,8,71,Western Cape
WC053,Beaufort West,8268,4143,763,3121,16,15,228,4125,725,3089,21,34,256,Western Cape
MP303,Mkhondo,30969,15752,15141,108,97,15,391,15217,14496,84,128,58,451,Mpumalanga
MP311,Victor Khanye,13693,6588,5669,87,27,8,797,7105,6003,71,40,33,958,Mpumalanga
MP322,Mbombela,127097,65209,60717,768,322,76,3326,61888,57429,669,393,112,3285,North West
NW373,Rustenburg,97014,46617,42016,424,306,164,3707,50397,45351,464,410,307,3865,North West
NW384,Ditsobotla,30114,15143,13864,331,54,17,877,14971,13533,289,123,59,967,North West
NW396,Lekwa-Teemane,9818,4790,4074,368,11,14,323,5028,4258,403,35,27,305,Northern Cape
NC062,Nama Khoi,7990,3930,152,3581,23,15,159,4060,186,3634,19,45,176,Northern Cape
NC071,Ubuntu,3106,1536,337,1145,4,7,43,1570,371,1120,7,20,52,Northern Cape
NC077,Siyathemba,3552,1778,361,1323,6,4,84,1774,361,1300,16,14,83,Northern Cape
NC085,Tsantsabane,6509,3057,1593,1286,2,9,167,3452,1838,1343,30,37,204,Northern Cape
NC094,Phokwane,11441,5748,4827,664,7,15,235,5693,4758,604,42,43,246,Western Cape
WC012,Cederberg,8700,4293,772,3250,17,3,251,4407,826,3261,22,23,275,Western Cape
WC024,Stellenbosch,38264,19661,5631,8468,94,91,5377,18603,5193,8106,104,182,5018,Western Cape
WC033,Cape Agulhas,5338,2754,376,2056,10,21,291,2584,399,1805,8,38,334,Western Cape
WC045,Oudtshoorn,17288,8527,833,7090,20,40,544,8761,1030,6990,37,83,621,Eastern Cape
EC102,Blue Crane Route,5946,2998,1847,1023,5,19,104,2948,1779,999,13,38,119,Eastern Cape
EC103,Ikwezi,1668,861,317,500,0,0,44,807,332,421,3,14,37,Eastern Cape
EC104,Makana,17519,9137,6798,999,130,35,1175,8382,6137,899,88,78,1180,Eastern Cape
EC106,Sundays River Valley,9620,4404,3243,996,5,26,134,5216,3803,1170,8,94,141,Eastern Cape
EC107,Baviaans,2874,1400,177,1188,5,3,27,1474,169,1247,3,18,37,Eastern Cape
EC108,Kouga,15854,7921,3309,3849,26,25,712,7933,3285,3759,11,152,726,Eastern Cape
EC109,Kou-Kamma,6694,3235,1019,2014,8,27,167,3459,1240,1962,16,94,147,Eastern Cape
EC121,Mbhashe,54971,27420,27245,81,29,16,49,27551,27284,69,55,81,62,Eastern Cape
EC123,Great Kei,7016,3307,3168,38,3,3,95,3709,3544,46,3,4,112,Eastern Cape
EC124,Amahlathi,22788,10844,10590,152,12,4,86,11944,11623,153,9,45,114,Eastern Cape
EC126,Ngqushwa,12064,5657,5624,15,9,1,8,6407,6356,14,9,19,9,Eastern Cape
EC127,Nkonkobe,24894,11945,11290,509,22,20,104,12949,12228,509,34,55,123,Eastern Cape
EC131,Inxuba Yethemba,11495,5552,3137,1941,20,33,421,5943,3432,1987,24,65,435,Eastern Cape
EC132,Tsolwana,6300,3106,2895,172,2,1,36,3194,2974,162,11,11,36,Eastern Cape
EC133,Inkwanca,4184,2062,1915,81,3,5,58,2122,1969,90,1,18,44,Eastern Cape
EC134,Lukanji,37211,18377,17331,638,65,51,292,18834,17593,700,89,126,326,Eastern Cape
EC136,Emalahleni,23475,11139,11028,58,5,18,30,12336,12138,74,36,57,31,Eastern Cape
EC137,Engcobo,30604,15296,15242,20,12,10,12,15308,15200,21,23,43,21,Eastern Cape
EC138,Sakhisizwe,12882,6095,6000,49,6,3,37,6787,6678,40,16,26,27,Eastern Cape
EC141,Elundini,28676,13579,13383,135,1,12,48,15097,14833,136,21,51,56,Eastern Cape
EC142,Senqu,27773,13736,13493,151,18,21,53,14037,13733,171,42,32,59,Eastern Cape
EC143,Maletswai,8216,4222,3762,308,7,7,138,3994,3501,282,25,20,166,Eastern Cape
