geo_code,name,total,Any tertiary,Any tertiary-Female,Any tertiary-Male,Grade 10/11,Grade 10/11-Female,Grade 10/11-Male,Grade 9,Grade 9-Female,Grade 9-Male,Less than Grade9,Less than Grade9-Female,Less than Grade9-Male,Matric/matric equivalent,Matric/matric equivalent-Female,Matric/matric equivalent-Male,province
FS195,Phumelela,4365,127,85,42,1526,789,737,369,181,188,883,393,490,1460,781,679,Free State
FS201,Moqhaka,13066,602,353,249,4053,2064,1989,972,454,518,1836,843,993,5603,2882,2721,Free State
FS203,Ngwathe,10463,300,200,100,3434,1710,1724,857,381,476,1759,859,900,4113,2207,1906,Free State
FS204,Metsimaholo,14275,1185,650,535,4614,2242,2372,964,417,547,1699,721,978,5813,2982,2831,Free State
FS205,Mafube,5179,110,63,47,1674,830,844,444,204,240,808,340,468,2143,1170,973,Gauteng
GT421,Emfuleni,75048,7200,3923,3277,21055,9986,11069,2758,1103,1655,5241,2054,3187,38794,20495,18299,Gauteng
GT423,Lesedi,8904,416,209,207,3106,1493,1613,645,255,390,1063,432,631,3674,1991,1683,Gauteng
GT481,Mogale City,34785,2711,1581,1130,9616,4488,5128,1954,853,1101,4352,1820,2532,16152,8202,7950,Gauteng
GT482,Randfontein,14026,895,506,389,4194,1927,2267,861,351,510,1544,643,901,6532,3459,3073,Gauteng
GT483,Westonaria,11855,364,211,153,3758,1763,1995,1000,433,567,2001,837,1164,4732,2345,2387,KwaZulu-Natal
KZN211,Vulamehlo,6697,85,46,39,2270,1093,1177,347,153,194,1075,508,567,2920,1648,1272,KwaZulu-Natal
KZN212,Umdoni,7386,250,139,111,2007,1055,952,502,229,273,1178,547,631,3449,1796,1653,KwaZulu-Natal
KZN213,Umzumbe,13722,256,164,92,4954,2495,2459,969,449,520,2080,880,1200,5463,2936,2527,KwaZulu-Natal
KZN214,UMuziwabantu,8080,163,95,68,2928,1559,1369,657,338,319,1982,921,1061,2350,1308,1042,KwaZulu-Natal
KZN215,Ezingoleni,4333,71,52,19,1722,847,875,440,200,240,814,363,451,1286,765,521,KwaZulu-Natal
KZN221,uMshwathi,10054,176,96,80,3237,1601,1636,744,380,364,1971,979,992,3926,2082,1844,KwaZulu-Natal
KZN222,uMngeni,8223,441,261,180,2063,1047,1016,578,297,281,1355,570,785,3786,1917,1869,KwaZulu-Natal
KZN223,Mpofana,3751,72,48,24,1230,604,626,244,128,116,632,304,328,1573,791,782,KwaZulu-Natal
KZN224,Impendle,2844,51,35,16,932,444,488,161,82,79,329,129,200,1371,743,628,KwaZulu-Natal
KZN225,The Msunduzi,63327,4914,2850,2064,15835,7674,8161,2868,1293,1575,5981,2649,3332,33729,17957,15772,KwaZulu-Natal
KZN226,Mkhambathini,6164,140,79,61,1915,979,936,495,212,283,1229,566,663,2385,1253,1132,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,21471,832,510,322,6508,3479,3029,1240,587,653,2373,1100,1273,10518,5672,4846,KwaZulu-Natal
KZN233,Indaka,8427,93,57,36,2957,1665,1292,638,319,319,1472,745,727,3267,2015,1252,KwaZulu-Natal
KZN234,Umtshezi,7383,241,146,95,2252,1102,1150,459,228,231,1157,621,536,3274,1695,1579,KwaZulu-Natal
KZN235,Okhahlamba,10780,156,98,58,3782,1991,1791,642,356,286,1466,674,792,4734,2711,2023,KwaZulu-Natal
KZN236,Imbabazane,10231,185,95,90,3278,1609,1669,555,288,267,1311,661,650,4902,2618,2284,KwaZulu-Natal
KZN242,Nqutu,13765,239,144,95,5166,2849,2317,1019,463,556,2257,1061,1196,5084,3197,1887,KwaZulu-Natal
KZN244,Msinga,12901,200,124,76,3812,2137,1675,744,390,354,3186,1997,1189,4959,3089,1870,KwaZulu-Natal
KZN245,Umvoti,8881,164,103,61,2676,1439,1237,618,286,332,1812,961,851,3611,2176,1435,KwaZulu-Natal
KZN252,Newcastle,35235,2099,1123,976,10208,4946,5262,1567,699,868,2712,1226,1486,18649,9919,8730,KwaZulu-Natal
KZN254,Dannhauser,9159,196,121,75,3371,1662,1709,684,303,381,1032,441,591,3876,2105,1771,KwaZulu-Natal
KZN261,eDumbe,7364,117,81,36,2693,1415,1278,561,288,273,1193,541,652,2800,1572,1228,KwaZulu-Natal
KZN262,UPhongolo,12480,201,115,86,4042,2104,1938,793,405,388,2276,1108,1168,5168,2852,2316,KwaZulu-Natal
KZN263,Abaqulusi,18456,414,258,156,6197,3149,3048,1188,528,660,2565,1159,1406,8092,4439,3653,KwaZulu-Natal
KZN265,Nongoma,17577,399,243,156,5226,2684,2542,912,432,480,2326,1139,1187,8714,5339,3375,KwaZulu-Natal
KZN266,Ulundi,16626,420,264,156,4561,2302,2259,769,315,454,2226,1042,1184,8650,5218,3432,KwaZulu-Natal
KZN272,Jozini,17391,234,139,95,5912,3162,2750,1018,533,485,2967,1550,1417,7260,4073,3187,KwaZulu-Natal
KZN273,The Big 5 False Bay,3267,57,34,23,992,517,475,249,129,120,663,340,323,1306,768,538,KwaZulu-Natal
KZN274,Hlabisa,6492,84,53,31,2250,1151,1099,393,167,226,832,410,422,2933,1794,1139,KwaZulu-Natal
KZN275,Mtubatuba,16241,297,188,109,5099,2643,2456,874,402,472,2395,1167,1228,7576,4316,3260,KwaZulu-Natal
KZN281,Mfolozi,12320,177,100,77,4256,2202,2054,681,291,390,1376,639,737,5830,3190,2640,KwaZulu-Natal
KZN283,Ntambanana,6839,67,43,24,2424,1295,1129,421,209,212,1043,520,523,2884,1594,1290,KwaZulu-Natal
KZN284,uMlalazi,19298,350,228,122,6558,3348,3210,1186,557,629,3168,1517,1651,8036,4642,3394,KwaZulu-Natal
KZN285,Mthonjaneni,4326,76,43,33,1402,781,621,270,125,145,889,411,478,1689,977,712,KwaZulu-Natal
KZN286,Nkandla,9329,116,70,46,3112,1601,1511,442,186,256,1382,653,729,4277,2664,1613,KwaZulu-Natal
KZN291,Mandeni,14041,322,190,132,4537,2330,2207,877,390,487,1785,783,1002,6520,3506,3014,KwaZulu-Natal
KZN293,Ndwedwe,12214,188,117,71,3912,1928,1984,761,354,407,2014,909,1105,5339,3001,2338,KwaZulu-Natal
KZN294,Maphumulo,7702,128,90,38,2396,1304,1092,429,208,221,1184,612,572,3565,2172,1393,KwaZulu-Natal
KZN431,Ingwe,8680,121,69,52,3308,1723,1585,747,360,387,1459,668,791,3045,1732,1313,KwaZulu-Natal
KZN432,Kwa Sani,1293,23,13,10,394,182,212,108,47,61,321,105,216,447,235,212,KwaZulu-Natal
KZN434,Ubuhlebezwe,8841,154,100,54,2978,1519,1459,658,329,329,1594,702,892,3457,1870,1587,KwaZulu-Natal
KZN435,Umzimkhulu,15340,354,230,124,5941,3404,2537,1525,843,682,3375,1583,1792,4145,2482,1663,Limpopo
LIM331,Greater Giyani,24995,645,421,224,9783,5208,4575,2319,1052,1267,3831,1826,2005,8417,4873,3544,Limpopo
LIM332,Greater Letaba,21511,616,364,252,9200,4553,4647,1871,760,1111,2998,1247,1751,6826,3934,2892,Limpopo
LIM333,Greater Tzaneen,39400,1249,763,486,15264,7554,7710,3554,1538,2016,6170,2552,3618,13163,7419,5744,Limpopo
LIM335,Maruleng,9265,266,158,108,4091,2133,1958,931,389,542,1392,619,773,2585,1470,1115,Limpopo
LIM341,Musina,7863,220,122,98,3083,1676,1407,845,458,387,1765,878,887,1950,1001,949,Limpopo
LIM342,Mutale,8308,356,194,162,3399,1767,1632,920,434,486,1174,562,612,2459,1363,1096,Limpopo
LIM343,Thulamela,61736,4419,2503,1916,23000,11558,11442,4674,2097,2577,7219,3331,3888,22424,12243,10181,Limpopo
LIM344,Makhado,47303,2240,1277,963,19309,9767,9542,4372,1935,2437,5939,2569,3370,15443,8644,6799,Limpopo
LIM351,Blouberg,14650,256,164,92,6563,3375,3188,1628,752,876,2323,1094,1229,3880,2287,1593,Limpopo
LIM353,Molemole,9585,373,238,135,4128,2014,2114,876,337,539,1178,491,687,3030,1761,1269,Limpopo
LIM354,Polokwane,67292,6170,3532,2638,21171,10205,10966,3941,1529,2412,5309,1994,3315,30701,17080,13621,Limpopo
LIM355,Lepele-Nkumpi,19784,1041,627,414,7805,3838,3967,1719,691,1028,2051,868,1183,7168,4212,2956,Limpopo
LIM361,Thabazimbi,8583,293,154,139,2794,1239,1555,706,306,400,1826,756,1070,2964,1417,1547,Limpopo
LIM362,Lephalale,12910,986,474,512,4789,2198,2591,943,398,545,1817,733,1084,4375,2155,2220,Limpopo
LIM365,Modimolle,6723,232,129,103,2153,1044,1109,584,277,307,1762,865,897,1992,1083,909,Limpopo
LIM366,Bela-Bela,6371,245,139,106,2266,1111,1155,507,234,273,1273,563,710,2080,1073,1007,Eastern Cape
BUF,Buffalo City,68983,4781,2958,1823,24021,11893,12128,4262,1747,2515,7360,2827,4533,28559,15834,12725,Eastern Cape
EC101,Camdeboo,3789,138,90,48,1148,574,574,394,175,219,949,430,519,1160,604,556,Eastern Cape
EC105,Ndlambe,4668,123,75,48,1562,796,766,434,202,232,1247,501,746,1302,703,599,Eastern Cape
EC122,Mnquma,18134,709,438,271,7233,3762,3471,1909,830,1079,3320,1155,2165,4963,2922,2041,Eastern Cape
EC128,Nxuba,1788,47,24,23,709,334,375,236,121,115,408,174,234,388,215,173,Eastern Cape
EC135,Intsika Yethu,9659,195,119,76,3891,2000,1891,1138,518,620,2307,736,1571,2128,1203,925,Eastern Cape
EC144,Gariep,2763,44,19,25,881,409,472,307,142,165,950,435,515,581,304,277,Eastern Cape
EC157,King Sabata Dalindyebo,41875,1975,1241,734,15821,8807,7014,4134,2113,2021,8537,3622,4915,11408,6507,4901,Eastern Cape
NMA,Nelson Mandela Bay,108258,7540,4353,3187,34731,16916,17815,6689,2940,3749,12260,5086,7174,47038,25253,21785,Eastern Cape
FS164,Naledi,2215,37,24,13,746,411,335,308,152,156,478,253,225,646,319,327,Free State
FS191,Setsoto,10234,283,170,113,3704,1986,1718,1005,473,532,1774,891,883,3468,1883,1585,Free State
FS196,Mantsopa,4594,109,44,65,1460,761,699,512,258,254,882,452,430,1631,864,767,Free State
MAN,Mangaung,77345,7194,4102,3092,19825,9917,9908,4762,2164,2598,7979,3489,4490,37585,20068,17517,Free State
EKU,Ekurhuleni,329762,26626,14942,11684,93977,44520,49457,14521,6017,8504,29939,12018,17921,164699,84742,79957,Gauteng
GT422,Midvaal,8247,653,389,264,2528,1154,1374,510,190,320,1122,465,657,3434,1728,1706,Gauteng
GT484,Merafong City,18596,612,324,288,6241,3137,3104,1420,622,798,3034,1323,1711,7289,3773,3516,Gauteng
JHB,City of Johannesburg,464962,49238,27664,21574,119726,57944,61782,18577,7614,10963,39656,15754,23902,237765,124533,113232,Gauteng
TSH,City of Tshwane,307097,39929,22863,17066,70880,32768,38112,11635,4569,7066,23234,9402,13832,161419,85433,75986,Gauteng
ETH,eThekwini,377714,27443,15797,11646,94094,44989,49105,16279,7234,9045,32464,13922,18542,207434,108212,99222,KwaZulu-Natal
KZN216,Hibiscus Coast,23769,1198,697,501,7359,3782,3577,1541,738,803,3604,1571,2033,10067,5389,4678,KwaZulu-Natal
KZN227,Richmond,6041,129,63,66,1934,1028,906,399,195,204,1121,487,634,2458,1226,1232,KwaZulu-Natal
KZN241,Endumeni,5886,226,134,92,1698,818,880,331,159,172,817,348,469,2814,1484,1330,KwaZulu-Natal
KZN253,Emadlangeni,2821,43,21,22,953,466,487,272,110,162,566,229,337,987,520,467,KwaZulu-Natal
KZN271,Umhlabuyalingana,13823,196,129,67,4659,2430,2229,883,409,474,2409,1283,1126,5676,3233,2443,KwaZulu-Natal
KZN282,uMhlathuze,35578,2597,1522,1075,8732,4499,4233,1343,631,712,3032,1488,1544,19874,10692,9182,KwaZulu-Natal
KZN292,KwaDukuza,24063,887,501,386,6791,3363,3428,1847,877,970,4721,2245,2476,9817,5118,4699,KwaZulu-Natal
KZN433,Greater Kokstad,6840,287,167,120,2034,1048,986,593,293,300,1315,604,711,2611,1464,1147,KwaZulu-Natal
LIM334,Ba-Phalaborwa,15453,900,521,379,5720,2790,2930,1398,655,743,2445,1207,1238,4990,2639,2351,KwaZulu-Natal
LIM352,Aganang,10462,399,257,142,4329,2084,2245,794,320,474,752,321,431,4188,2494,1694,Limpopo
LIM364,Mookgopong,3741,81,57,24,1304,563,741,344,140,204,936,423,513,1076,570,506,Limpopo
LIM367,Mogalakwena,28206,1048,658,390,11952,6214,5738,2464,1068,1396,3210,1413,1797,9532,5361,4171,Limpopo
LIM471,Ephraim Mogale,11491,253,144,109,4509,2302,2207,1177,534,643,2328,975,1353,3224,1888,1336,Limpopo
LIM472,Elias Motsoaledi,23358,839,526,313,9742,4892,4850,2256,943,1313,3187,1337,1850,7334,4244,3090,Limpopo
LIM473,Makhuduthamaga,23068,574,367,207,10617,5576,5041,2232,939,1293,2463,1019,1444,7182,4406,2776,Limpopo
LIM474,Fetakgomo,8236,233,156,77,3721,1889,1832,674,294,380,827,339,488,2781,1662,1119,Limpopo
LIM475,Greater Tubatse,34511,1376,791,585,15851,8310,7541,3183,1453,1730,3681,1604,2077,10420,5779,4641,Limpopo
MP301,Albert Luthuli,17738,423,236,187,5778,2963,2815,1036,472,564,1957,937,1020,8544,4771,3773,Limpopo
MP302,Msukaligwa,14538,600,353,247,4414,2264,2150,837,405,432,1819,816,1003,6868,3545,3323,Mpumalanga
MP304,Pixley Ka Seme,7202,228,121,107,2301,1195,1106,479,235,244,1111,525,586,3083,1655,1428,Mpumalanga
MP305,Lekwa,10565,506,285,221,3479,1642,1837,687,306,381,1490,644,846,4403,2226,2177,Mpumalanga
MP306,Dipaleseng,4021,101,51,50,1363,664,699,280,127,153,714,344,370,1563,784,779,Mpumalanga
MP307,Govan Mbeki,30583,1571,806,765,9215,4374,4841,1762,702,1060,3661,1528,2133,14374,6881,7493,Mpumalanga
MP312,Emalahleni,42651,3131,1703,1428,12896,5840,7056,2364,962,1402,4578,1736,2842,19682,9710,9972,Mpumalanga
MP313,Steve Tshwete,22618,1524,828,696,5882,2697,3185,1162,443,719,2267,857,1410,11783,5829,5954,Mpumalanga
MP314,Emakhazeni,4400,117,67,50,1357,696,661,365,165,200,677,258,419,1884,972,912,Mpumalanga
MP315,Thembisile,30287,869,465,404,10191,4981,5210,2351,988,1363,4150,1584,2566,12726,7321,5405,Mpumalanga
MP316,Dr JS Moroka,23102,826,503,323,7768,3689,4079,1815,739,1076,3164,1210,1954,9529,5523,4006,Mpumalanga
MP321,Thaba Chweu,9005,394,222,172,2624,1254,1370,563,198,365,1334,507,827,4090,2103,1987,Mpumalanga
MP323,Umjindi,6114,209,122,87,1920,938,982,407,191,216,896,434,462,2682,1391,1291,Mpumalanga
MP324,Nkomazi,41664,1168,702,466,12590,6444,6146,2643,1207,1436,8559,4206,4353,16704,9348,7356,Mpumalanga
MP325,Bushbuckridge,54776,1526,946,580,19981,10023,9958,3380,1561,1819,6425,3080,3345,23464,13455,10009,Mpumalanga
NW371,Moretele,16492,588,316,272,5356,2506,2850,1124,485,639,2035,855,1180,7389,4151,3238,Mpumalanga
NW372,Madibeng,49485,1921,1046,875,15400,7080,8320,3508,1470,2038,9004,3658,5346,19652,10204,9448,North West
NW374,Kgetlengrivier,4709,125,77,48,1330,600,730,375,164,211,1477,662,815,1402,698,704,North West
NW375,Moses Kotane,21207,662,399,263,6731,3300,3431,1271,548,723,2735,1171,1564,9808,5300,4508,North West
NW381,Ratlou,8021,126,71,55,2611,1507,1104,811,427,384,2734,1322,1412,1739,1006,733,North West
NW382,Tswaing,10829,184,108,76,3302,1741,1561,1238,611,627,3532,1749,1783,2573,1434,1139,North West
NW383,Mafikeng,27131,1937,1126,811,7782,3915,3867,1839,820,1019,4179,1937,2242,11394,6292,5102,North West
NW385,Ramotshere Moiloa,12091,373,224,149,3868,1979,1889,871,374,497,2705,1191,1514,4274,2376,1898,North West
NW392,Naledi,5805,241,119,122,1532,815,717,535,267,268,1728,829,899,1769,937,832,North West
NW393,Mamusa,5385,71,46,25,1744,912,832,530,291,239,1598,773,825,1442,777,665,North West
NW394,Greater Taung,13710,279,155,124,4827,2614,2213,1472,730,742,3055,1461,1594,4077,2401,1676,North West
NW397,Kagisano/Molopo,7710,117,78,39,2348,1304,1044,746,398,348,2486,1255,1231,2013,1190,823,North West
NW401,Ventersdorp,5382,97,56,41,1880,974,906,554,255,299,1607,816,791,1244,671,573,North West
NW402,Tlokwe City Council,18971,1975,1092,883,4363,2122,2241,965,441,524,2068,916,1152,9600,5086,4514,North West
NW403,City of Matlosana,36463,1468,822,646,12026,6147,5879,3009,1436,1573,5860,2661,3199,14100,7396,6704,North West
NW404,Maquassi Hills,7331,110,59,51,2168,1083,1085,775,405,370,2362,1131,1231,1916,1036,880,North West
NC061,Richtersveld,842,36,26,10,194,94,100,119,52,67,195,70,125,298,172,126,North West
NC064,Kamiesberg,653,18,13,5,137,76,61,122,55,67,195,79,116,181,101,80,Northern Cape
NC065,Hantam,1554,53,35,18,338,175,163,193,95,98,437,192,245,533,281,252,Northern Cape
NC066,Karoo Hoogland,708,20,9,11,139,79,60,133,75,58,214,111,103,202,100,102,Northern Cape
NC067,Kh̢i-Ma,1228,39,25,14,395,187,208,174,86,88,301,127,174,319,156,163,Northern Cape
NC072,Umsobomvu,2195,41,28,13,662,345,317,187,107,80,430,208,222,875,456,419,Northern Cape
NC073,Emthanjeni,3224,89,54,35,857,435,422,298,155,143,646,316,330,1334,707,627,Northern Cape
NC074,Kareeberg,833,14,5,9,270,148,122,124,67,57,197,85,112,228,121,107,Northern Cape
NC075,Renosterberg,857,14,9,5,217,120,97,66,26,40,216,119,97,344,148,196,Northern Cape
NC076,Thembelihle,1278,28,14,14,373,178,195,151,71,80,334,156,178,392,216,176,Northern Cape
NC078,Siyancuma,2784,61,34,27,803,440,363,336,162,174,727,340,387,857,445,412,Northern Cape
NC081,Mier,547,15,8,7,166,79,87,92,47,45,125,51,74,149,91,58,Northern Cape
NC082,Kai !Garib,8042,95,58,37,2564,1123,1441,1043,455,588,2688,1176,1512,1652,839,813,Northern Cape
NC083,//Khara Hais,7664,276,161,115,2305,1147,1158,805,371,434,1290,589,701,2988,1641,1347,Northern Cape
NC084,!Kheis,1113,21,10,11,277,128,149,163,73,90,346,160,186,306,165,141,Northern Cape
NC086,Kgatelopele,1623,57,26,31,486,241,245,99,60,39,237,119,118,744,383,361,Northern Cape
NC091,Sol Plaatjie,21697,1082,633,449,6532,3255,3277,1393,570,823,2720,1220,1500,9970,5392,4578,Northern Cape
NC092,Dikgatlong,3978,56,28,28,1232,644,588,333,167,166,835,383,452,1522,799,723,Northern Cape
NC093,Magareng,2145,30,18,12,645,306,339,129,54,75,345,162,183,996,492,504,Northern Cape
NC451,Joe Morolong,6814,146,98,48,2577,1469,1108,697,376,321,1501,764,737,1893,1098,795,Northern Cape
NC452,Ga-Segonyana,8326,395,244,151,3026,1507,1519,629,279,350,1303,568,735,2973,1592,1381,Northern Cape
NC453,Gamagara,4149,285,159,126,1357,570,787,266,131,135,669,324,345,1572,714,858,Northern Cape
CPT,City of Cape Town,365624,32542,18693,13849,107361,55526,51835,29257,12180,17077,42125,15403,26722,154339,85213,69126,Northern Cape
WC011,Matzikama,5627,157,100,57,1334,669,665,921,465,456,1777,776,1001,1438,773,665,Western Cape
WC013,Bergrivier,4744,112,67,45,1318,700,618,720,379,341,1165,529,636,1429,750,679,Western Cape
WC014,Saldanha Bay,9388,285,161,124,3183,1634,1549,1152,495,657,1546,573,973,3222,1810,1412,Western Cape
WC015,Swartland,9237,356,203,153,2461,1244,1217,1151,527,624,2164,905,1259,3105,1674,1431,Western Cape
WC022,Witzenberg,11540,289,170,119,3443,1662,1781,1645,700,945,2844,1131,1713,3319,1727,1592,Western Cape
WC023,Drakenstein,23025,1355,790,565,6268,3200,3068,2046,919,1127,3517,1429,2088,9839,5277,4562,Western Cape
WC025,Breede Valley,14337,579,359,220,4221,2257,1964,1681,807,874,2441,1112,1329,5415,2945,2470,Western Cape
WC026,Langeberg,8375,188,109,79,2322,1240,1082,1189,552,637,2221,1050,1171,2455,1302,1153,Western Cape
WC031,Theewaterskloof,9659,275,150,125,2791,1452,1339,1236,565,671,2358,853,1505,2999,1595,1404,Western Cape
WC032,Overstrand,6412,241,147,94,1989,1054,935,802,362,440,1344,499,845,2036,1133,903,Western Cape
WC034,Swellendam,2944,100,49,51,701,360,341,418,206,212,884,357,527,841,456,385,Western Cape
WC041,Kannaland,1958,22,7,15,480,237,243,265,127,138,612,273,339,579,308,271,Western Cape
