geo_code,name,total,From_cell_phone,From_cell_phone_Female,From_cell_phone_Male,From_elsewhere,From_elsewhere_Female,From_elsewhere_Male,From_home,From_home_Female,From_home_Male,From_work,From_work_Female,From_work_Male,No_access_to_internet,No_access_to_internet_Female,No_access_to_internet_Male,province
FS181,Masilonyana,10921,1868,921,947,357,193,164,256,128,128,106,60,46,8334,4320,4014,Free State
FS182,Tokologo,4969,657,325,332,208,104,104,120,52,68,50,23,27,3934,2020,1914,Free State
FS183,Tswelopele,8850,1170,588,582,394,217,177,236,102,134,85,38,47,6965,3574,3391,Free State
FS184,Matjhabeng,75794,16596,8602,7994,5047,2595,2452,4065,1982,2083,1507,795,712,48579,24500,24079,Free State
FS185,Nala,14890,2050,1028,1022,630,314,316,424,209,215,222,92,130,11564,6022,5542,Free State
FS192,Dihlabeng,22377,4826,2486,2340,1392,764,628,1260,610,650,511,254,257,14388,7399,6989,Free State
FS193,Nketoana,11374,2213,1111,1102,557,288,269,312,146,166,152,76,76,8140,4112,4028,Free State
FS194,Maluti a Phofung,72816,15471,7989,7482,4693,2486,2207,2314,1126,1188,901,468,433,49437,25089,24348,Free State
FS195,Phumelela,8896,1395,708,687,340,172,168,245,115,130,79,43,36,6837,3468,3369,Free State
FS201,Moqhaka,26425,5289,2750,2539,1482,784,698,1324,653,671,496,243,253,17834,8889,8945,Free State
FS203,Ngwathe,21120,4216,2176,2040,1389,683,706,909,455,454,314,159,155,14292,7224,7068,Free State
FS204,Metsimaholo,26553,6584,3266,3318,3098,1545,1553,1981,928,1053,864,440,424,14026,6895,7131,Free State
FS205,Mafube,10767,2177,1147,1030,1428,730,698,362,152,210,135,74,61,6665,3383,3282,Gauteng
GT421,Emfuleni,137421,34790,18020,16770,18192,9238,8954,9601,4780,4821,4161,2123,2038,70677,35218,35459,Gauteng
GT423,Lesedi,16920,3569,1819,1750,971,479,492,1266,612,654,630,332,298,10484,5145,5339,Gauteng
GT481,Mogale City,60929,14274,7386,6888,5153,2630,2523,5854,2850,3004,3258,1652,1606,32390,15679,16711,Gauteng
GT482,Randfontein,25309,6452,3328,3124,1857,940,917,1995,1027,968,1290,653,637,13715,6602,7113,Gauteng
GT483,Westonaria,20075,4140,2094,2046,1354,684,670,828,393,435,470,207,263,13283,6372,6911,KwaZulu-Natal
KZN211,Vulamehlo,15867,2838,1406,1432,596,294,302,243,113,130,185,108,77,12005,6113,5892,KwaZulu-Natal
KZN212,Umdoni,14762,3192,1661,1531,1008,505,503,895,438,457,316,155,161,9351,4726,4625,KwaZulu-Natal
KZN213,Umzumbe,33328,4844,2482,2362,1329,679,650,399,213,186,375,170,205,26381,13006,13375,KwaZulu-Natal
KZN214,UMuziwabantu,20483,2807,1472,1335,859,434,425,423,195,228,218,99,119,16176,8172,8004,KwaZulu-Natal
KZN215,Ezingoleni,10841,1583,774,809,562,270,292,228,115,113,98,42,56,8370,4207,4163,KwaZulu-Natal
KZN221,uMshwathi,22044,5308,2673,2635,3702,1830,1872,428,218,210,237,123,114,12369,6308,6061,KwaZulu-Natal
KZN222,uMngeni,15569,3248,1631,1617,1306,658,648,1464,710,754,466,261,205,9085,4573,4512,KwaZulu-Natal
KZN223,Mpofana,7227,1153,549,604,349,171,178,177,89,88,143,85,58,5405,2679,2726,KwaZulu-Natal
KZN224,Impendle,6835,1187,567,620,198,91,107,44,24,20,69,29,40,5337,2681,2656,KwaZulu-Natal
KZN225,The Msunduzi,123701,26822,14089,12733,9939,5115,4824,9293,4814,4479,4156,2193,1963,73491,36758,36733,KwaZulu-Natal
KZN226,Mkhambathini,12597,1579,792,787,738,355,383,200,85,115,178,75,103,9902,4955,4947,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,45974,9103,4661,4442,3196,1643,1553,2077,1087,990,812,414,398,30786,15884,14902,KwaZulu-Natal
KZN233,Indaka,21806,3494,1835,1659,531,274,257,409,201,208,190,100,90,17182,9152,8030,KwaZulu-Natal
KZN234,Umtshezi,16010,3758,1959,1799,431,209,222,619,314,305,288,143,145,10914,5575,5339,KwaZulu-Natal
KZN235,Okhahlamba,26301,5965,3082,2883,827,415,412,357,186,171,281,155,126,18871,9580,9291,KwaZulu-Natal
KZN236,Imbabazane,23837,5536,2846,2690,850,417,433,590,270,320,256,141,115,16605,8430,8175,KwaZulu-Natal
KZN242,Nqutu,34888,5492,2871,2621,570,278,292,396,188,208,246,114,132,28184,14644,13540,KwaZulu-Natal
KZN244,Msinga,35970,3413,1859,1554,377,217,160,279,144,135,353,188,165,31548,17095,14453,KwaZulu-Natal
KZN245,Umvoti,20766,3249,1784,1465,502,260,242,586,317,269,291,148,143,16138,8537,7601,KwaZulu-Natal
KZN252,Newcastle,74794,16031,8128,7903,6075,3064,3011,3920,1967,1953,1133,528,605,47635,23960,23675,KwaZulu-Natal
KZN254,Dannhauser,21571,3483,1735,1748,1123,575,548,288,122,166,173,87,86,16504,8184,8320,KwaZulu-Natal
KZN261,eDumbe,16936,3632,1845,1787,829,431,398,460,230,230,155,71,84,11860,5980,5880,KwaZulu-Natal
KZN262,UPhongolo,27988,5300,2645,2655,755,397,358,419,199,220,291,134,157,21223,10928,10295,KwaZulu-Natal
KZN263,Abaqulusi,42301,9125,4627,4498,1492,720,772,1353,663,690,640,300,340,29691,14896,14795,KwaZulu-Natal
KZN265,Nongoma,43065,10603,5568,5035,2310,1214,1096,649,332,317,404,222,182,29099,15017,14082,KwaZulu-Natal
KZN266,Ulundi,39549,9034,4711,4323,1348,720,628,976,487,489,618,326,292,27573,14323,13250,KwaZulu-Natal
KZN272,Jozini,41376,7213,3716,3497,736,375,361,546,271,275,439,236,203,32442,16896,15546,KwaZulu-Natal
KZN273,The Big 5 False Bay,7404,1441,691,750,98,49,49,209,116,93,107,47,60,5549,2896,2653,KwaZulu-Natal
KZN274,Hlabisa,15876,3705,1911,1794,450,224,226,207,118,89,204,109,95,11310,5789,5521,KwaZulu-Natal
KZN275,Mtubatuba,37034,8096,4176,3920,1214,625,589,1212,650,562,599,343,256,25913,13361,12552,KwaZulu-Natal
KZN281,Mfolozi,26096,6622,3381,3241,1118,578,540,528,268,260,433,210,223,17395,8762,8633,KwaZulu-Natal
KZN283,Ntambanana,16458,2028,1036,992,421,232,189,152,87,65,166,73,93,13691,6932,6759,KwaZulu-Natal
KZN284,uMlalazi,45111,9029,4658,4371,1653,845,808,1093,572,521,609,317,292,32727,16757,15970,KwaZulu-Natal
KZN285,Mthonjaneni,9679,1535,788,747,229,119,110,161,98,63,151,79,72,7603,3923,3680,KwaZulu-Natal
KZN286,Nkandla,24231,4449,2379,2070,518,259,259,320,176,144,448,233,215,18496,9613,8883,KwaZulu-Natal
KZN291,Mandeni,29032,6542,3345,3197,1565,821,744,979,518,461,452,197,255,19494,9782,9712,KwaZulu-Natal
KZN293,Ndwedwe,29474,5761,2950,2811,1329,708,621,316,176,140,340,175,165,21728,10860,10868,KwaZulu-Natal
KZN294,Maphumulo,20570,2824,1508,1316,815,403,412,258,127,131,270,157,113,16403,8664,7739,KwaZulu-Natal
KZN431,Ingwe,20829,2464,1221,1243,410,212,198,138,69,69,214,104,110,17603,8880,8723,KwaZulu-Natal
KZN432,Kwa Sani,2249,514,254,260,26,8,18,66,27,39,25,14,11,1618,725,893,KwaZulu-Natal
KZN434,Ubuhlebezwe,20945,2719,1392,1327,581,293,288,312,175,137,275,134,141,17058,8509,8549,KwaZulu-Natal
KZN435,Umzimkhulu,39219,5567,2952,2615,1203,636,567,415,213,202,280,158,122,31754,16601,15153,Limpopo
LIM331,Greater Giyani,57423,11273,5771,5502,3063,1560,1503,1249,619,630,577,316,261,41261,21143,20118,Limpopo
LIM332,Greater Letaba,49813,10390,5184,5206,1523,777,746,813,379,434,294,156,138,36793,18175,18618,Limpopo
LIM333,Greater Tzaneen,82518,15277,7682,7595,3097,1536,1561,2528,1217,1311,982,515,467,60634,30402,30232,Limpopo
LIM335,Maruleng,20592,2230,1111,1119,442,210,232,309,166,143,217,104,113,17394,8770,8624,Limpopo
LIM341,Musina,12848,1902,1023,879,288,142,146,598,295,303,290,143,147,9770,5125,4645,Limpopo
LIM342,Mutale,20327,4126,2039,2087,456,216,240,298,144,154,181,95,86,15266,7733,7533,Limpopo
LIM343,Thulamela,141364,30371,15128,15243,7411,3777,3634,3186,1528,1658,1575,766,809,98821,49919,48902,Limpopo
LIM344,Makhado,109247,19865,9840,10025,4533,2315,2218,2528,1204,1324,1164,606,558,81157,40482,40675,Limpopo
LIM351,Blouberg,36335,4226,2179,2047,1171,608,563,328,144,184,231,111,120,30379,15388,14991,Limpopo
LIM353,Molemole,22453,3773,1883,1890,3313,1652,1661,567,256,311,239,128,111,14561,7119,7442,Limpopo
LIM354,Polokwane,130895,30120,15589,14531,8734,4647,4087,7134,3504,3630,4143,2208,1935,80764,40463,40301,Limpopo
LIM355,Lepele-Nkumpi,47496,7918,3978,3940,2407,1212,1195,1041,503,538,536,286,250,35594,17807,17787,Limpopo
LIM361,Thabazimbi,12878,2613,1249,1364,352,167,185,888,438,450,481,234,247,8544,3980,4564,Limpopo
LIM362,Lephalale,22339,4449,2047,2402,793,382,411,801,367,434,639,314,325,15657,7525,8132,Limpopo
LIM365,Modimolle,12348,1918,949,969,446,220,226,475,234,241,301,160,141,9208,4582,4626,Limpopo
LIM366,Bela-Bela,11227,2106,1088,1018,425,206,219,525,261,264,234,130,104,7937,3879,4058,Eastern Cape
BUF,Buffalo City,135670,25283,13743,11540,7655,3944,3711,9393,4826,4567,5090,2718,2372,88249,43987,44262,Eastern Cape
EC101,Camdeboo,8264,1168,594,574,129,71,58,429,193,236,173,89,84,6365,3123,3242,Eastern Cape
EC105,Ndlambe,9509,1496,756,740,388,179,209,515,265,250,248,129,119,6862,3383,3479,Eastern Cape
EC122,Mnquma,48983,6200,3238,2962,1467,781,686,649,327,322,529,283,246,40138,19227,20911,Eastern Cape
EC128,Nxuba,3874,496,244,252,30,14,16,120,65,55,49,24,25,3179,1516,1663,Eastern Cape
EC135,Intsika Yethu,26371,2820,1368,1452,613,325,288,210,121,89,167,76,91,22561,10316,12245,Eastern Cape
EC144,Gariep,5773,717,381,336,180,83,97,239,125,114,90,50,40,4547,2145,2402,Eastern Cape
EC157,King Sabata Dalindyebo,99544,17008,8938,8070,3564,1841,1723,2153,1123,1030,1761,922,839,75058,38404,36654,Eastern Cape
NMA,Nelson Mandela Bay,207355,35640,18651,16989,12916,6677,6239,19028,9472,9556,6713,3460,3253,133058,66271,66787,Eastern Cape
FS164,Naledi,4784,878,457,421,209,92,117,147,69,78,86,45,41,3464,1780,1684,Free State
FS191,Setsoto,21326,3549,1817,1732,1080,572,508,564,295,269,291,155,136,15842,8114,7728,Free State
FS196,Mantsopa,9639,1466,767,699,697,347,350,274,126,148,184,87,97,7018,3570,3448,Free State
MAN,Mangaung,146446,35908,18939,16969,10254,5381,4873,12416,6275,6141,4986,2627,2359,82882,41459,41423,Free State
EKU,Ekurhuleni,561288,127178,65499,61679,62465,31846,30619,51842,26112,25730,29607,15179,14428,290196,140917,149279,Gauteng
GT422,Midvaal,14873,3047,1550,1497,669,338,331,1951,977,974,979,493,486,8227,3907,4320,Gauteng
GT484,Merafong City,33062,7367,3767,3600,2564,1309,1255,2160,1097,1063,879,427,452,20092,10048,10044,Gauteng
JHB,City of Johannesburg,762710,183748,96716,87032,85251,43911,41340,96459,48923,47536,43288,22771,20517,353964,172977,180987,Gauteng
TSH,City of Tshwane,521523,128973,68127,60846,61072,31861,29211,73019,36496,36523,32905,16974,15931,225554,110579,114975,Gauteng
ETH,eThekwini,693451,171643,89078,82565,49384,25766,23618,71431,35781,35650,23218,11921,11297,377775,188111,189664,KwaZulu-Natal
KZN216,Hibiscus Coast,49248,11756,6120,5636,2320,1220,1100,3195,1553,1642,1331,683,648,30646,15558,15088,KwaZulu-Natal
KZN227,Richmond,12582,2025,998,1027,336,150,186,213,110,103,126,63,63,9882,4956,4926,KwaZulu-Natal
KZN241,Endumeni,12550,2546,1313,1233,354,163,191,754,382,372,279,129,150,8617,4231,4386,KwaZulu-Natal
KZN253,Emadlangeni,6381,1166,548,618,32,13,19,151,76,75,71,31,40,4961,2365,2596,KwaZulu-Natal
KZN271,Umhlabuyalingana,33462,5840,3023,2817,950,491,459,453,226,227,375,196,179,25844,13371,12473,KwaZulu-Natal
KZN282,uMhlathuze,68635,18490,9834,8656,6801,3624,3177,6244,3196,3048,2566,1391,1175,34534,17848,16686,KwaZulu-Natal
KZN292,KwaDukuza,45331,9448,4910,4538,2049,1038,1011,3026,1507,1519,1101,566,535,29707,15010,14697,KwaZulu-Natal
KZN433,Greater Kokstad,13520,2260,1237,1023,499,286,213,675,334,341,425,221,204,9661,4978,4683,KwaZulu-Natal
LIM334,Ba-Phalaborwa,29954,6812,3389,3423,1199,626,573,1336,669,667,538,286,252,20069,10322,9747,KwaZulu-Natal
LIM352,Aganang,27516,3734,1875,1859,910,448,462,405,191,214,186,86,100,22281,11015,11266,Limpopo
LIM364,Mookgopong,6054,1568,767,801,229,124,105,225,97,128,99,48,51,3933,1859,2074,Limpopo
LIM367,Mogalakwena,63974,9915,5004,4911,2972,1507,1465,1707,817,890,730,351,379,48650,24559,24091,Limpopo
LIM471,Ephraim Mogale,25296,3138,1574,1564,498,253,245,431,200,231,217,115,102,21012,10373,10639,Limpopo
LIM472,Elias Motsoaledi,52256,8312,4182,4130,3449,1725,1724,939,430,509,454,246,208,39102,19708,19394,Limpopo
LIM473,Makhuduthamaga,56308,7574,3854,3720,2240,1157,1083,800,376,424,338,164,174,45356,23073,22283,Limpopo
LIM474,Fetakgomo,19260,2032,1058,974,670,322,348,267,141,126,196,95,101,16095,8242,7853,Limpopo
LIM475,Greater Tubatse,71067,9771,4842,4929,2367,1179,1188,1547,746,801,882,446,436,56500,28903,27597,Limpopo
MP301,Albert Luthuli,41530,8494,4315,4179,1633,858,775,865,405,460,405,206,199,30133,15460,14673,Limpopo
MP302,Msukaligwa,28601,6644,3295,3349,2284,1218,1066,1680,856,824,765,406,359,17228,8650,8578,Mpumalanga
MP304,Pixley Ka Seme,15901,3244,1648,1596,811,407,404,617,293,324,237,131,106,10992,5623,5369,Mpumalanga
MP305,Lekwa,20721,4478,2263,2215,1701,855,846,1362,684,678,566,255,311,12614,6122,6492,Mpumalanga
MP306,Dipaleseng,7912,1765,857,908,146,85,61,295,142,153,163,73,90,5543,2747,2796,Mpumalanga
MP307,Govan Mbeki,55942,14146,6923,7223,3178,1525,1653,4839,2340,2499,2126,1057,1069,31653,15139,16514,Mpumalanga
MP312,Emalahleni,74685,18432,9298,9134,5767,2773,2994,6763,3328,3435,2967,1487,1480,40756,19231,21525,Mpumalanga
MP313,Steve Tshwete,40750,9663,4754,4909,1725,862,863,4328,2066,2262,2047,1014,1033,22987,11054,11933,Mpumalanga
MP314,Emakhazeni,8400,2404,1223,1181,342,183,159,401,190,211,162,78,84,5091,2487,2604,Mpumalanga
MP315,Thembisile,64572,15337,7915,7422,7317,3771,3546,1636,779,857,742,373,369,39540,19779,19761,Mpumalanga
MP316,Dr JS Moroka,51938,10641,5356,5285,4505,2288,2217,901,438,463,576,270,306,35315,17533,17782,Mpumalanga
MP321,Thaba Chweu,16619,3672,1834,1838,530,266,264,1249,640,609,545,273,272,10623,5081,5542,Mpumalanga
MP323,Umjindi,12000,3231,1638,1593,416,216,200,732,371,361,385,217,168,7236,3673,3563,Mpumalanga
MP324,Nkomazi,91866,20499,10437,10062,3108,1615,1493,2628,1339,1289,1017,528,489,64614,33115,31499,Mpumalanga
MP325,Bushbuckridge,125665,24042,12152,11890,6506,3420,3086,2346,1219,1127,1119,545,574,91652,47107,44545,Mpumalanga
NW371,Moretele,35151,6584,3330,3254,2227,1168,1059,604,282,322,358,170,188,25378,12567,12811,Mpumalanga
NW372,Madibeng,85788,18605,9189,9416,5100,2595,2505,3871,1846,2025,2200,1099,1101,56012,26784,29228,North West
NW374,Kgetlengrivier,8775,1374,701,673,280,140,140,471,218,253,195,87,108,6455,3113,3342,North West
NW375,Moses Kotane,42531,9174,4639,4535,1652,806,846,1118,518,600,643,343,300,29944,14713,15231,North West
NW381,Ratlou,19665,2307,1150,1157,395,204,191,174,83,91,112,56,56,16677,8560,8117,North West
NW382,Tswaing,23208,4273,2233,2040,750,357,393,534,270,264,176,90,86,17475,8810,8665,North West
NW383,Mafikeng,57940,12030,6323,5707,5138,2670,2468,2414,1228,1186,2562,1351,1211,35796,18164,17632,North West
NW385,Ramotshere Moiloa,26076,3932,2026,1906,549,285,264,627,303,324,392,197,195,20576,10310,10266,North West
NW392,Naledi,11720,2612,1367,1245,803,416,387,510,276,234,370,187,183,7425,3709,3716,North West
NW393,Mamusa,11103,1454,742,712,670,332,338,290,152,138,114,59,55,8575,4277,4298,North West
NW394,Greater Taung,33411,4672,2461,2211,1204,634,570,422,217,205,266,129,137,26847,13631,13216,North West
NW397,Kagisano/Molopo,18640,2420,1189,1231,610,341,269,244,113,131,159,81,78,15207,7925,7282,North West
NW401,Ventersdorp,9888,1950,967,983,180,97,83,177,85,92,105,57,48,7476,3738,3738,North West
NW402,Tlokwe City Council,32649,7561,3989,3572,2773,1544,1229,4465,2308,2157,1250,656,594,16600,8155,8445,North West
NW403,City of Matlosana,70284,12557,6411,6146,3514,1849,1665,4078,1943,2135,1952,946,1006,48183,24133,24050,North West
NW404,Maquassi Hills,14075,2328,1199,1129,501,246,255,478,226,252,189,97,92,10579,5366,5213,North West
NC061,Richtersveld,1718,374,189,185,24,9,15,108,48,60,56,35,21,1156,528,628,North West
NC064,Kamiesberg,1307,85,35,50,35,21,14,22,7,15,20,6,14,1145,541,604,Northern Cape
NC065,Hantam,3307,855,423,432,32,15,17,110,54,56,73,36,37,2237,1091,1146,Northern Cape
NC066,Karoo Hoogland,1603,323,174,149,14,7,7,45,16,29,41,18,23,1180,605,575,Northern Cape
NC067,Kh̢i-Ma,2152,383,181,202,36,24,12,61,29,32,61,27,34,1611,734,877,Northern Cape
NC072,Umsobomvu,4786,905,471,434,128,60,68,174,89,85,133,72,61,3446,1711,1735,Northern Cape
NC073,Emthanjeni,7046,939,519,420,69,39,30,281,139,142,210,107,103,5547,2791,2756,Northern Cape
NC074,Kareeberg,1735,343,190,153,43,27,16,44,20,24,29,19,10,1276,660,616,Northern Cape
NC075,Renosterberg,1723,248,128,120,38,18,20,53,21,32,48,18,30,1336,634,702,Northern Cape
NC076,Thembelihle,2683,447,224,223,68,40,28,112,56,56,36,18,18,2020,1007,1013,Northern Cape
NC078,Siyancuma,6151,672,353,319,62,28,34,206,94,112,119,59,60,5092,2580,2512,Northern Cape
NC081,Mier,1125,179,93,86,2,0,2,29,17,12,19,8,11,896,444,452,Northern Cape
NC082,Kai !Garib,13969,1655,789,866,216,108,108,314,155,159,189,85,104,11595,5374,6221,Northern Cape
NC083,//Khara Hais,16624,2530,1305,1225,399,205,194,985,505,480,516,261,255,12194,6120,6074,Northern Cape
NC084,!Kheis,2479,532,267,265,34,20,14,52,28,24,22,10,12,1839,912,927,Northern Cape
NC086,Kgatelopele,3313,852,427,425,101,34,67,209,101,108,80,41,39,2071,1015,1056,Northern Cape
NC091,Sol Plaatjie,43511,9365,4847,4518,2290,1189,1101,2842,1459,1383,1439,711,728,27575,13858,13717,Northern Cape
NC092,Dikgatlong,8145,2084,1095,989,109,48,61,252,121,131,89,45,44,5611,2805,2806,Northern Cape
NC093,Magareng,4377,1006,495,511,63,32,31,86,46,40,60,29,31,3162,1543,1619,Northern Cape
NC451,Joe Morolong,16140,2536,1350,1186,311,147,164,219,98,121,155,69,86,12919,6723,6196,Northern Cape
NC452,Ga-Segonyana,17842,2737,1416,1321,292,154,138,668,329,339,391,206,185,13754,6850,6904,Northern Cape
NC453,Gamagara,7106,1960,945,1015,136,66,70,678,332,346,367,191,176,3965,1878,2087,Northern Cape
CPT,City of Cape Town,658984,134732,72097,62635,62124,32576,29548,93499,46922,46577,29121,15169,13952,339508,171239,168269,Northern Cape
WC011,Matzikama,11311,1552,792,760,247,142,105,739,386,353,313,146,167,8460,4198,4262,Western Cape
WC013,Bergrivier,9483,1181,624,557,121,55,66,601,306,295,226,105,121,7354,3750,3604,Western Cape
WC014,Saldanha Bay,17031,3140,1569,1571,668,334,334,1521,728,793,478,241,237,11224,5602,5622,Western Cape
WC015,Swartland,17981,2411,1294,1117,534,278,256,1320,632,688,554,301,253,13162,6583,6579,Western Cape
WC022,Witzenberg,21326,3234,1645,1589,303,167,136,803,386,417,594,279,315,16392,7822,8570,Western Cape
WC023,Drakenstein,44783,9474,4968,4506,1425,773,652,4254,2124,2130,1373,687,686,28257,13997,14260,Western Cape
WC025,Breede Valley,28930,5767,3062,2705,570,300,270,1728,845,883,660,343,317,20205,10383,9822,Western Cape
WC026,Langeberg,16863,2522,1350,1172,760,384,376,817,390,427,289,132,157,12475,6252,6223,Western Cape
WC031,Theewaterskloof,18470,3828,2003,1825,511,265,246,921,442,479,436,230,206,12774,6138,6636,Western Cape
WC032,Overstrand,11391,1698,918,780,425,255,170,1040,539,501,295,142,153,7933,3939,3994,Western Cape
WC034,Swellendam,5858,1696,822,874,106,59,47,302,141,161,154,79,75,3600,1720,1880,Western Cape
WC041,Kannaland,4041,585,322,263,68,22,46,181,100,81,61,34,27,3146,1537,1609,Western Cape
WC042,Hessequa,7616,1239,665,574,141,71,70,560,281,279,179,85,94,5497,2785,2712,Western Cape
