geo_code,name,total,employed,employed-15-19,employed-15-19-Female,employed-15-19-Male,employed-20-24,employed-20-24-Female,employed-20-24-Male,unemployed,unemployed-15-19,unemployed-15-19-Female,unemployed-15-19-Male,unemployed-20-24,unemployed-20-24-Female,unemployed-20-24-Male,province
FS184,Matjhabeng,28585,10072,1544,632,912,8528,3407,5121,18513,4830,2460,2370,13683,7367,6316,Free State
FS185,Nala,4634,1877,368,139,229,1509,487,1022,2757,752,386,366,2005,1081,924,Free State
FS192,Dihlabeng,7796,3631,485,184,301,3146,1197,1949,4165,1027,556,471,3138,1777,1361,Free State
FS193,Nketoana,3599,1625,262,85,177,1363,420,943,1974,493,258,235,1481,837,644,Free State
FS194,Maluti a Phofung,18041,5992,1005,418,587,4987,2179,2808,12049,3253,1698,1555,8796,4729,4067,Free State
FS195,Phumelela,2633,1481,247,60,187,1234,320,914,1152,310,167,143,842,506,336,Free State
FS201,Moqhaka,9947,3826,561,193,368,3265,1103,2162,6121,1596,833,763,4525,2522,2003,Free State
FS203,Ngwathe,7273,3068,512,192,320,2556,987,1569,4205,1142,598,544,3063,1697,1366,Free State
FS204,Metsimaholo,11144,4907,723,277,446,4184,1452,2732,6237,1629,816,813,4608,2504,2104,Free State
FS205,Mafube,3253,1350,227,53,174,1123,325,798,1903,494,269,225,1409,766,643,Gauteng
GT421,Emfuleni,55409,22054,3274,1402,1872,18780,7746,11034,33355,9055,4805,4250,24300,12666,11634,Gauteng
GT423,Lesedi,7203,3890,553,209,344,3337,1175,2162,3313,1011,574,437,2302,1364,938,Gauteng
GT481,Mogale City,28659,15403,2129,896,1233,13274,5388,7886,13256,3611,1976,1635,9645,5115,4530,Gauteng
GT482,Randfontein,11714,5838,797,342,455,5041,1990,3051,5876,1509,796,713,4367,2332,2035,Gauteng
GT483,Westonaria,10107,4491,612,228,384,3879,1148,2731,5616,1580,813,767,4036,2133,1903,KwaZulu-Natal
KZN211,Vulamehlo,3125,836,219,114,105,617,261,356,2289,796,447,349,1493,804,689,KwaZulu-Natal
KZN212,Umdoni,4943,2220,430,194,236,1790,788,1002,2723,880,469,411,1843,965,878,KwaZulu-Natal
KZN213,Umzumbe,5866,1586,362,180,182,1224,582,642,4280,1258,660,598,3022,1525,1497,KwaZulu-Natal
KZN214,UMuziwabantu,3578,1676,512,227,285,1164,483,681,1902,641,314,327,1261,679,582,KwaZulu-Natal
KZN215,Ezingoleni,2039,755,162,73,89,593,274,319,1284,369,200,169,915,498,417,KwaZulu-Natal
KZN221,uMshwathi,6123,3646,875,501,374,2771,1215,1556,2477,869,468,401,1608,876,732,KwaZulu-Natal
KZN222,uMngeni,7179,3993,687,314,373,3306,1465,1841,3186,1058,568,490,2128,1143,985,KwaZulu-Natal
KZN223,Mpofana,2599,1589,285,113,172,1304,557,747,1010,288,145,143,722,383,339,KwaZulu-Natal
KZN224,Impendle,911,330,69,36,33,261,106,155,581,173,88,85,408,202,206,KwaZulu-Natal
KZN225,The Msunduzi,43208,18132,2938,1499,1439,15194,7079,8115,25076,7909,4135,3774,17167,9092,8075,KwaZulu-Natal
KZN226,Mkhambathini,3806,2093,379,172,207,1714,728,986,1713,528,268,260,1185,592,593,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,13513,5670,966,452,514,4704,2141,2563,7843,2403,1191,1212,5440,2889,2551,KwaZulu-Natal
KZN233,Indaka,2621,661,207,112,95,454,242,212,1960,686,376,310,1274,681,593,KwaZulu-Natal
KZN234,Umtshezi,3965,1545,302,146,156,1243,540,703,2420,713,410,303,1707,898,809,KwaZulu-Natal
KZN235,Okhahlamba,5173,1799,383,168,215,1416,562,854,3374,1175,614,561,2199,1228,971,KwaZulu-Natal
KZN236,Imbabazane,4814,1534,429,223,206,1105,464,641,3280,1067,561,506,2213,1139,1074,KwaZulu-Natal
KZN242,Nqutu,4322,1707,610,313,297,1097,564,533,2615,772,412,360,1843,1039,804,KwaZulu-Natal
KZN244,Msinga,4241,1332,469,260,209,863,485,378,2909,1170,660,510,1739,1014,725,KwaZulu-Natal
KZN245,Umvoti,5244,2661,592,323,269,2069,1054,1015,2583,897,499,398,1686,955,731,KwaZulu-Natal
KZN252,Newcastle,18903,7139,1253,587,666,5886,2611,3275,11764,3177,1664,1513,8587,4517,4070,KwaZulu-Natal
KZN254,Dannhauser,4587,1441,256,110,146,1185,482,703,3146,879,456,423,2267,1176,1091,KwaZulu-Natal
KZN261,eDumbe,3550,1581,332,122,210,1249,472,777,1969,614,342,272,1355,771,584,KwaZulu-Natal
KZN262,UPhongolo,6505,2954,687,315,372,2267,982,1285,3551,1150,555,595,2401,1296,1105,KwaZulu-Natal
KZN263,Abaqulusi,8601,3622,899,388,511,2723,1229,1494,4979,1617,860,757,3362,1753,1609,KwaZulu-Natal
KZN265,Nongoma,6556,2096,687,350,337,1409,801,608,4460,1496,818,678,2964,1736,1228,KwaZulu-Natal
KZN266,Ulundi,7051,1919,485,244,241,1434,762,672,5132,1567,779,788,3565,1986,1579,KwaZulu-Natal
KZN272,Jozini,6675,2535,884,427,457,1651,893,758,4140,1410,772,638,2730,1503,1227,KwaZulu-Natal
KZN273,The Big 5 False Bay,1508,852,204,96,108,648,332,316,656,265,154,111,391,213,178,KwaZulu-Natal
KZN274,Hlabisa,3118,841,233,121,112,608,314,294,2277,901,478,423,1376,764,612,KwaZulu-Natal
KZN275,Mtubatuba,7642,3340,901,469,432,2439,1209,1230,4302,1503,841,662,2799,1530,1269,KwaZulu-Natal
KZN281,Mfolozi,6215,2198,438,183,255,1760,723,1037,4017,1285,683,602,2732,1524,1208,KwaZulu-Natal
KZN283,Ntambanana,3336,999,291,153,138,708,333,375,2337,887,440,447,1450,770,680,KwaZulu-Natal
KZN284,uMlalazi,8171,3644,918,438,480,2726,1273,1453,4527,1471,765,706,3056,1650,1406,KwaZulu-Natal
KZN285,Mthonjaneni,2380,1266,284,147,137,982,490,492,1114,434,249,185,680,387,293,KwaZulu-Natal
KZN286,Nkandla,2792,1025,302,161,141,723,387,336,1767,564,320,244,1203,684,519,KwaZulu-Natal
KZN291,Mandeni,8673,4619,877,406,471,3742,1742,2000,4054,1154,623,531,2900,1572,1328,KwaZulu-Natal
KZN293,Ndwedwe,5449,1711,423,193,230,1288,550,738,3738,1320,726,594,2418,1284,1134,KwaZulu-Natal
KZN294,Maphumulo,2849,1060,403,207,196,657,341,316,1789,618,325,293,1171,626,545,KwaZulu-Natal
