geo_code,name,total,Chemical_toilet,Chemical_toilet_Female,Chemical_toilet_Male,Flush_toilet,Flush_toilet_Female,Flush_toilet_Male,No_toilet_facilities,No_toilet_facilities_Female,No_toilet_facilities_Male,Other,Other_Female,Other_Male,Pit_latrine_ventilated,Pit_latrine_ventilated_Female,Pit_latrine_ventilated_Male,Unventilated_pit_latrine_Bucket_toilet,Unventilated_pit_latrine_Bucket_toilet_Female,Unventilated_pit_latrine_Bucket_toilet_Male,province
EC155,Nyandeni,64882,2796,1423,1373,1160,598,562,17953,9136,8817,4160,1990,2170,22397,11126,11271,16416,8090,8326,Eastern Cape
EC156,Mhlontlo,40531,2181,1056,1125,1328,730,598,8667,4338,4329,1522,715,807,11131,5342,5789,15702,7462,8240,Eastern Cape
EC441,Matatiele,42166,2044,955,1089,4085,2177,1908,5704,3174,2530,2433,1181,1252,10205,4954,5251,17695,8628,9067,Eastern Cape
EC442,Umzimvubu,40443,3623,1815,1808,2149,1136,1013,3939,1958,1981,1624,797,827,11390,5614,5776,17718,8823,8895,Eastern Cape
EC443,Mbizana,60282,2194,1163,1031,1079,573,506,9368,4934,4434,3203,1640,1563,20277,10345,9932,24161,12252,11909,Eastern Cape
EC444,Ntabankulu,26528,1142,545,597,569,313,256,7076,3560,3516,1860,946,914,7918,4001,3917,7963,4034,3929,Free State
FS161,Letsemeng,7112,33,15,18,5384,2601,2783,403,165,238,60,23,37,706,364,342,526,266,260,Free State
FS162,Kopanong,8736,34,16,18,7477,3751,3726,554,272,282,165,70,95,159,68,91,347,178,169,Free State
FS163,Mohokare,6474,2,1,1,4705,2353,2352,396,190,206,65,26,39,219,109,110,1087,575,512,Free State
FS181,Masilonyana,11616,21,12,9,8842,4455,4387,320,153,167,67,38,29,85,45,40,2281,1158,1123,Free State
FS182,Tokologo,5357,40,23,17,1281,672,609,497,231,266,68,37,31,2315,1194,1121,1156,602,554,Free State
FS183,Tswelopele,8957,88,40,48,7552,3849,3703,433,223,210,115,62,53,140,72,68,629,303,326,Free State
FS184,Matjhabeng,78249,52,24,28,64870,32523,32347,1925,902,1023,1520,793,727,372,184,188,9510,4748,4762,Free State
FS185,Nala,15031,23,12,11,10761,5524,5237,288,150,138,249,145,104,132,62,70,3578,1837,1741,Free State
FS192,Dihlabeng,22992,84,35,49,16581,8515,8066,607,306,301,215,107,108,1954,1011,943,3551,1784,1767,Free State
FS193,Nketoana,11594,24,14,10,7208,3595,3613,288,153,135,183,93,90,610,325,285,3281,1656,1625,Free State
FS194,Maluti a Phofung,74521,2149,1124,1025,23193,11958,11235,1539,723,816,1365,692,673,11942,5996,5946,34333,17472,16861,Free State
FS195,Phumelela,9010,32,11,21,5518,2804,2714,467,216,251,379,203,176,236,117,119,2378,1208,1170,Free State
FS201,Moqhaka,29331,59,32,27,25353,12264,13089,470,228,242,396,188,208,1266,614,652,1787,882,905,Free State
FS203,Ngwathe,21476,10,7,3,16368,8215,8153,371,191,180,145,68,77,1325,654,671,3257,1730,1527,Free State
FS204,Metsimaholo,27487,88,37,51,21923,10348,11575,239,130,109,524,266,258,95,52,43,4618,2365,2253,Free State
FS205,Mafube,10923,46,27,19,8764,4430,4334,188,96,92,91,48,43,93,40,53,1741,925,816,Gauteng
GT421,Emfuleni,139353,323,169,154,128178,64632,63546,1060,526,534,700,326,374,911,502,409,8181,4074,4107,Gauteng
GT423,Lesedi,17637,63,33,30,15774,7615,8159,166,71,95,156,70,86,122,79,43,1356,649,707,Gauteng
GT481,Mogale City,64747,1603,745,858,56420,26538,29882,912,427,485,533,260,273,1306,596,710,3973,1955,2018,Gauteng
GT482,Randfontein,25496,139,66,73,21413,10642,10771,483,196,287,108,52,56,417,203,214,2936,1472,1464,Gauteng
GT483,Westonaria,20146,131,64,67,13420,6596,6824,326,125,201,256,102,154,3963,1940,2023,2050,950,1100,KwaZulu-Natal
KZN211,Vulamehlo,16018,2976,1503,1473,537,261,276,502,275,227,708,316,392,4396,2243,2153,6899,3502,3397,KwaZulu-Natal
KZN212,Umdoni,15294,893,446,447,5247,2594,2653,275,139,136,1472,769,703,2704,1359,1345,4703,2352,2351,KwaZulu-Natal
KZN213,Umzumbe,33662,2646,1342,1304,1465,810,655,1501,709,792,2650,1365,1285,4777,2329,2448,20623,10164,10459,KwaZulu-Natal
KZN214,UMuziwabantu,20524,3055,1603,1452,1760,882,878,786,400,386,2108,1046,1062,5139,2593,2546,7676,3872,3804,KwaZulu-Natal
KZN215,Ezingoleni,11086,163,84,79,305,150,155,601,291,310,285,136,149,7601,3794,3807,2131,1083,1048,KwaZulu-Natal
KZN221,uMshwathi,22263,2752,1380,1372,3183,1505,1678,996,495,501,607,346,261,10746,5463,5283,3979,2046,1933,KwaZulu-Natal
KZN222,uMngeni,17261,79,25,54,12505,6047,6458,277,122,155,408,216,192,487,233,254,3505,1741,1764,KwaZulu-Natal
KZN223,Mpofana,7495,125,67,58,4092,1953,2139,949,481,468,287,136,151,610,315,295,1432,706,726,KwaZulu-Natal
KZN224,Impendle,6835,463,245,218,283,135,148,95,50,45,709,352,357,1952,995,957,3333,1615,1718,KwaZulu-Natal
KZN225,The Msunduzi,129445,4725,2447,2278,66985,34240,32745,1820,898,922,3243,1686,1557,28977,14413,14564,23695,11981,11714,KwaZulu-Natal
KZN226,Mkhambathini,12903,362,188,174,1323,553,770,758,380,378,454,212,242,6554,3225,3329,3452,1800,1652,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,46332,1198,601,597,21842,11311,10531,1346,671,675,970,481,489,6757,3456,3301,14219,7315,6904,KwaZulu-Natal
KZN233,Indaka,21833,494,292,202,2628,1366,1262,4487,2502,1985,1085,569,516,6550,3384,3166,6589,3463,3126,KwaZulu-Natal
KZN234,Umtshezi,16277,1171,623,548,6646,3368,3278,3653,1877,1776,712,396,316,1408,702,706,2687,1361,1326,KwaZulu-Natal
KZN235,Okhahlamba,26455,3678,1932,1746,1707,806,901,3048,1606,1442,495,245,250,8850,4483,4367,8677,4401,4276,KwaZulu-Natal
KZN236,Imbabazane,23882,1018,546,472,336,170,166,558,311,247,489,235,254,11092,5639,5453,10389,5229,5160,KwaZulu-Natal
KZN242,Nqutu,35171,846,431,415,1742,984,758,2825,1497,1328,1477,766,711,12942,6654,6288,15339,7938,7401,KwaZulu-Natal
KZN244,Msinga,36314,3050,1639,1411,1113,614,499,8860,4855,4005,1651,842,809,12140,6591,5549,9500,5158,4342,KwaZulu-Natal
KZN245,Umvoti,21345,3207,1635,1572,4440,2334,2106,1868,969,899,968,512,456,5906,3238,2668,4956,2637,2319,KwaZulu-Natal
KZN252,Newcastle,76117,3757,1912,1845,42333,20904,21429,1324,702,622,1848,886,962,7558,3774,3784,19297,9791,9506,KwaZulu-Natal
KZN254,Dannhauser,21729,2320,1130,1190,2004,982,1022,355,188,167,343,168,175,1979,996,983,14728,7290,7438,KwaZulu-Natal
KZN261,eDumbe,16975,1478,748,730,3426,1708,1718,1803,861,942,347,153,194,6914,3577,3337,3007,1518,1489,KwaZulu-Natal
KZN262,UPhongolo,28040,728,380,348,2134,1078,1056,7010,3716,3294,623,302,321,8989,4511,4478,8556,4340,4216,KwaZulu-Natal
KZN263,Abaqulusi,43667,2404,1178,1226,16048,8124,7924,6360,3192,3168,1978,1024,954,4804,2375,2429,12073,6009,6064,KwaZulu-Natal
KZN265,Nongoma,43904,4230,2270,1960,2135,1153,982,13576,7129,6447,2455,1316,1139,8168,4112,4056,13340,6830,6510,KwaZulu-Natal
KZN266,Ulundi,40631,7428,3769,3659,6124,3317,2807,8129,4340,3789,2442,1309,1133,8803,4530,4273,7705,3925,3780,KwaZulu-Natal
KZN272,Jozini,41509,9285,4788,4497,2344,1274,1070,10064,5216,4848,1897,1006,891,8052,4103,3949,9867,5154,4713,KwaZulu-Natal
KZN273,The Big 5 False Bay,7428,691,346,345,805,435,370,958,505,453,121,60,61,4074,2074,2000,779,382,397,KwaZulu-Natal
KZN274,Hlabisa,16046,4353,2261,2092,647,387,260,1075,587,488,272,131,141,7088,3587,3501,2611,1330,1281,KwaZulu-Natal
KZN275,Mtubatuba,37331,2966,1528,1438,4508,2409,2099,7706,4034,3672,5651,2959,2692,4690,2352,2338,11810,6012,5798,KwaZulu-Natal
KZN281,Mfolozi,26157,2920,1496,1424,1438,715,723,3222,1595,1627,1039,545,494,6298,3243,3055,11240,5624,5616,KwaZulu-Natal
KZN283,Ntambanana,16572,445,211,234,419,209,210,4132,2168,1964,765,379,386,6521,3294,3227,4290,2164,2126,KwaZulu-Natal
KZN284,uMlalazi,45247,4341,2110,2231,5152,2757,2395,11410,6033,5377,4220,2142,2078,4426,2193,2233,15698,7982,7716,KwaZulu-Natal
KZN285,Mthonjaneni,9680,1088,556,532,1844,1009,835,1068,548,520,871,474,397,1199,622,577,3610,1798,1812,KwaZulu-Natal
KZN286,Nkandla,24761,4993,2582,2411,1581,850,731,3254,1770,1484,1447,769,678,3741,1989,1752,9745,5021,4724,KwaZulu-Natal
KZN291,Mandeni,29241,6869,3455,3414,7194,3626,3568,1222,600,622,979,483,496,4591,2371,2220,8386,4211,4175,KwaZulu-Natal
KZN293,Ndwedwe,29628,9638,4867,4771,1964,1001,963,1392,710,682,1665,840,825,5989,3083,2906,8980,4456,4524,KwaZulu-Natal
KZN294,Maphumulo,20725,3719,1982,1737,496,283,213,2880,1651,1229,601,321,280,4734,2485,2249,8295,4280,4015,KwaZulu-Natal
KZN431,Ingwe,20848,1168,594,574,851,348,503,579,304,275,2664,1370,1294,6820,3422,3398,8766,4453,4313,KwaZulu-Natal
KZN432,Kwa Sani,2278,51,25,26,681,309,372,63,25,38,59,27,32,592,287,305,832,365,467,KwaZulu-Natal
KZN434,Ubuhlebezwe,21090,1347,708,639,2121,1114,1007,574,288,286,767,393,374,8176,4031,4145,8105,4049,4056,KwaZulu-Natal
KZN435,Umzimkhulu,39438,1671,891,780,2220,1181,1039,1081,637,444,1552,792,760,8325,4335,3990,24589,12810,11779,Limpopo
LIM331,Greater Giyani,57597,655,316,339,5646,2943,2703,10073,5233,4840,1963,940,1023,10259,5303,4956,29001,14736,14265,Limpopo
LIM332,Greater Letaba,50121,368,175,193,3215,1452,1763,4642,2245,2397,713,363,350,10870,5509,5361,30313,15060,15253,Limpopo
LIM333,Greater Tzaneen,82786,1237,589,648,9822,4870,4952,8143,4066,4077,1251,633,618,18740,9496,9244,43593,21805,21788,Limpopo
LIM335,Maruleng,20841,81,28,53,1038,522,516,833,433,400,92,46,46,6979,3496,3483,11818,5960,5858,Limpopo
LIM341,Musina,12959,35,10,25,9055,4859,4196,1474,668,806,115,63,52,1073,567,506,1207,596,611,Limpopo
LIM342,Mutale,20612,88,50,38,790,346,444,386,175,211,40,19,21,12228,6184,6044,7080,3573,3507,Limpopo
LIM343,Thulamela,144251,1216,589,627,18694,9591,9103,14367,7155,7212,2112,1054,1058,24479,12454,12025,83383,41704,41679,Limpopo
LIM344,Makhado,110092,958,485,473,11127,5282,5845,5965,2835,3130,858,431,427,26202,13322,12880,64982,32343,32639,Limpopo
LIM351,Blouberg,36568,662,316,346,1766,859,907,3654,1875,1779,620,316,304,5662,2958,2704,24204,12219,11985,Limpopo
LIM353,Molemole,23449,154,71,83,3300,1654,1646,720,352,368,198,92,106,4472,2161,2311,14605,7205,7400,Limpopo
LIM354,Polokwane,136583,514,261,253,54369,28158,26211,3095,1520,1575,965,425,540,10022,5015,5007,67618,33869,33749,Limpopo
LIM355,Lepele-Nkumpi,48067,255,132,123,7635,3744,3891,1186,610,576,547,274,273,9153,4630,4523,29291,14622,14669,Limpopo
LIM361,Thabazimbi,13365,154,52,102,9213,4461,4752,828,371,457,427,173,254,399,182,217,2344,955,1389,Limpopo
LIM362,Lephalale,24068,167,84,83,9587,4143,5444,948,401,547,175,67,108,7424,3692,3732,5767,2741,3026,Limpopo
LIM365,Modimolle,12506,33,12,21,8493,4244,4249,343,146,197,546,297,249,377,159,218,2714,1369,1345,Limpopo
LIM366,Bela-Bela,11773,246,138,108,9423,4653,4770,249,120,129,159,71,88,322,152,170,1374,647,727,Eastern Cape
BUF,Buffalo City,141873,2448,1161,1287,101807,52693,49114,7632,3954,3678,4356,2138,2218,7445,3510,3935,18185,8727,9458,Eastern Cape
EC101,Camdeboo,9285,4,2,2,8243,4033,4210,434,205,229,78,42,36,221,108,113,305,140,165,Eastern Cape
EC105,Ndlambe,9714,202,101,101,5418,2704,2714,301,152,149,912,425,487,585,304,281,2296,1125,1171,Eastern Cape
EC122,Mnquma,51891,2335,1139,1196,9743,5320,4423,3374,1635,1739,17097,8310,8787,3841,1822,2019,15501,7194,8307,Eastern Cape
EC128,Nxuba,4205,1,1,0,2803,1392,1411,201,96,105,57,33,24,14,9,5,1129,523,606,Eastern Cape
EC135,Intsika Yethu,27290,596,273,323,1169,613,556,9640,4476,5164,1358,648,710,6145,2872,3273,8382,3812,4570,Eastern Cape
EC144,Gariep,5929,167,79,88,4509,2170,2339,534,249,285,49,14,35,127,71,56,543,245,298,Eastern Cape
EC157,King Sabata Dalindyebo,105336,6922,3662,3260,24107,13361,10746,14303,7262,7041,4213,2118,2095,27349,13816,13533,28442,14260,14182,Eastern Cape
NMA,Nelson Mandela Bay,212989,147,78,69,194397,98328,96069,3286,1587,1699,1431,734,697,661,333,328,13067,6716,6351,Eastern Cape
FS164,Naledi,4786,13,6,7,4180,2139,2041,154,80,74,80,37,43,130,69,61,229,112,117,Free State
FS191,Setsoto,21750,139,69,70,12300,6359,5941,866,463,403,252,120,132,1156,590,566,7037,3551,3486,Free State
FS196,Mantsopa,9791,11,7,4,6764,3436,3328,243,133,110,66,22,44,400,194,206,2307,1169,1138,Free State
MAN,Mangaung,152441,556,270,286,97412,49097,48315,3899,1922,1977,1236,586,650,27419,13858,13561,21919,11278,10641,Free State
EKU,Ekurhuleni,565236,6607,3091,3516,501857,251914,249943,5603,2503,3100,4778,2244,2534,2961,1412,1549,43430,19690,23740,Gauteng
GT422,Midvaal,15715,802,386,416,12388,6249,6139,277,123,154,162,71,91,189,83,106,1897,900,997,Gauteng
GT484,Merafong City,33873,157,60,97,28051,13985,14066,443,210,233,393,188,205,703,375,328,4126,2088,2038,Gauteng
JHB,City of Johannesburg,787981,9683,4491,5192,703560,357820,345740,6588,2961,3627,5666,2675,2991,25651,12080,13571,36833,17294,19539,Gauteng
TSH,City of Tshwane,548135,3620,1753,1867,430004,218883,211121,7627,3755,3872,4006,1871,2135,13906,6851,7055,88972,43552,45420,Gauteng
ETH,eThekwini,706602,57940,29118,28822,466955,236329,230626,12770,6534,6236,21061,10727,10334,43659,22227,21432,104217,52727,51490,KwaZulu-Natal
KZN216,Hibiscus Coast,50268,4757,2446,2311,14843,7537,7306,2387,1189,1198,3249,1665,1584,7177,3752,3425,17855,9000,8855,KwaZulu-Natal
KZN227,Richmond,12855,2613,1286,1327,1684,779,905,276,142,134,493,243,250,4712,2395,2317,3077,1539,1538,KwaZulu-Natal
KZN241,Endumeni,13249,126,54,72,10047,4930,5117,588,314,274,316,161,155,877,418,459,1295,607,688,KwaZulu-Natal
KZN253,Emadlangeni,6592,1062,493,569,1296,631,665,1069,501,568,338,153,185,163,72,91,2664,1259,1405,KwaZulu-Natal
KZN271,Umhlabuyalingana,33602,6269,3181,3088,1011,568,443,5825,3053,2772,828,413,415,14336,7327,7009,5333,2843,2490,KwaZulu-Natal
KZN282,uMhlathuze,73006,7892,4071,3821,35466,19061,16405,2641,1384,1257,2970,1503,1467,10707,5381,5326,13330,6861,6469,KwaZulu-Natal
KZN292,KwaDukuza,45518,4007,2008,1999,15624,7938,7686,1673,845,828,658,320,338,10696,5449,5247,12860,6570,6290,KwaZulu-Natal
KZN433,Greater Kokstad,13666,885,447,438,8706,4621,4085,372,184,188,237,102,135,1503,767,736,1963,982,981,KwaZulu-Natal
LIM334,Ba-Phalaborwa,30399,377,176,201,11731,5938,5793,2691,1447,1244,523,261,262,6026,3035,2991,9051,4641,4410,KwaZulu-Natal
LIM352,Aganang,28068,178,95,83,929,504,425,1280,673,607,114,53,61,3656,1732,1924,21911,10873,11038,Limpopo
LIM364,Mookgopong,6112,65,34,31,3690,1825,1865,301,127,174,176,84,92,195,82,113,1685,758,927,Limpopo
LIM367,Mogalakwena,64676,738,347,391,15404,7775,7629,1664,831,833,342,163,179,7952,4047,3905,38576,19354,19222,Limpopo
LIM471,Ephraim Mogale,25315,476,231,245,1762,878,884,1072,477,595,465,217,248,4114,2104,2010,17426,8620,8806,Limpopo
LIM472,Elias Motsoaledi,52864,722,367,355,4495,2355,2140,1771,891,880,1412,700,712,4410,2160,2250,40054,20142,19912,Limpopo
LIM473,Makhuduthamaga,56906,625,332,293,1877,1035,842,1818,977,841,784,409,375,6776,3501,3275,45026,22768,22258,Limpopo
LIM474,Fetakgomo,19289,184,88,96,330,171,159,648,348,300,166,85,81,4245,2185,2060,13716,6995,6721,Limpopo
LIM475,Greater Tubatse,71771,650,312,338,3824,1864,1960,3963,2028,1935,1238,616,622,7309,3661,3648,54787,27957,26830,Limpopo
MP301,Albert Luthuli,41790,962,524,438,6165,3146,3019,1714,887,827,1130,599,531,17924,9196,8728,13895,7002,6893,Limpopo
MP302,Msukaligwa,29083,296,137,159,20784,10450,10334,1286,642,644,1629,829,800,1109,559,550,3979,1964,2015,Mpumalanga
MP304,Pixley Ka Seme,16029,98,53,45,9316,4745,4571,853,426,427,265,148,117,3487,1799,1688,2010,995,1015,Mpumalanga
MP305,Lekwa,21441,156,69,87,18312,8883,9429,712,356,356,406,201,205,422,201,221,1433,664,769,Mpumalanga
MP306,Dipaleseng,7962,28,13,15,6273,3048,3225,377,203,174,86,48,38,122,62,60,1076,542,534,Mpumalanga
MP307,Govan Mbeki,56437,259,127,132,51485,24717,26768,899,442,457,609,273,336,1649,803,846,1536,707,829,Mpumalanga
MP312,Emalahleni,75357,483,210,273,57809,28344,29465,1268,525,743,1159,533,626,2020,972,1048,12618,5661,6957,Mpumalanga
MP313,Steve Tshwete,41506,450,223,227,34916,16948,17968,693,323,370,340,163,177,1258,579,679,3849,1793,2056,Mpumalanga
MP314,Emakhazeni,8629,76,39,37,6748,3323,3425,517,246,271,246,126,120,187,89,98,855,411,444,Mpumalanga
MP315,Thembisile,64657,1120,556,564,5280,2614,2666,984,532,452,618,308,310,14023,7144,6879,42632,21506,21126,Mpumalanga
MP316,Dr JS Moroka,52044,301,139,162,7498,3728,3770,661,324,337,117,50,67,13901,6974,6927,29566,14726,14840,Mpumalanga
MP321,Thaba Chweu,17468,51,21,30,11402,5625,5777,489,221,268,250,98,152,1171,581,590,4105,1977,2128,Mpumalanga
MP323,Umjindi,12953,47,27,20,8460,3965,4495,437,205,232,267,141,126,421,213,208,3321,1693,1628,Mpumalanga
MP324,Nkomazi,92377,3506,1780,1726,6496,3306,3190,11175,5735,5440,1805,925,880,26469,13519,12950,42926,22008,20918,Mpumalanga
MP325,Bushbuckridge,125833,1391,702,689,7574,3884,3690,13209,6874,6335,817,435,382,13982,7157,6825,88860,45492,43368,Mpumalanga
NW371,Moretele,35190,262,130,132,2059,1000,1059,312,159,153,80,45,35,9634,4776,4858,22843,11428,11415,Mpumalanga
NW372,Madibeng,87188,712,335,377,28367,13651,14716,4520,1898,2622,1572,748,824,7953,3826,4127,44064,21495,22569,North West
