geo_code,name,total,Chemical_toilet,Chemical_toilet_Female,Chemical_toilet_Male,Flush_toilet,Flush_toilet_Female,Flush_toilet_Male,No_toilet_facilities,No_toilet_facilities_Female,No_toilet_facilities_Male,Other,Other_Female,Other_Male,Pit_latrine_ventilated,Pit_latrine_ventilated_Female,Pit_latrine_ventilated_Male,Unventilated_pit_latrine_Bucket_toilet,Unventilated_pit_latrine_Bucket_toilet_Female,Unventilated_pit_latrine_Bucket_toilet_Male,province
NW404,Maquassi Hills,14315,88,48,40,11162,5701,5461,1825,896,929,271,115,156,169,74,95,800,372,428,North West
NC061,Richtersveld,1766,5,5,0,1419,663,756,65,27,38,41,18,23,174,80,94,62,33,29,North West
NC064,Kamiesberg,1600,1,0,1,849,375,474,40,17,23,5,2,3,659,323,336,46,22,24,Northern Cape
NC065,Hantam,3442,17,7,10,2776,1361,1415,128,55,73,51,28,23,299,142,157,171,80,91,Northern Cape
NC066,Karoo Hoogland,1764,14,8,6,947,472,475,106,59,47,24,12,12,587,309,278,86,42,44,Northern Cape
NC067,Kh̢i-Ma,2257,7,4,3,1842,872,970,74,35,39,12,3,9,214,116,98,108,48,60,Northern Cape
NC072,Umsobomvu,4858,161,67,94,3740,1888,1852,270,127,143,86,31,55,507,262,245,94,44,50,Northern Cape
NC073,Emthanjeni,7298,11,9,2,6431,3194,3237,121,61,60,33,24,9,222,119,103,480,247,233,Northern Cape
NC074,Kareeberg,1867,4,1,3,1467,753,714,86,38,48,9,4,5,196,110,86,105,56,49,Northern Cape
NC075,Renosterberg,1723,0,0,0,1447,681,766,119,56,63,19,9,10,98,49,49,40,23,17,Northern Cape
NC076,Thembelihle,2741,15,6,9,1910,957,953,253,136,117,16,7,9,276,137,139,271,124,147,Northern Cape
NC078,Siyancuma,6326,13,7,6,4189,2033,2156,571,297,274,38,14,24,452,214,238,1063,585,478,Northern Cape
NC081,Mier,1217,0,0,0,555,265,290,179,96,83,5,2,3,414,222,192,64,30,34,Northern Cape
NC082,Kai !Garib,14129,9,5,4,11161,5228,5933,1139,511,628,141,53,88,639,284,355,1040,490,550,Northern Cape
NC083,//Khara Hais,17117,49,28,21,13362,6608,6754,679,367,312,45,13,32,614,307,307,2368,1201,1167,Northern Cape
NC084,!Kheis,2606,25,9,16,1477,737,740,406,200,206,95,48,47,328,167,161,275,137,138,Northern Cape
NC086,Kgatelopele,3317,19,11,8,3137,1535,1602,57,17,40,20,7,13,40,24,16,44,24,20,Northern Cape
NC091,Sol Plaatjie,44617,72,38,34,39493,19731,19762,1289,677,612,1014,546,468,81,47,34,2668,1434,1234,Northern Cape
NC092,Dikgatlong,8195,14,7,7,6193,3079,3114,906,480,426,80,49,31,173,88,85,829,412,417,Northern Cape
NC093,Magareng,4379,2,2,0,3833,1871,1962,153,68,85,12,6,6,216,125,91,163,74,89,Northern Cape
NC451,Joe Morolong,16196,274,145,129,830,374,456,1089,566,523,304,160,144,6756,3494,3262,6943,3668,3275,Northern Cape
NC452,Ga-Segonyana,17924,184,94,90,4256,2121,2135,1538,784,754,333,184,149,2613,1300,1313,9000,4541,4459,Northern Cape
NC453,Gamagara,7466,123,29,94,6353,3004,3349,184,79,105,143,70,73,348,178,170,315,148,167,Northern Cape
CPT,City of Cape Town,681640,6360,3340,3020,622332,317517,304815,16720,8491,8229,6195,3137,3058,1343,689,654,28690,14961,13729,Northern Cape
WC011,Matzikama,12171,42,24,18,8525,4234,4291,1307,648,659,1696,839,857,199,99,100,402,217,185,Western Cape
WC013,Bergrivier,10599,19,7,12,9419,4968,4451,598,298,300,283,146,137,77,35,42,203,101,102,Western Cape
WC014,Saldanha Bay,17772,8,3,5,16863,8396,8467,647,367,280,105,48,57,17,9,8,132,75,57,Western Cape
WC015,Swartland,20431,31,19,12,18222,9316,8906,674,268,406,357,171,186,421,223,198,726,371,355,Western Cape
WC022,Witzenberg,22176,203,87,116,20290,9656,10634,585,256,329,469,209,260,212,102,110,417,197,220,Western Cape
WC023,Drakenstein,48377,62,32,30,45761,22643,23118,549,265,284,606,316,290,140,79,61,1259,602,657,Western Cape
WC025,Breede Valley,30628,255,131,124,27528,13795,13733,1340,680,660,628,334,294,70,46,24,807,442,365,Western Cape
WC026,Langeberg,17124,24,15,9,15323,7722,7601,588,281,307,681,321,360,46,22,24,462,253,209,Western Cape
WC031,Theewaterskloof,19056,31,12,19,16695,8153,8542,1484,692,792,321,158,163,187,100,87,338,169,169,Western Cape
WC032,Overstrand,11590,3,1,2,10740,5476,5264,197,91,106,388,187,201,18,11,7,244,140,104,Western Cape
WC034,Swellendam,6098,2,0,2,5286,2583,2703,193,106,87,277,101,176,64,38,26,276,124,152,Western Cape
WC041,Kannaland,4225,6,2,4,3104,1543,1561,184,93,91,155,75,80,606,310,296,170,73,97,Western Cape
WC042,Hessequa,7651,14,6,8,6864,3500,3364,138,63,75,104,53,51,269,151,118,262,137,125,Western Cape
WC043,Mossel Bay,13802,30,13,17,12270,6270,6000,597,313,284,247,131,116,161,81,80,497,265,232,Western Cape
