geo_code,name,total,Completed,Completed-Female,Completed-Male,Not completed,Not completed-Female,Not completed-Male,province
KZN242,Nqutu,8806,5671,3080,2591,3135,1192,1943,KwaZulu-Natal
KZN244,Msinga,10083,6085,3288,2797,3998,1768,2230,KwaZulu-Natal
KZN245,Umvoti,4960,3113,1692,1421,1847,811,1036,KwaZulu-Natal
KZN252,Newcastle,16009,12147,6519,5628,3862,1542,2320,KwaZulu-Natal
KZN254,Dannhauser,5158,3554,1952,1602,1604,591,1013,KwaZulu-Natal
KZN261,eDumbe,4013,2534,1305,1229,1479,577,902,KwaZulu-Natal
KZN262,UPhongolo,6394,4289,2311,1978,2105,858,1247,KwaZulu-Natal
KZN263,Abaqulusi,9915,6426,3519,2907,3489,1399,2090,KwaZulu-Natal
KZN265,Nongoma,10705,7129,3871,3258,3576,1327,2249,KwaZulu-Natal
KZN266,Ulundi,9503,6787,3746,3041,2716,1040,1676,KwaZulu-Natal
KZN272,Jozini,10072,5762,3160,2602,4310,1829,2481,KwaZulu-Natal
KZN273,The Big 5 False Bay,1714,1003,562,441,711,298,413,KwaZulu-Natal
KZN274,Hlabisa,3972,2587,1405,1182,1385,527,858,KwaZulu-Natal
KZN275,Mtubatuba,8500,5582,3029,2553,2918,1220,1698,KwaZulu-Natal
KZN281,Mfolozi,5806,3990,2153,1837,1816,700,1116,KwaZulu-Natal
KZN283,Ntambanana,3921,2389,1331,1058,1532,565,967,KwaZulu-Natal
KZN284,uMlalazi,10630,6956,3869,3087,3674,1420,2254,KwaZulu-Natal
KZN285,Mthonjaneni,2176,1348,761,587,828,327,501,KwaZulu-Natal
KZN286,Nkandla,6285,4244,2322,1922,2041,785,1256,KwaZulu-Natal
KZN291,Mandeni,6021,3983,2152,1831,2038,846,1192,KwaZulu-Natal
KZN293,Ndwedwe,7113,4765,2603,2162,2348,961,1387,KwaZulu-Natal
KZN294,Maphumulo,5560,3741,2035,1706,1819,740,1079,KwaZulu-Natal
KZN431,Ingwe,5060,3133,1687,1446,1927,708,1219,KwaZulu-Natal
KZN432,Kwa Sani,373,213,100,113,160,62,98,KwaZulu-Natal
KZN434,Ubuhlebezwe,5064,3175,1748,1427,1889,745,1144,KwaZulu-Natal
KZN435,Umzimkhulu,10089,5215,3111,2104,4874,1867,3007,Limpopo
LIM331,Greater Giyani,13351,8674,4897,3777,4677,1821,2856,Limpopo
LIM332,Greater Letaba,11512,8273,4465,3808,3239,1244,1995,Limpopo
LIM333,Greater Tzaneen,17322,11926,6605,5321,5396,2119,3277,Limpopo
LIM335,Maruleng,4701,3228,1823,1405,1473,580,893,Limpopo
LIM341,Musina,1995,1180,653,527,815,375,440,Limpopo
LIM342,Mutale,5169,3278,1826,1452,1891,737,1154,Limpopo
LIM343,Thulamela,33344,23252,12779,10473,10092,3789,6303,Limpopo
LIM344,Makhado,25962,17932,9746,8186,8030,3015,5015,Limpopo
LIM351,Blouberg,9011,5615,3056,2559,3396,1325,2071,Limpopo
LIM353,Molemole,5321,3851,2059,1792,1470,512,958,Limpopo
LIM354,Polokwane,25303,19271,10488,8783,6032,2162,3870,Limpopo
LIM355,Lepele-Nkumpi,11831,8574,4643,3931,3257,1160,2097,Limpopo
LIM361,Thabazimbi,1609,1067,595,472,542,233,309,Limpopo
LIM362,Lephalale,3765,2583,1434,1149,1182,457,725,Limpopo
LIM365,Modimolle,2267,1297,680,617,970,419,551,Limpopo
LIM366,Bela-Bela,1953,1191,637,554,762,318,444,Eastern Cape
BUF,Buffalo City,26412,19304,10665,8639,7108,2839,4269,Eastern Cape
EC101,Camdeboo,1807,1253,621,632,554,234,320,Eastern Cape
EC105,Ndlambe,1960,1195,688,507,765,320,445,Eastern Cape
EC122,Mnquma,12847,7421,4202,3219,5426,1892,3534,Eastern Cape
EC128,Nxuba,798,476,252,224,322,145,177,Eastern Cape
EC135,Intsika Yethu,6882,3479,1916,1563,3403,1158,2245,Eastern Cape
EC144,Gariep,1226,600,289,311,626,290,336,Eastern Cape
EC157,King Sabata Dalindyebo,24295,13162,7685,5477,11133,4454,6679,Eastern Cape
NMA,Nelson Mandela Bay,38750,28623,15365,13258,10127,4108,6019,Eastern Cape
FS164,Naledi,1032,631,356,275,401,169,232,Free State
FS191,Setsoto,4509,3006,1599,1407,1503,617,886,Free State
FS196,Mantsopa,2011,1358,746,612,653,271,382,Free State
MAN,Mangaung,26231,19157,10359,8798,7074,2906,4168,Free State
EKU,Ekurhuleni,89631,73535,39107,34428,16096,6343,9753,Gauteng
GT422,Midvaal,2635,2119,1081,1038,516,206,310,Gauteng
GT484,Merafong City,5516,3872,2111,1761,1644,710,934,Gauteng
JHB,City of Johannesburg,112400,95623,50542,45081,16777,6817,9960,Gauteng
TSH,City of Tshwane,80104,66172,35231,30941,13932,5406,8526,Gauteng
ETH,eThekwini,122179,95261,50579,44682,26918,10974,15944,KwaZulu-Natal
KZN216,Hibiscus Coast,10331,7062,3968,3094,3269,1375,1894,KwaZulu-Natal
KZN227,Richmond,2683,1815,941,874,868,378,490,KwaZulu-Natal
KZN241,Endumeni,2860,2049,1077,972,811,326,485,KwaZulu-Natal
KZN253,Emadlangeni,1473,933,485,448,540,207,333,KwaZulu-Natal
KZN271,Umhlabuyalingana,8188,4620,2617,2003,3568,1473,2095,KwaZulu-Natal
KZN282,uMhlathuze,13037,9685,5214,4471,3352,1382,1970,KwaZulu-Natal
KZN292,KwaDukuza,8441,5787,3235,2552,2654,1198,1456,KwaZulu-Natal
KZN433,Greater Kokstad,2692,1660,956,704,1032,450,582,KwaZulu-Natal
LIM334,Ba-Phalaborwa,5688,3476,1957,1519,2212,1034,1178,KwaZulu-Natal
LIM352,Aganang,7230,5191,2781,2410,2039,721,1318,Limpopo
LIM364,Mookgopong,903,587,316,271,316,123,193,Limpopo
LIM367,Mogalakwena,15250,10979,5879,5100,4271,1623,2648,Limpopo
LIM471,Ephraim Mogale,5698,3551,1947,1604,2147,822,1325,Limpopo
LIM472,Elias Motsoaledi,11539,7189,4111,3078,4350,1591,2759,Limpopo
LIM473,Makhuduthamaga,13575,9308,5224,4084,4267,1479,2788,Limpopo
LIM474,Fetakgomo,4659,3426,1905,1521,1233,423,810,Limpopo
LIM475,Greater Tubatse,14585,10286,5617,4669,4299,1609,2690,Limpopo
MP301,Albert Luthuli,9785,7251,4002,3249,2534,956,1578,Limpopo
MP302,Msukaligwa,5789,4030,2151,1879,1759,687,1072,Mpumalanga
MP304,Pixley Ka Seme,3621,2629,1465,1164,992,349,643,Mpumalanga
MP305,Lekwa,4070,2753,1549,1204,1317,542,775,Mpumalanga
MP306,Dipaleseng,1576,987,524,463,589,238,351,Mpumalanga
MP307,Govan Mbeki,10230,7162,3939,3223,3068,1304,1764,Mpumalanga
MP312,Emalahleni,12271,8357,4585,3772,3914,1608,2306,Mpumalanga
MP313,Steve Tshwete,7250,5549,2991,2558,1701,672,1029,Mpumalanga
MP314,Emakhazeni,1633,1126,597,529,507,197,310,Mpumalanga
MP315,Thembisile,13506,8360,4796,3564,5146,1951,3195,Mpumalanga
MP316,Dr JS Moroka,11724,7717,4384,3333,4007,1481,2526,Mpumalanga
MP321,Thaba Chweu,3012,2175,1199,976,837,322,515,Mpumalanga
MP323,Umjindi,2318,1500,851,649,818,364,454,Mpumalanga
MP324,Nkomazi,21065,13600,7471,6129,7465,3179,4286,Mpumalanga
MP325,Bushbuckridge,29268,20107,11075,9032,9161,3603,5558,Mpumalanga
NW371,Moretele,7486,5276,2914,2362,2210,815,1395,Mpumalanga
NW372,Madibeng,13891,10148,5436,4712,3743,1494,2249,North West
NW374,Kgetlengrivier,1606,937,501,436,669,303,366,North West
NW375,Moses Kotane,8719,6440,3342,3098,2279,834,1445,North West
NW381,Ratlou,4831,2413,1362,1051,2418,1008,1410,North West
NW382,Tswaing,5182,2690,1453,1237,2492,1060,1432,North West
NW383,Mafikeng,12140,8138,4441,3697,4002,1693,2309,North West
NW385,Ramotshere Moiloa,5753,3607,1970,1637,2146,884,1262,North West
NW392,Naledi,2434,1402,781,621,1032,488,544,North West
NW393,Mamusa,2363,1312,686,626,1051,457,594,North West
NW394,Greater Taung,8180,4727,2666,2061,3453,1336,2117,North West
NW397,Kagisano/Molopo,4591,2220,1292,928,2371,956,1415,North West
NW401,Ventersdorp,1754,892,468,424,862,391,471,North West
NW402,Tlokwe City Council,4775,3307,1778,1529,1468,593,875,North West
NW403,City of Matlosana,13435,9054,4853,4201,4381,1877,2504,North West
NW404,Maquassi Hills,2634,1475,790,685,1159,538,621,North West
NC061,Richtersveld,371,249,133,116,122,38,84,North West
NC064,Kamiesberg,255,146,65,81,109,35,74,Northern Cape
NC065,Hantam,722,473,247,226,249,87,162,Northern Cape
NC066,Karoo Hoogland,383,184,91,93,199,84,115,Northern Cape
NC067,Kh̢i-Ma,332,204,92,112,128,43,85,Northern Cape
NC072,Umsobomvu,1027,675,367,308,352,120,232,Northern Cape
NC073,Emthanjeni,1622,1120,592,528,502,230,272,Northern Cape
NC074,Kareeberg,354,207,118,89,147,72,75,Northern Cape
NC075,Renosterberg,318,221,109,112,97,35,62,Northern Cape
NC076,Thembelihle,556,365,183,182,191,87,104,Northern Cape
NC078,Siyancuma,1384,909,500,409,475,204,271,Northern Cape
NC081,Mier,242,155,82,73,87,39,48,Northern Cape
NC082,Kai !Garib,2032,1275,702,573,757,328,429,Northern Cape
NC083,//Khara Hais,3762,2649,1420,1229,1113,454,659,Northern Cape
NC084,!Kheis,565,344,218,126,221,93,128,Northern Cape
NC086,Kgatelopele,623,431,235,196,192,79,113,Northern Cape
NC091,Sol Plaatjie,8564,6349,3384,2965,2215,857,1358,Northern Cape
NC092,Dikgatlong,1653,1050,584,466,603,255,348,Northern Cape
NC093,Magareng,859,607,310,297,252,109,143,Northern Cape
NC451,Joe Morolong,3935,2087,1192,895,1848,754,1094,Northern Cape
NC452,Ga-Segonyana,4003,2585,1458,1127,1418,590,828,Northern Cape
NC453,Gamagara,1132,689,380,309,443,193,250,Northern Cape
CPT,City of Cape Town,111539,86669,47194,39475,24870,10346,14524,Northern Cape
WC011,Matzikama,2272,1280,689,591,992,443,549,Western Cape
WC013,Bergrivier,1868,1167,660,507,701,285,416,Western Cape
WC014,Saldanha Bay,3054,2223,1181,1042,831,337,494,Western Cape
WC015,Swartland,3424,2217,1222,995,1207,512,695,Western Cape
WC022,Witzenberg,3994,2753,1469,1284,1241,563,678,Western Cape
WC023,Drakenstein,8691,6369,3387,2982,2322,985,1337,Western Cape
WC025,Breede Valley,6050,4435,2402,2033,1615,701,914,Western Cape
WC026,Langeberg,3425,2128,1165,963,1297,524,773,Western Cape
WC031,Theewaterskloof,3471,2340,1281,1059,1131,465,666,Western Cape
WC032,Overstrand,1919,1284,726,558,635,291,344,Western Cape
WC034,Swellendam,1151,688,350,338,463,208,255,Western Cape
WC041,Kannaland,850,565,285,280,285,142,143,Western Cape
WC042,Hessequa,1596,1073,597,476,523,226,297,Western Cape
WC043,Mossel Bay,2551,1841,979,862,710,280,430,Western Cape
