geo_code,name,total,Multidimensionally poor,Multidimensionally poor-Female,Multidimensionally poor-Female-Black African,Multidimensionally poor-Female-Coloured,Multidimensionally poor-Female-Indian or Asian,Multidimensionally poor-Female-Other,Multidimensionally poor-Female-White,Multidimensionally poor-Male,Multidimensionally poor-Male-Black African,Multidimensionally poor-Male-Coloured,Multidimensionally poor-Male-Indian or Asian,Multidimensionally poor-Male-Other,Multidimensionally poor-Male-White,Non-poor,Non-poor-Female,Non-poor-Female-Black African,Non-poor-Female-Coloured,Non-poor-Female-Indian or Asian,Non-poor-Female-Other,Non-poor-Female-White,Non-poor-Male,Non-poor-Male-Black African,Non-poor-Male-Coloured,Non-poor-Male-Indian or Asian,Non-poor-Male-Other,Non-poor-Male-White,province
KZN241,Endumeni,12407,3961,1970,1884,16,37,9,24,1991,1929,25,14,3,20,8446,4184,3571,153,256,7,197,4262,3644,135,263,12,208,KwaZulu-Natal
KZN253,Emadlangeni,6275,3464,1633,1621,5,0,1,6,1831,1820,6,0,1,4,2811,1360,1254,35,4,1,66,1451,1365,23,1,2,60,KwaZulu-Natal
KZN271,Umhlabuyalingana,33165,21734,11191,11166,6,9,9,1,10543,10511,6,14,8,4,11431,5959,5937,3,4,3,12,5472,5450,5,3,7,7,KwaZulu-Natal
KZN282,uMhlathuze,66611,14013,7280,7058,32,90,13,87,6733,6560,20,80,8,65,52598,27546,24880,228,1057,26,1355,25052,22336,246,998,57,1415,KwaZulu-Natal
KZN292,KwaDukuza,43856,14628,7537,7140,36,297,45,19,7091,6680,34,277,83,17,29228,14752,11713,178,2359,58,444,14476,11342,168,2472,98,396,KwaZulu-Natal
KZN433,Greater Kokstad,12576,4371,2175,2099,70,5,0,1,2196,2092,98,3,1,2,8205,4346,3824,411,28,6,77,3859,3329,397,39,12,82,KwaZulu-Natal
LIM334,Ba-Phalaborwa,29669,10065,5056,5002,7,2,2,43,5009,4979,8,4,0,18,19604,10083,9638,25,17,3,400,9521,9043,23,22,10,423,KwaZulu-Natal
LIM352,Aganang,27331,8534,4173,4165,0,0,4,4,4361,4320,4,3,31,3,18797,9360,9347,2,0,4,7,9437,9393,1,21,18,4,Limpopo
LIM364,Mookgopong,5404,1872,887,871,1,0,2,13,985,965,1,0,8,11,3532,1726,1595,10,4,6,111,1806,1631,11,8,12,144,Limpopo
LIM367,Mogalakwena,63046,21391,10794,10701,7,31,14,41,10597,10507,9,24,26,31,41655,20958,20384,24,76,11,463,20697,20015,33,157,43,449,Limpopo
LIM471,Ephraim Mogale,24894,10816,5270,5242,1,7,10,10,5546,5500,5,10,20,11,14078,7043,6947,6,9,6,75,7035,6910,3,26,14,82,Limpopo
LIM472,Elias Motsoaledi,51040,19923,9589,9552,8,7,8,14,10334,10267,8,11,28,20,31117,16137,15931,14,19,8,165,14980,14706,14,72,36,152,Limpopo
LIM473,Makhuduthamaga,55934,23260,11764,11735,1,15,8,5,11496,11459,4,12,16,5,32674,16673,16636,8,17,6,6,16001,15909,9,57,23,3,Limpopo
LIM474,Fetakgomo,19100,6823,3419,3405,2,3,2,7,3404,3388,0,8,7,1,12277,6360,6331,2,0,2,25,5917,5880,0,7,12,18,Limpopo
LIM475,Greater Tubatse,70228,31166,15979,15908,16,11,6,38,15187,15124,15,12,12,24,39062,19770,19480,27,32,8,223,19292,18950,33,42,21,246,Limpopo
MP301,Albert Luthuli,40976,14719,7571,7524,17,5,8,17,7148,7071,24,19,13,21,26257,13371,13180,32,31,8,120,12886,12579,40,98,37,132,Limpopo
MP302,Msukaligwa,27658,9289,4800,4688,19,12,12,69,4489,4380,13,24,15,57,18369,9183,8133,62,93,15,880,9186,8113,47,125,38,863,Mpumalanga
MP304,Pixley Ka Seme,15664,5585,2883,2830,9,11,0,33,2702,2633,11,9,5,44,10079,5092,4689,26,62,5,310,4987,4554,42,70,12,309,Mpumalanga
MP305,Lekwa,20156,5502,2776,2643,66,10,3,54,2726,2584,74,9,7,52,14654,7111,6032,239,78,9,753,7543,6371,217,110,33,812,Mpumalanga
MP306,Dipaleseng,7389,2619,1344,1302,10,2,2,28,1275,1241,4,3,4,23,4770,2302,2100,12,15,0,175,2468,2223,7,25,5,208,Mpumalanga
MP307,Govan Mbeki,52552,13114,6523,6168,42,36,23,254,6591,6311,51,26,25,178,39438,18820,15630,325,306,34,2525,20618,17262,341,346,87,2582,Mpumalanga
MP312,Emalahleni,72373,19507,9171,8632,112,20,23,384,10336,9810,138,35,71,282,52866,25934,21453,490,203,37,3751,26932,22080,486,294,134,3938,Mpumalanga
MP313,Steve Tshwete,38055,7907,3786,3455,88,15,20,208,4121,3816,80,11,28,186,30148,14788,11245,505,201,22,2815,15360,11564,473,281,68,2974,Mpumalanga
MP314,Emakhazeni,8149,2537,1259,1220,10,4,1,24,1278,1215,18,4,0,41,5612,2794,2525,47,17,0,205,2818,2540,37,33,5,203,Mpumalanga
MP315,Thembisile,63959,18729,8792,8723,23,28,13,5,9937,9814,23,42,53,5,45230,23567,23440,53,49,11,14,21663,21419,40,126,61,17,Mpumalanga
MP316,Dr JS Moroka,51541,16678,7757,7734,7,9,7,0,8921,8851,17,14,28,11,34863,17943,17889,25,18,4,7,16920,16766,18,101,32,3,Mpumalanga
MP321,Thaba Chweu,15816,4432,2116,1985,32,9,12,78,2316,2185,28,7,37,59,11384,5609,4660,202,24,18,705,5775,4794,184,40,31,726,Mpumalanga
MP323,Umjindi,11440,3398,1729,1675,7,7,0,40,1669,1621,10,6,4,28,8042,4111,3588,134,42,3,344,3931,3412,84,50,9,376,Mpumalanga
MP324,Nkomazi,90001,31204,15894,15795,31,29,13,26,15310,15199,15,53,27,16,58797,30239,29824,93,63,15,244,28558,28003,88,172,34,261,Mpumalanga
MP325,Bushbuckridge,125168,43566,22052,22001,28,12,4,7,21514,21442,16,26,17,13,81602,42181,42063,52,11,7,48,39421,39177,57,99,35,53,Mpumalanga
NW371,Moretele,34765,11063,5263,5244,11,1,6,1,5800,5756,14,6,21,3,23702,12083,12046,12,6,1,18,11619,11515,20,29,38,17,Mpumalanga
NW372,Madibeng,83316,29108,13921,13491,138,14,44,234,15187,14744,102,33,94,214,54208,26439,23791,257,112,52,2227,27769,24746,243,254,130,2396,North West
NW374,Kgetlengrivier,7998,3280,1687,1594,31,1,8,53,1593,1455,50,1,15,72,4718,2188,1705,32,32,8,411,2530,1953,50,40,15,472,North West
NW375,Moses Kotane,42018,14425,7092,7056,9,3,12,12,7333,7271,11,16,26,9,27593,13667,13505,38,47,13,64,13926,13677,35,94,35,85,North West
NW381,Ratlou,19523,10722,5493,5431,52,3,4,3,5229,5162,53,7,6,1,8801,4483,4403,35,4,4,37,4318,4195,36,37,12,38,North West
NW382,Tswaing,22878,11856,6129,5992,109,5,6,17,5727,5547,156,9,7,8,11022,5451,4961,68,4,10,408,5571,5032,71,43,25,400,North West
NW383,Mafikeng,55757,19414,9759,9631,86,14,3,25,9655,9461,132,25,17,20,36343,18824,18009,474,143,19,179,17519,16601,505,211,41,161,North West
NW385,Ramotshere Moiloa,25571,11277,5633,5554,31,12,13,23,5644,5565,35,16,16,12,14294,7231,6814,75,51,13,278,7063,6554,77,76,41,315,North West
NW392,Naledi,10982,4556,2345,2024,291,6,9,15,2211,1893,284,9,11,14,6426,3218,2235,648,49,28,258,3208,2290,507,46,39,326,North West
NW393,Mamusa,10823,4641,2454,2393,43,3,1,14,2187,2106,62,3,1,15,6182,2990,2740,73,9,8,160,3192,2904,80,36,9,163,North West
NW394,Greater Taung,33114,16349,8154,8033,106,7,4,4,8195,8073,101,7,6,8,16765,8759,8650,83,6,13,7,8006,7825,74,42,29,36,North West
NW397,Kagisano/Molopo,18234,10230,5381,5272,84,1,10,14,4849,4744,77,10,10,8,8004,4089,3926,64,3,11,85,3915,3692,65,33,21,104,North West
NW401,Ventersdorp,9663,4926,2594,2450,87,1,23,33,2332,2206,84,3,24,15,4737,2242,1998,75,4,43,122,2495,2182,81,25,49,158,North West
NW402,Tlokwe City Council,30644,6735,3451,2951,224,14,13,249,3284,2811,238,15,19,201,23909,12207,7196,881,124,24,3982,11702,7254,727,151,66,3504,North West
NW403,City of Matlosana,67709,20260,10480,9912,266,28,17,257,9780,9174,311,39,20,236,47449,23516,19439,980,172,30,2895,23933,19537,898,318,103,3077,North West
NW404,Maquassi Hills,13471,6131,3217,3057,119,7,3,31,2914,2777,104,6,7,20,7340,3597,3220,68,11,6,292,3743,3329,76,34,19,285,North West
NC061,Richtersveld,1668,383,169,21,142,1,2,3,214,34,174,0,3,3,1285,616,70,507,2,3,34,669,54,581,2,6,26,North West
NC064,Kamiesberg,1269,512,235,14,219,2,0,0,277,11,263,0,0,3,757,354,18,321,0,2,13,403,18,360,5,6,14,Northern Cape
NC065,Hantam,3253,921,459,17,436,2,0,4,462,24,431,0,2,5,2332,1138,34,1029,8,1,66,1194,25,1085,7,5,72,Northern Cape
NC066,Karoo Hoogland,1536,585,315,16,291,2,3,3,270,12,252,1,0,5,951,473,6,432,9,0,26,478,12,417,7,3,39,Northern Cape
NC067,Kh̢i-Ma,2104,561,270,48,216,1,1,4,291,59,228,0,1,3,1543,701,192,477,1,8,23,842,270,520,4,9,39,Northern Cape
NC072,Umsobomvu,4692,1489,773,490,269,3,5,6,716,483,222,1,8,2,3203,1577,1052,473,3,10,39,1626,1073,473,10,20,50,Northern Cape
NC073,Emthanjeni,6911,1792,947,275,652,2,1,17,845,251,568,7,1,18,5119,2583,859,1540,12,5,167,2536,914,1452,22,23,125,Northern Cape
NC074,Kareeberg,1659,611,329,9,316,1,0,3,282,6,271,3,1,1,1048,549,12,511,0,0,26,499,24,436,1,2,36,Northern Cape
NC075,Renosterberg,1632,476,249,59,184,2,1,3,227,64,157,1,0,5,1156,524,201,295,2,1,25,632,262,338,5,2,25,Northern Cape
NC076,Thembelihle,2651,984,517,81,419,0,1,16,467,77,383,1,1,5,1667,816,134,583,0,1,98,851,124,594,9,7,117,Northern Cape
NC078,Siyancuma,6069,2249,1152,397,717,10,19,9,1097,367,703,5,14,8,3820,1924,599,1166,10,17,132,1896,577,1141,16,38,124,Northern Cape
NC081,Mier,1115,409,180,4,174,2,0,0,229,5,219,0,5,0,706,378,6,363,5,0,4,328,14,300,3,1,10,Northern Cape
NC082,Kai !Garib,10485,2937,1403,294,1072,8,19,10,1534,363,1110,16,38,7,7548,3590,1021,2351,23,47,148,3958,1396,2303,28,58,173,Northern Cape
NC083,//Khara Hais,16214,4162,2080,493,1531,13,22,21,2082,496,1505,19,37,25,12052,6107,1396,4213,20,43,435,5945,1445,3932,49,86,433,Northern Cape
NC084,!Kheis,2438,1020,496,23,467,0,1,5,524,42,466,5,7,4,1418,723,43,635,5,9,31,695,62,567,14,14,38,Northern Cape
NC086,Kgatelopele,3241,807,438,227,197,1,3,10,369,205,153,1,2,8,2434,1142,572,509,7,3,51,1292,619,558,10,15,90,Northern Cape
NC091,Sol Plaatjie,41878,10904,5461,3480,1541,30,368,42,5443,3396,1673,29,298,47,30974,15766,9915,4648,156,144,903,15208,9665,4268,185,196,894,Northern Cape
NC092,Dikgatlong,7812,3032,1532,942,471,8,103,8,1500,920,451,10,110,9,4780,2422,1369,782,9,198,64,2358,1330,714,17,210,87,Northern Cape
NC093,Magareng,4307,1404,693,575,106,2,0,10,711,594,109,3,0,5,2903,1420,1158,205,3,1,53,1483,1189,222,17,3,52,Northern Cape
NC451,Joe Morolong,15949,8826,4666,4583,66,4,5,8,4160,4070,66,13,9,2,7123,3637,3499,82,2,7,47,3486,3305,65,27,11,78,Northern Cape
NC452,Ga-Segonyana,17388,6120,3007,2831,152,0,10,14,3113,2894,203,2,8,6,11268,5714,5008,491,14,16,185,5554,4804,474,42,35,199,Northern Cape
NC453,Gamagara,6533,1696,878,516,318,6,13,25,818,539,250,5,12,12,4837,2296,1176,761,8,57,294,2541,1312,798,19,58,354,Northern Cape
CPT,City of Cape Town,613854,138274,67034,41704,23474,283,642,931,71240,40804,28229,313,949,945,475580,247703,100420,113593,3464,2912,27314,227877,85856,106278,3721,4491,27531,Northern Cape
WC011,Matzikama,11115,3485,1822,213,1543,9,21,36,1663,228,1366,13,23,33,7630,3755,191,3055,21,40,448,3875,301,3062,19,57,436,Western Cape
WC013,Bergrivier,9151,1732,866,106,725,0,0,35,866,133,696,4,6,27,7419,3800,342,3011,12,13,422,3619,294,2851,16,35,423,Western Cape
WC014,Saldanha Bay,16333,3814,1732,733,940,6,7,46,2082,849,1152,17,16,48,12519,6392,1348,4146,59,25,814,6127,1360,3821,51,72,823,Western Cape
WC015,Swartland,17590,3708,1881,475,1369,2,12,23,1827,472,1295,8,17,35,13882,7001,1049,5226,32,27,667,6881,1081,4955,37,81,727,Western Cape
WC022,Witzenberg,18789,3600,1804,651,1139,1,8,5,1796,635,1110,6,29,16,15189,7613,1374,5833,14,35,357,7576,1432,5721,29,49,345,Western Cape
WC023,Drakenstein,41733,7493,3545,1365,2081,7,19,73,3948,1396,2454,6,50,42,34240,17493,3703,11774,80,103,1833,16747,3442,11267,77,151,1810,Western Cape
WC025,Breede Valley,28298,5808,2955,1460,1417,6,39,33,2853,1308,1486,4,13,42,22490,11658,2372,8312,50,85,839,10832,2208,7662,86,103,773,Western Cape
WC026,Langeberg,16392,3678,1967,523,1403,3,21,17,1711,482,1180,4,23,22,12714,6315,961,4850,13,32,459,6399,904,4962,12,60,461,Western Cape
WC031,Theewaterskloof,17655,3937,1950,878,1038,4,18,12,1987,936,1004,2,26,19,13718,6745,1409,4927,14,33,362,6973,1610,4848,19,99,397,Western Cape
WC032,Overstrand,10182,3066,1445,955,438,4,6,42,1621,964,592,4,17,44,7116,3756,1421,1666,7,33,629,3360,1279,1429,18,48,586,Western Cape
WC034,Swellendam,5751,1520,792,132,638,1,11,10,728,198,500,0,22,8,4231,1968,205,1566,4,9,184,2263,279,1729,9,24,222,Western Cape
WC041,Kannaland,3992,1255,674,21,631,4,4,14,581,29,543,1,0,8,2737,1315,53,1178,1,5,78,1422,44,1277,0,6,95,Western Cape
WC042,Hessequa,7477,1769,968,93,824,7,3,41,801,87,676,5,4,29,5708,2851,162,2288,17,2,382,2857,216,2245,15,15,366,Western Cape
WC043,Mossel Bay,11768,2841,1446,708,680,5,7,46,1395,625,700,9,12,49,8927,4648,1508,2389,29,25,697,4279,1277,2239,23,61,679,Western Cape
