geo_code,name,total,Collective living quarters,Commercial,Farms,Formal residential,Industrial,Informal residential,Parks and recreation,Small holdings,Traditional residential,Vacant,province
KZN212,Umdoni,15785,158,115,414,5094,0,610,8,0,9376,10,KwaZulu-Natal
KZN213,Umzumbe,35017,0,0,246,0,0,0,0,0,34681,90,KwaZulu-Natal
KZN214,UMuziwabantu,21225,0,0,303,2096,36,138,0,0,18589,63,KwaZulu-Natal
KZN215,Ezingoleni,11421,0,0,456,0,28,0,0,0,10913,24,KwaZulu-Natal
KZN221,uMshwathi,23090,152,0,4282,2546,4,210,0,66,15830,0,KwaZulu-Natal
KZN222,uMngeni,17993,947,0,2452,11798,102,927,63,237,1467,0,KwaZulu-Natal
KZN223,Mpofana,7787,156,51,2693,3789,0,0,3,65,1030,0,KwaZulu-Natal
KZN224,Impendle,7075,0,0,210,495,0,0,19,0,6345,6,KwaZulu-Natal
KZN225,The Msunduzi,133713,3577,364,490,73756,378,21608,0,302,33169,69,KwaZulu-Natal
KZN226,Mkhambathini,13564,172,54,2682,136,183,0,4,0,10280,53,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,48313,550,107,1960,22187,234,1397,0,0,21666,212,KwaZulu-Natal
KZN233,Indaka,22680,0,0,139,2793,0,0,0,0,19685,63,KwaZulu-Natal
KZN234,Umtshezi,16879,385,34,4122,7633,42,2542,3,68,2005,45,KwaZulu-Natal
KZN235,Okhahlamba,27633,4,34,2702,1482,0,61,114,0,23139,97,KwaZulu-Natal
KZN236,Imbabazane,24787,0,0,371,852,0,186,0,0,23310,68,KwaZulu-Natal
KZN242,Nqutu,36840,77,21,0,2547,0,0,0,0,33998,197,KwaZulu-Natal
KZN244,Msinga,37663,62,0,833,351,0,0,0,0,36323,94,KwaZulu-Natal
KZN245,Umvoti,22069,335,153,3178,3223,50,528,0,0,14555,47,KwaZulu-Natal
KZN252,Newcastle,79687,998,119,2831,53349,178,933,9,0,21241,29,KwaZulu-Natal
KZN254,Dannhauser,22906,0,0,903,1987,25,103,5,0,19843,40,KwaZulu-Natal
KZN261,eDumbe,17819,0,7,2761,4725,4,432,0,0,9847,43,KwaZulu-Natal
KZN262,UPhongolo,29325,2,36,3796,3845,0,255,7,0,21369,15,KwaZulu-Natal
KZN263,Abaqulusi,46060,651,165,3090,16289,38,386,45,753,24600,43,KwaZulu-Natal
KZN265,Nongoma,46250,385,114,0,1594,0,148,0,0,43627,382,KwaZulu-Natal
KZN266,Ulundi,42614,148,48,1204,5528,0,0,0,0,35532,154,KwaZulu-Natal
KZN272,Jozini,43898,47,137,26,2145,95,106,16,0,41104,222,KwaZulu-Natal
KZN273,The Big 5 False Bay,7891,0,0,457,643,0,24,8,0,6759,0,KwaZulu-Natal
KZN274,Hlabisa,16918,0,0,164,559,0,0,35,0,16160,0,KwaZulu-Natal
KZN275,Mtubatuba,39926,89,45,369,4919,0,23,14,235,34232,0,KwaZulu-Natal
KZN281,Mfolozi,27581,19,0,362,520,0,0,0,0,26680,0,KwaZulu-Natal
KZN283,Ntambanana,17384,0,0,209,0,0,0,0,0,17158,17,KwaZulu-Natal
KZN284,uMlalazi,47495,33,0,719,3442,60,0,0,0,43229,12,KwaZulu-Natal
KZN285,Mthonjaneni,10248,0,0,482,1856,0,77,0,0,7828,5,KwaZulu-Natal
KZN286,Nkandla,25857,54,0,0,787,0,0,0,0,24867,149,KwaZulu-Natal
KZN291,Mandeni,30628,3,20,641,6067,57,162,1,0,23659,18,KwaZulu-Natal
KZN293,Ndwedwe,31095,0,0,972,326,0,89,0,57,29651,0,KwaZulu-Natal
KZN294,Maphumulo,21550,26,0,0,0,0,0,0,0,21518,6,KwaZulu-Natal
KZN431,Ingwe,21532,0,15,1168,582,0,0,9,0,19712,46,KwaZulu-Natal
KZN432,Kwa Sani,2375,0,0,752,867,0,0,35,34,683,4,KwaZulu-Natal
KZN434,Ubuhlebezwe,21876,23,125,1478,1805,3,566,0,0,17798,78,KwaZulu-Natal
KZN435,Umzimkhulu,40665,16,0,42,4313,0,840,101,492,34842,19,Limpopo
LIM331,Greater Giyani,57472,189,213,0,6698,0,610,11,0,49727,24,Limpopo
LIM332,Greater Letaba,50409,136,46,2003,3469,36,216,0,0,44381,122,Limpopo
LIM333,Greater Tzaneen,83796,125,114,3586,7932,116,0,17,10,71886,10,Limpopo
LIM335,Maruleng,21004,166,0,709,389,0,0,163,0,19570,7,Limpopo
LIM341,Musina,14388,185,145,4186,8638,77,0,117,0,1040,0,Limpopo
LIM342,Mutale,20623,43,0,0,934,8,0,21,0,19157,460,Limpopo
LIM343,Thulamela,144717,3087,194,0,23153,68,1649,2,0,116491,73,Limpopo
LIM344,Makhado,110519,182,41,2772,7768,308,78,1,59,99168,142,Limpopo
LIM351,Blouberg,36842,22,232,1426,5067,0,0,0,0,30048,47,Limpopo
LIM353,Molemole,23667,366,2,1239,4027,0,0,0,29,17991,13,Limpopo
LIM354,Polokwane,138563,2903,1225,718,50645,147,3273,244,2862,76380,166,Limpopo
LIM355,Lepele-Nkumpi,48233,490,35,116,6747,5,11,0,176,40631,22,Limpopo
LIM361,Thabazimbi,14254,315,2,2348,8609,311,2366,6,297,0,0,Limpopo
LIM362,Lephalale,25049,688,0,3442,8755,0,312,1,74,11776,1,Limpopo
LIM365,Modimolle,13230,40,55,1412,10520,33,892,24,103,143,8,Limpopo
LIM366,Bela-Bela,12555,276,50,1836,8604,3,700,17,139,903,27,Eastern Cape
BUF,Buffalo City,144601,2355,1107,1389,97193,493,18675,32,222,22918,217,Eastern Cape
EC101,Camdeboo,9685,271,233,1177,7978,11,0,0,0,0,15,Eastern Cape
EC105,Ndlambe,9890,19,8,1021,8587,3,220,0,17,0,15,Eastern Cape
EC122,Mnquma,53354,2732,134,0,7606,280,1978,0,0,40552,72,Eastern Cape
EC128,Nxuba,4256,0,0,387,3689,0,179,0,0,0,1,Eastern Cape
EC135,Intsika Yethu,28147,0,0,0,572,0,2699,9,2,24743,122,Eastern Cape
EC144,Gariep,6039,0,0,838,5194,0,0,0,0,0,7,Eastern Cape
EC157,King Sabata Dalindyebo,109200,4161,302,114,33500,1379,783,17,238,68531,175,Eastern Cape
NMA,Nelson Mandela Bay,216264,3604,1825,3863,190833,749,14596,39,674,0,81,Eastern Cape
FS164,Naledi,4844,0,0,591,4253,0,0,0,0,0,0,Free State
FS191,Setsoto,22040,0,0,2103,19219,44,486,26,0,0,162,Free State
FS196,Mantsopa,9957,0,57,1371,8435,51,0,0,0,0,43,Free State
MAN,Mangaung,155602,5118,510,2229,129556,1954,11502,20,2125,2231,357,Free State
EKU,Ekurhuleni,585431,9019,3435,1073,500118,3200,63031,8,5396,0,151,Gauteng
GT422,Midvaal,16508,277,67,1162,8436,257,1399,124,4785,0,1,Gauteng
GT484,Merafong City,34950,1291,134,1236,26704,189,5116,0,259,0,21,Gauteng
JHB,City of Johannesburg,817527,16972,22925,1351,700594,4044,65901,91,5565,0,84,Gauteng
TSH,City of Tshwane,569422,24714,10708,2828,428564,1829,58186,212,10879,31406,96,Gauteng
ETH,eThekwini,731265,7735,4599,2610,480572,3265,115439,241,1850,114683,271,KwaZulu-Natal
KZN216,Hibiscus Coast,52275,2,302,1853,12930,76,1509,0,26,35559,18,KwaZulu-Natal
KZN227,Richmond,13516,23,0,2012,3691,0,0,0,0,7708,82,KwaZulu-Natal
KZN241,Endumeni,13630,525,189,1383,9351,322,887,0,26,946,1,KwaZulu-Natal
KZN253,Emadlangeni,6915,0,0,4162,1312,10,440,0,0,987,4,KwaZulu-Natal
KZN271,Umhlabuyalingana,34956,73,0,0,0,0,0,53,0,34824,6,KwaZulu-Natal
KZN282,uMhlathuze,76294,4675,164,638,26400,194,5,41,0,44148,29,KwaZulu-Natal
KZN292,KwaDukuza,47027,338,246,2444,26205,86,12172,0,106,5421,9,KwaZulu-Natal
KZN433,Greater Kokstad,14163,51,145,1926,11337,0,255,5,0,418,26,KwaZulu-Natal
LIM334,Ba-Phalaborwa,30824,181,0,624,14527,333,65,108,0,14964,22,KwaZulu-Natal
LIM352,Aganang,27995,525,0,57,93,0,0,0,0,27238,82,Limpopo
LIM364,Mookgopong,6614,17,19,1606,4809,23,90,15,35,0,0,Limpopo
LIM367,Mogalakwena,65317,379,263,910,21537,3,0,44,122,42048,11,Limpopo
LIM471,Ephraim Mogale,26148,28,20,2579,4822,16,0,0,704,17783,196,Limpopo
LIM472,Elias Motsoaledi,54036,59,64,2946,8676,67,729,0,0,41460,35,Limpopo
LIM473,Makhuduthamaga,56911,81,0,0,888,0,66,0,0,55605,271,Limpopo
LIM474,Fetakgomo,19237,13,0,0,234,78,0,0,0,18912,0,Limpopo
LIM475,Greater Tubatse,72498,273,70,787,5168,246,853,0,0,65037,64,Limpopo
MP301,Albert Luthuli,42283,69,35,2552,8025,16,2799,58,88,28472,169,Limpopo
MP302,Msukaligwa,31070,394,29,6119,20625,116,3716,46,0,0,25,Mpumalanga
MP304,Pixley Ka Seme,17130,1,25,3199,10155,15,0,0,1086,2543,106,Mpumalanga
MP305,Lekwa,22756,813,156,3916,16900,55,871,3,0,0,42,Mpumalanga
MP306,Dipaleseng,8180,42,72,654,6243,13,1149,6,0,0,1,Mpumalanga
MP307,Govan Mbeki,57450,330,260,1803,53890,530,228,5,379,0,25,Mpumalanga
MP312,Emalahleni,76620,2150,464,2031,59984,610,10329,14,809,0,229,Mpumalanga
MP313,Steve Tshwete,43050,445,247,4006,34260,601,3452,15,0,0,24,Mpumalanga
MP314,Emakhazeni,9186,225,1,1881,6684,11,323,23,5,0,33,Mpumalanga
MP315,Thembisile,65124,19,26,945,18215,45,2151,1,0,43708,14,Mpumalanga
MP316,Dr JS Moroka,51823,0,2,0,11260,0,0,0,42,40470,49,Mpumalanga
MP321,Thaba Chweu,18348,530,265,3003,10225,62,613,174,131,3334,11,Mpumalanga
MP323,Umjindi,13342,932,47,1580,9577,75,115,0,2,1006,8,Mpumalanga
MP324,Nkomazi,93073,72,160,4294,6737,84,438,20,0,81217,51,Mpumalanga
MP325,Bushbuckridge,124148,161,0,38,8016,2,265,327,0,115208,131,Mpumalanga
NW371,Moretele,36680,46,0,0,2409,0,0,0,971,33249,5,Mpumalanga
NW372,Madibeng,89373,1006,525,8764,21479,400,2559,202,972,53466,0,North West
NW374,Kgetlengrivier,9180,0,42,2822,4479,131,1609,92,0,0,5,North West
NW375,Moses Kotane,45215,526,7,77,2492,106,162,150,0,41691,4,North West
NW381,Ratlou,20508,0,9,916,652,2,0,0,0,18924,5,North West
NW382,Tswaing,23749,141,68,5824,7122,0,1345,0,80,9167,2,North West
NW383,Mafikeng,61363,2723,294,1124,11177,108,101,0,147,45652,37,North West
NW385,Ramotshere Moiloa,27791,186,26,2574,4497,517,0,44,63,19876,8,North West
NW392,Naledi,11851,20,123,2165,7967,35,1059,0,0,481,1,North West
NW393,Mamusa,11306,8,22,1252,9020,5,932,0,62,0,5,North West
NW394,Greater Taung,34863,199,43,514,767,0,56,0,0,33280,4,North West
NW397,Kagisano/Molopo,19202,273,0,2563,768,0,27,0,0,15569,2,North West
NW401,Ventersdorp,10113,0,0,2421,3525,9,4157,0,0,0,1,North West
NW402,Tlokwe City Council,33780,1146,205,1838,27326,58,1391,0,1688,126,2,North West
NW403,City of Matlosana,71632,1314,503,4304,64870,158,317,2,125,0,39,North West
NW404,Maquassi Hills,14285,114,0,2552,10835,17,705,2,34,0,26,North West
NC061,Richtersveld,1791,0,0,7,1761,17,0,2,0,0,4,North West
NC064,Kamiesberg,1610,0,0,40,1568,0,0,0,0,0,2,Northern Cape
NC065,Hantam,3525,1,62,524,2900,0,0,34,0,0,4,Northern Cape
NC066,Karoo Hoogland,1816,101,0,397,1255,0,0,0,0,0,63,Northern Cape
NC067,Kh̢i-Ma,2298,113,0,606,1551,24,0,0,0,0,4,Northern Cape
NC072,Umsobomvu,5093,61,2,351,4316,36,319,1,0,0,7,Northern Cape
NC073,Emthanjeni,7557,0,1,352,7114,1,0,2,82,0,5,Northern Cape
NC074,Kareeberg,1911,0,0,285,1604,22,0,0,0,0,0,Northern Cape
NC075,Renosterberg,1801,0,0,183,1495,0,113,0,9,0,1,Northern Cape
NC076,Thembelihle,2822,1,0,289,2512,0,0,0,0,0,20,Northern Cape
NC078,Siyancuma,6583,0,0,1131,4762,142,432,0,106,0,10,Northern Cape
NC081,Mier,1252,107,0,241,854,0,0,50,0,0,0,Northern Cape
NC082,Kai !Garib,14705,5,0,5838,7737,2,0,57,1063,0,3,Northern Cape
NC083,//Khara Hais,17516,344,61,809,16259,15,0,0,13,0,15,Northern Cape
NC084,!Kheis,2706,135,0,521,1775,0,275,0,0,0,0,Northern Cape
NC086,Kgatelopele,3415,33,0,110,3050,4,0,0,167,0,51,Northern Cape
NC091,Sol Plaatjie,46668,607,250,411,42570,206,2463,100,50,0,11,Northern Cape
NC092,Dikgatlong,8634,0,0,606,6804,21,850,0,0,321,32,Northern Cape
NC093,Magareng,4630,0,0,275,4069,0,269,0,0,0,17,Northern Cape
NC451,Joe Morolong,16452,10,0,650,417,52,0,0,0,15128,195,Northern Cape
NC452,Ga-Segonyana,18176,5,161,130,4907,6,0,0,0,12754,213,Northern Cape
NC453,Gamagara,7854,274,47,122,7389,8,0,6,0,0,8,Northern Cape
CPT,City of Cape Town,686859,14266,5764,2366,596426,946,63515,233,2569,0,774,Northern Cape
WC011,Matzikama,12228,0,483,3993,7491,28,230,0,0,0,3,Western Cape
WC013,Bergrivier,10765,292,0,4652,5764,36,0,16,0,0,5,Western Cape
WC014,Saldanha Bay,18016,549,167,500,16636,49,0,0,81,0,34,Western Cape
WC015,Swartland,20525,250,7,6284,13754,102,63,0,50,0,15,Western Cape
WC022,Witzenberg,22010,95,63,10606,9862,111,1167,1,56,0,49,Western Cape
WC023,Drakenstein,48672,1687,257,7054,36727,93,1272,53,1513,0,16,Western Cape
WC025,Breede Valley,30630,1930,481,8810,18013,58,1241,0,9,0,88,Western Cape
WC026,Langeberg,17147,100,48,5300,11233,33,336,0,36,0,61,Western Cape
WC031,Theewaterskloof,19082,375,13,5745,10613,25,2173,89,0,0,49,Western Cape
WC032,Overstrand,11666,33,58,768,9788,8,940,22,7,0,42,Western Cape
WC034,Swellendam,6105,63,0,1618,4065,3,293,5,54,0,4,Western Cape
WC041,Kannaland,4226,52,4,1223,2801,0,0,0,142,0,4,Western Cape
WC042,Hessequa,7658,19,67,1634,5706,0,34,25,153,0,20,Western Cape
WC043,Mossel Bay,13913,49,143,666,12310,29,586,102,0,0,28,Western Cape
