geo_code,name,total,Eastern Cape,Free State,Gauteng,KwaZulu-Natal,Limpopo,Mpumalanga,Northern Cape,North West,Outside South Africa,Unspecified,Western Cape,province
GT482,Randfontein,25407,844,573,17207,512,1186,327,227,2613,1214,372,332,Gauteng
GT483,Westonaria,20076,3774,635,9757,1043,632,467,94,762,2637,140,135,KwaZulu-Natal
KZN211,Vulamehlo,15933,164,9,18,15154,26,24,67,36,3,412,20,KwaZulu-Natal
KZN212,Umdoni,14819,819,30,163,13275,45,35,65,29,56,267,35,KwaZulu-Natal
KZN213,Umzumbe,33440,321,17,28,32131,35,56,157,44,50,556,45,KwaZulu-Natal
KZN214,UMuziwabantu,20544,909,33,49,18876,24,61,121,26,52,370,23,KwaZulu-Natal
KZN215,Ezingoleni,10860,212,1,14,10443,14,10,32,8,20,103,3,KwaZulu-Natal
KZN221,uMshwathi,22171,264,26,51,20974,18,28,86,38,249,411,26,KwaZulu-Natal
KZN222,uMngeni,15698,384,103,219,13877,42,54,62,24,691,185,57,KwaZulu-Natal
KZN223,Mpofana,7270,57,13,52,6809,24,30,36,19,87,130,13,KwaZulu-Natal
KZN224,Impendle,6857,36,7,13,6566,12,13,35,7,21,141,6,KwaZulu-Natal
KZN225,The Msunduzi,124207,3500,325,945,113264,371,404,613,263,2147,2048,327,KwaZulu-Natal
KZN226,Mkhambathini,12646,784,28,46,11323,17,22,46,24,142,192,22,KwaZulu-Natal
KZN232,Emnambithi/Ladysmith,46153,278,347,523,43209,104,165,229,93,406,691,108,KwaZulu-Natal
KZN233,Indaka,21865,61,19,377,20774,40,29,100,46,16,376,27,KwaZulu-Natal
KZN234,Umtshezi,16067,74,37,111,15201,27,43,95,38,112,296,33,KwaZulu-Natal
KZN235,Okhahlamba,26404,76,170,245,24781,55,66,139,58,158,639,17,KwaZulu-Natal
KZN236,Imbabazane,23912,90,22,155,22635,42,68,152,44,31,652,21,KwaZulu-Natal
KZN242,Nqutu,34981,115,18,527,33441,48,76,125,55,82,468,26,KwaZulu-Natal
KZN244,Msinga,36122,97,10,346,34385,55,60,184,61,43,832,49,KwaZulu-Natal
KZN245,Umvoti,20832,80,11,110,19792,24,28,113,29,144,468,33,KwaZulu-Natal
