geo_code,name,total,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Other,Sepedi,Sesotho,Setswana,Sign language,Siswati,Tshivenda,Xitsonga,province
ZA,South Africa,9886915,1097555,796150,217968,1651542,2422317,162823,958750,741191,756180,49773,291191,259491,481984,South Africa
WC044,George,32616,21394,2105,54,8007,121,302,48,178,143,184,27,25,28,Western Cape
WC047,Bitou,7571,3380,588,22,3204,38,139,19,66,33,35,9,9,29,Western Cape
WC048,Knysna,10617,5652,870,34,3504,76,276,20,57,47,54,8,8,11,Western Cape
WC051,Laingsburg,1177,1105,20,1,13,7,7,1,5,10,6,1,1,0,Western Cape
WC052,Prince Albert,2226,2091,60,2,23,2,10,1,8,18,7,1,3,0,Western Cape
WC053,Beaufort West,8126,6736,189,13,967,30,34,19,45,53,27,2,10,1,Western Cape
MP303,Mkhondo,30526,824,754,296,34,27504,155,67,38,175,103,546,9,21,Mpumalanga
MP311,Victor Khanye,13534,1726,503,3461,470,5244,284,453,491,259,24,264,77,278,Mpumalanga
MP322,Mbombela,124574,5285,4439,182,198,1585,1223,704,1421,231,132,104251,351,4572,North West
NW373,Rustenburg,94936,7957,5436,1169,9208,2828,3279,1639,3812,53522,428,558,507,4593,North West
NW384,Ditsobotla,29720,2325,815,315,962,575,295,96,535,23566,141,15,20,60,North West
NW396,Lekwa-Teemane,9566,1377,228,83,568,124,95,20,618,6337,58,7,7,44,Northern Cape
NC062,Nama Khoi,7482,7190,63,18,56,11,37,8,22,43,30,1,2,1,Northern Cape
NC071,Ubuntu,3078,2513,60,13,390,15,9,11,20,21,15,0,9,2,Northern Cape
NC077,Siyathemba,3469,3242,29,5,101,13,16,1,7,38,11,2,4,0,Northern Cape
NC085,Tsantsabane,6422,3536,158,41,153,76,88,19,151,2127,35,0,26,12,Northern Cape
NC094,Phokwane,11413,1911,525,151,685,163,79,41,152,7632,40,6,8,20,Western Cape
WC012,Cederberg,8036,6856,162,6,495,13,46,7,342,70,31,0,8,0,Western Cape
WC024,Stellenbosch,32262,20781,3106,47,6975,95,488,40,373,125,172,13,22,25,Western Cape
WC033,Cape Agulhas,5243,4353,214,12,408,29,120,7,42,25,24,2,7,0,Western Cape
WC045,Oudtshoorn,16354,14823,366,16,807,23,56,17,60,126,31,7,13,9,Eastern Cape
EC102,Blue Crane Route,5856,2477,170,7,3084,9,34,6,21,22,18,4,2,2,Eastern Cape
EC103,Ikwezi,1661,1117,45,4,456,0,16,2,3,9,6,1,2,0,Eastern Cape
EC104,Makana,13752,1951,1914,50,9385,73,144,29,61,44,74,10,7,10,Eastern Cape
EC106,Sundays River Valley,9365,2516,344,49,5966,50,183,24,127,27,47,2,14,16,Eastern Cape
EC107,Baviaans,2794,2570,43,1,148,1,14,1,6,7,3,0,0,0,Eastern Cape
EC108,Kouga,15719,9260,742,30,5090,98,213,20,114,72,28,8,16,28,Eastern Cape
EC109,Kou-Kamma,6671,4657,210,19,1449,19,134,3,92,38,23,5,15,7,Eastern Cape
EC121,Mbhashe,52647,290,905,116,50272,186,129,132,142,67,349,14,33,12,Eastern Cape
EC123,Great Kei,6665,104,267,1,6200,18,14,7,4,7,43,0,0,0,Eastern Cape
EC124,Amahlathi,22061,374,509,27,20748,41,63,35,92,18,135,3,11,5,Eastern Cape
EC126,Ngqushwa,11956,73,335,32,11298,39,32,27,34,17,39,8,10,12,Eastern Cape
EC127,Nkonkobe,20925,1090,624,34,18692,66,116,54,55,35,122,15,11,11,Eastern Cape
EC131,Inxuba Yethemba,10969,4867,304,14,5525,22,55,29,42,46,51,4,3,7,Eastern Cape
EC132,Tsolwana,6262,429,114,18,5402,17,42,26,168,6,29,2,2,7,Eastern Cape
EC133,Inkwanca,4120,263,94,18,3660,14,27,7,10,6,19,0,1,1,Eastern Cape
EC134,Lukanji,36388,1797,1564,128,31711,132,327,92,276,60,266,7,9,19,Eastern Cape
EC136,Emalahleni,22263,209,348,36,21190,51,95,51,125,22,116,1,5,14,Eastern Cape
