geo_code,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male,province
ETH,eThekwini,661650,553496,273842,279654,108154,60721,47433,KwaZulu-Natal
KZN216,Hibiscus Coast,48101,39778,19832,19946,8323,4701,3622,KwaZulu-Natal
KZN227,Richmond,12394,10386,5048,5338,2008,1154,854,KwaZulu-Natal
KZN241,Endumeni,12475,10099,4902,5197,2376,1292,1084,KwaZulu-Natal
KZN253,Emadlangeni,6340,4767,2228,2539,1573,796,777,KwaZulu-Natal
KZN271,Umhlabuyalingana,33242,24183,12332,11851,9059,4856,4203,KwaZulu-Natal
KZN282,uMhlathuze,67000,54717,28342,26375,12283,6702,5581,KwaZulu-Natal
KZN292,KwaDukuza,44041,34761,17068,17693,9280,5319,3961,KwaZulu-Natal
KZN433,Greater Kokstad,12668,8556,4214,4342,4112,2359,1753,KwaZulu-Natal
LIM334,Ba-Phalaborwa,29766,26521,13302,13219,3245,1884,1361,KwaZulu-Natal
LIM352,Aganang,27380,25508,12519,12989,1872,1038,834,Limpopo
LIM364,Mookgopong,5425,4847,2301,2546,578,318,260,Limpopo
LIM367,Mogalakwena,63182,57187,28482,28705,5995,3342,2653,Limpopo
LIM471,Ephraim Mogale,24958,22416,10974,11442,2542,1370,1172,Limpopo
LIM472,Elias Motsoaledi,51155,47002,23471,23531,4153,2305,1848,Limpopo
LIM473,Makhuduthamaga,56018,50977,25698,25279,5041,2781,2260,Limpopo
LIM474,Fetakgomo,19131,17866,9079,8787,1265,716,549,Limpopo
LIM475,Greater Tubatse,70419,64345,32402,31943,6074,3446,2628,Limpopo
MP301,Albert Luthuli,41027,37928,19195,18733,3099,1776,1323,Limpopo
MP302,Msukaligwa,27764,24960,12435,12525,2804,1595,1209,Mpumalanga
MP304,Pixley Ka Seme,15712,13515,6753,6762,2197,1248,949,Mpumalanga
MP305,Lekwa,20240,18517,9001,9516,1723,932,791,Mpumalanga
MP306,Dipaleseng,7410,6827,3305,3522,583,349,234,Mpumalanga
MP307,Govan Mbeki,52896,47581,22616,24965,5315,2893,2422,Mpumalanga
MP312,Emalahleni,72793,66994,32098,34896,5799,3182,2617,Mpumalanga
MP313,Steve Tshwete,38362,34841,16784,18057,3521,1936,1585,Mpumalanga
MP314,Emakhazeni,8187,7364,3616,3748,823,451,372,Mpumalanga
MP315,Thembisile,64083,59504,29830,29674,4579,2589,1990,Mpumalanga
MP316,Dr JS Moroka,51658,48472,23929,24543,3186,1825,1361,Mpumalanga
MP321,Thaba Chweu,15912,14551,6993,7558,1361,766,595,Mpumalanga
MP323,Umjindi,11486,10334,5214,5120,1152,649,503,Mpumalanga
MP324,Nkomazi,90440,80190,40706,39484,10250,5661,4589,Mpumalanga
MP325,Bushbuckridge,125287,115727,58708,57019,9560,5592,3968,Mpumalanga
NW371,Moretele,34846,31521,15551,15970,3325,1837,1488,Mpumalanga
NW372,Madibeng,83702,72434,34249,38185,11268,6300,4968,North West
NW374,Kgetlengrivier,8038,7023,3334,3689,1015,566,449,North West
NW375,Moses Kotane,42135,37181,18116,19065,4954,2711,2243,North West
NW381,Ratlou,19577,15997,8013,7984,3580,1983,1597,North West
NW382,Tswaing,22948,17849,8727,9122,5099,2881,2218,North West
NW383,Mafikeng,55928,47783,24110,23673,8145,4553,3592,North West
NW385,Ramotshere Moiloa,25663,21025,10354,10671,4638,2555,2083,North West
NW392,Naledi,11084,8899,4353,4546,2185,1259,926,North West
NW393,Mamusa,10855,8961,4412,4549,1894,1049,845,North West
NW394,Greater Taung,33170,28491,14186,14305,4679,2752,1927,North West
NW397,Kagisano/Molopo,18289,14629,7306,7323,3660,2191,1469,North West
NW401,Ventersdorp,9705,7883,3862,4021,1822,995,827,North West
NW402,Tlokwe City Council,30812,28760,14667,14093,2052,1091,961,North West
NW403,City of Matlosana,68013,59927,29705,30222,8086,4454,3632,North West
NW404,Maquassi Hills,13520,12204,6093,6111,1316,739,577,North West
NC061,Richtersveld,1679,1538,725,813,141,64,77,North West
NC064,Kamiesberg,1272,1118,512,606,154,78,76,Northern Cape
NC065,Hantam,3259,2528,1211,1317,731,390,341,Northern Cape
NC066,Karoo Hoogland,1543,1221,616,605,322,176,146,Northern Cape
NC067,Kh̢i-Ma,2112,1662,763,899,450,211,239,Northern Cape
NC072,Umsobomvu,4708,3919,1902,2017,789,451,338,Northern Cape
NC073,Emthanjeni,6938,5753,2907,2846,1185,640,545,Northern Cape
NC074,Kareeberg,1667,1296,676,620,371,205,166,Northern Cape
NC075,Renosterberg,1635,1389,659,730,246,116,130,Northern Cape
NC076,Thembelihle,2672,2039,978,1061,633,363,270,Northern Cape
NC078,Siyancuma,6091,4894,2433,2461,1197,655,542,Northern Cape
NC081,Mier,1120,887,436,451,233,123,110,Northern Cape
NC082,Kai !Garib,10546,8186,3888,4298,2360,1147,1213,Northern Cape
NC083,//Khara Hais,16268,13548,6782,6766,2720,1431,1289,Northern Cape
NC084,!Kheis,2446,1673,807,866,773,418,355,Northern Cape
NC086,Kgatelopele,3251,2838,1366,1472,413,223,190,Northern Cape
NC091,Sol Plaatjie,42108,37171,18603,18568,4937,2733,2204,Northern Cape
NC092,Dikgatlong,7848,6598,3262,3336,1250,707,543,Northern Cape
NC093,Magareng,4319,3788,1844,1944,531,275,256,Northern Cape
NC451,Joe Morolong,15974,13362,6792,6570,2612,1524,1088,Northern Cape
NC452,Ga-Segonyana,17468,14631,7176,7455,2837,1585,1252,Northern Cape
NC453,Gamagara,6589,5492,2655,2837,1097,547,550,Northern Cape
CPT,City of Cape Town,618278,534614,270147,264467,83664,46696,36968,Northern Cape
WC011,Matzikama,11141,8086,3986,4100,3055,1602,1453,Western Cape
WC013,Bergrivier,9188,7209,3611,3598,1979,1069,910,Western Cape
WC014,Saldanha Bay,16405,13576,6662,6914,2829,1498,1331,Western Cape
WC015,Swartland,17662,13703,6790,6913,3959,2121,1838,Western Cape
WC022,Witzenberg,18893,15411,7567,7844,3482,1891,1591,Western Cape
WC023,Drakenstein,42133,34803,17243,17560,7330,3980,3350,Western Cape
WC025,Breede Valley,28471,23385,11869,11516,5086,2841,2245,Western Cape
WC026,Langeberg,16484,12280,6106,6174,4204,2223,1981,Western Cape
WC031,Theewaterskloof,17822,14759,7153,7606,3063,1592,1471,Western Cape
WC032,Overstrand,10265,8315,4170,4145,1950,1067,883,Western Cape
WC034,Swellendam,5773,4690,2228,2462,1083,543,540,Western Cape
WC041,Kannaland,4009,2943,1435,1508,1066,562,504,Western Cape
WC042,Hessequa,7502,6402,3259,3143,1100,573,527,Western Cape
WC043,Mossel Bay,11866,9740,4920,4820,2126,1218,908,Western Cape
