code,period,population,children_0_14,youth_15_34,working_age_15_64,elderly_65_plus,source
NMA,2026,1262956,290092,345000,819768,153096,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
NMA,2027,1262832,285496,344839,821413,155924,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
NMA,2028,1263299,282031,344513,822548,158720,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
NMA,2029,1264304,279037,344802,823823,161444,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
NMA,2030,1265681,277530,344609,823995,164156,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
TSH,2026,4125218,900439,1355564,2963612,261166,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
TSH,2027,4215559,904049,1377731,3038118,273392,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
TSH,2028,4307289,908083,1402534,3113486,285719,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
TSH,2029,4400669,912161,1430894,3190316,298192,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
TSH,2030,4495695,919908,1458581,3264718,311069,Stats SA P0302 Short_term_estimates_2026_2030_district_level.xlsx
