mun_code,efficient_measure,wellfare_measure,profile,province
KZN224,0.9998995935,0.269331163,2,KwaZulu-Natal
KZN225,0.9999020312,0.601191534,1,KwaZulu-Natal
KZN226,0.9998318155,0.318003798,2,KwaZulu-Natal
KZN227,0.9998426886,0.308575322,2,KwaZulu-Natal
KZN232,0.9999588242,0.464493907,2,KwaZulu-Natal
KZN233,0.9992325905,0.267951237,2,KwaZulu-Natal
KZN234,0.9996888237,0.393888628,2,KwaZulu-Natal
KZN235,0.9993370342,0.223229441,2,KwaZulu-Natal
KZN236,0.9984740101,0.168681049,2,KwaZulu-Natal
KZN241,0.9998921741,0.55602243,1,KwaZulu-Natal
KZN242,0.9999196105,0.230998403,2,KwaZulu-Natal
KZN244,0.9988804932,0.108787589,2,KwaZulu-Natal
KZN245,0.9998594701,0.237195056,2,KwaZulu-Natal
KZN252,0.9995739491,0.590119459,1,KwaZulu-Natal
KZN253,0.9998305408,0.226222423,2,KwaZulu-Natal
KZN254,0.9997330519,0.319387383,2,KwaZulu-Natal
KZN261,0.9966569645,0.290111406,2,KwaZulu-Natal
KZN262,0.9990769352,0.303892511,2,KwaZulu-Natal
KZN263,0.9996073413,0.429414515,2,KwaZulu-Natal
KZN265,0.9988118205,0.250833701,2,KwaZulu-Natal
KZN266,0.999448887,0.318480203,2,KwaZulu-Natal
KZN271,0.9979130049,0.113605052,2,KwaZulu-Natal
KZN272,0.9977062943,0.155775646,2,KwaZulu-Natal
KZN273,0.9993040265,0.204504908,2,KwaZulu-Natal
KZN274,0.9975823276,0.18346862,2,KwaZulu-Natal
KZN275,0.998830342,0.307443353,2,KwaZulu-Natal
KZN281,0.9981006708,0.318850782,2,KwaZulu-Natal
KZN282,1.0,0.605877913,1,KwaZulu-Natal
KZN283,0.9999650759,0.195505988,2,KwaZulu-Natal
KZN284,0.9994055476,0.266423736,2,KwaZulu-Natal
KZN285,0.9991609875,0.269725849,2,KwaZulu-Natal
KZN286,0.998243382,0.217430866,2,KwaZulu-Natal
KZN291,0.9996290993,0.381279343,2,KwaZulu-Natal
KZN292,0.9997639359,0.432518184,2,KwaZulu-Natal
KZN293,0.9995769504,0.209517717,2,KwaZulu-Natal
KZN294,0.9980695078,0.137163337,2,KwaZulu-Natal
KZN431,0.9995283024,0.153395638,2,KwaZulu-Natal
KZN432,0.9980414817,0.338949879,2,KwaZulu-Natal
KZN433,0.9995571757,0.538938755,1,KwaZulu-Natal
KZN434,0.9999505613,0.129693148,2,KwaZulu-Natal
KZN435,0.9998075662,0.164096014,2,KwaZulu-Natal
LIM331,0.9997415526,0.190041147,2,Limpopo
LIM332,0.9983600024,0.212933092,2,Limpopo
LIM333,0.9995336951,0.270043402,2,Limpopo
LIM334,0.9992491703,0.466992056,2,Limpopo
LIM335,0.9993186638,0.188822688,2,Limpopo
LIM341,0.9993720304,0.548149806,1,Limpopo
LIM342,0.9992615856,0.115007101,2,Limpopo
LIM343,0.9998778978,0.239445889,2,Limpopo
LIM344,0.9992934428,0.227599913,2,Limpopo
LIM351,0.9993369468,0.196902993,2,Limpopo
LIM352,0.9994641921,0.303450573,2,Limpopo
LIM353,0.9995549223,0.359514975,2,Limpopo
LIM354,0.9991441055,0.489700904,2,Limpopo
LIM355,0.9988990269,0.320057987,2,Limpopo
LIM361,0.9967059623,0.554204282,1,Limpopo
LIM362,0.9996223145,0.427335483,2,Limpopo
LIM364,0.999406442,0.611795979,1,Limpopo
LIM365,0.999436008,0.57010887,1,Limpopo
LIM366,0.9995187258,0.606324297,1,Limpopo
LIM367,0.9994705385,0.355437846,2,Limpopo
LIM471,0.9982043746,0.298786259,2,Limpopo
LIM472,0.996982694,0.305943266,2,Limpopo
LIM473,0.9997318532,0.205748266,2,Limpopo
LIM474,0.9997925184,0.220378493,2,Limpopo
LIM475,0.9979169971,0.214294231,2,Limpopo
MAN,0.9991138341,0.633151152,1,Free State
MP301,0.9986071267,0.353657969,2,Mpumalanga
MP302,0.9989925618,0.513021248,1,Mpumalanga
MP303,0.9988618796,0.336702693,2,Mpumalanga
MP304,0.9990538714,0.487936867,2,Mpumalanga
MP305,0.998359105,0.671750998,1,Mpumalanga
MP306,0.9988146599,0.586584503,1,Mpumalanga
MP307,0.9997563351,0.711624011,1,Mpumalanga
MP311,0.998963157,0.608824847,1,Mpumalanga
MP312,0.9997206914,0.613228586,1,Mpumalanga
MP313,0.9996690137,0.638193217,1,Mpumalanga
MP314,0.9992626573,0.516384779,1,Mpumalanga
MP315,0.9990330383,0.472269614,2,Mpumalanga
MP316,0.9995157324,0.399915125,2,Mpumalanga
MP321,0.9991438718,0.568146441,1,Mpumalanga
MP322,0.9997790509,0.474942701,2,Mpumalanga
MP323,0.9991033345,0.533661051,1,Mpumalanga
MP324,0.9989147243,0.353594572,2,Mpumalanga
MP325,0.9969210928,0.277435283,2,Mpumalanga
NC061,0.9989985858,0.698892666,1,Northern Cape
NC062,0.9978579571,0.685299264,1,Northern Cape
NC064,0.9970543629,0.577967945,1,Northern Cape
NC065,0.9995634603,0.669744252,1,Northern Cape
NC066,0.9977187492,0.535635105,1,Northern Cape
NC067,0.9989009554,0.667551603,1,Northern Cape
NC071,0.9986324109,0.651421812,1,Northern Cape
NC072,0.9987049674,0.658815738,1,Northern Cape
NC073,0.9986481773,0.688452563,1,Northern Cape
NC074,0.9996197444,0.647292409,1,Northern Cape
NC075,0.9955897171,0.670223254,1,Northern Cape
NC076,0.9972350797,0.55606452,1,Northern Cape
NC077,0.9979176037,0.657320763,1,Northern Cape
NC078,0.9981857612,0.59752436,1,Northern Cape
NC081,0.9974862541,0.558244948,1,Northern Cape
NC082,0.9987724355,0.614776383,1,Northern Cape
NC083,0.9994188793,0.654904934,1,Northern Cape
NC084,0.9989828731,0.528493431,1,Northern Cape
NC085,0.9969516694,0.63470947,1,Northern Cape
NC086,0.9986605014,0.712919717,1,Northern Cape
NC091,0.9998223561,0.67941982,1,Northern Cape
NC092,0.9992402303,0.611380922,1,Northern Cape
NC093,0.9991544834,0.672415791,1,Northern Cape
NC094,0.9989872746,0.617156404,1,Northern Cape
NC451,0.9989753745,0.16135296,2,Northern Cape
NC452,0.9990976153,0.371632322,2,Northern Cape
NC453,0.9991716093,0.694703773,1,Northern Cape
NMA,0.9993336909,0.704481382,1,Eastern Cape
NW371,0.9987661258,0.399557094,2,North West
