,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,48107542,AUDA,DC14,Joe Gqabi,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,26.9852422,26.9852422
2013,1563448876,AUDA,DC15,O.R.Tambo,Total Operating Revenue Generated,Eastern Cape,29.2320784,29.2320784
2013,1563448876,AUDA,DC15,O.R.Tambo,Total Direct Operating Revenue,Eastern Cape,29.2320784,29.2320784
2013,0,AUDA,DC15,O.R.Tambo,Total Indirect Operating Revenue,Eastern Cape,29.2320784,29.2320784
2013,1563448876,AUDA,DC15,O.R.Tambo,Total Operating Revenue,Eastern Cape,29.2320784,29.2320784
2013,1218340113,AUDA,DC15,O.R.Tambo,Total Direct Operating Expenditure,Eastern Cape,29.2320784,29.2320784
2013,0,AUDA,DC15,O.R.Tambo,Total Indirect Operating Expenditure,Eastern Cape,29.2320784,29.2320784
2013,1218340113,AUDA,DC15,O.R.Tambo,Total Operating Expenditure,Eastern Cape,29.2320784,29.2320784
2013,345108763,AUDA,DC15,O.R.Tambo,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Eastern Cape,29.2320784,29.2320784
2013,39385108,AUDA,DC16,Xhariep,Total Operating Revenue Generated,Free State,25.2837585,25.2837585
2013,39385108,AUDA,DC16,Xhariep,Total Direct Operating Revenue,Free State,25.2837585,25.2837585
2013,0,AUDA,DC16,Xhariep,Total Indirect Operating Revenue,Free State,25.2837585,25.2837585
2013,39385108,AUDA,DC16,Xhariep,Total Operating Revenue,Free State,25.2837585,25.2837585
2013,70745191,AUDA,DC16,Xhariep,Total Direct Operating Expenditure,Free State,25.2837585,25.2837585
2013,0,AUDA,DC16,Xhariep,Total Indirect Operating Expenditure,Free State,25.2837585,25.2837585
2013,70745191,AUDA,DC16,Xhariep,Total Operating Expenditure,Free State,25.2837585,25.2837585
2013,-31360083,AUDA,DC16,Xhariep,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Free State,25.2837585,25.2837585
2013,103626063,AUDA,DC18,Lejweleputswa,Total Operating Revenue Generated,Free State,26.2304616,26.2304616
2013,103626063,AUDA,DC18,Lejweleputswa,Total Direct Operating Revenue,Free State,26.2304616,26.2304616
2013,0,AUDA,DC18,Lejweleputswa,Total Indirect Operating Revenue,Free State,26.2304616,26.2304616
2013,103626063,AUDA,DC18,Lejweleputswa,Total Operating Revenue,Free State,26.2304616,26.2304616
2013,100498712,AUDA,DC18,Lejweleputswa,Total Direct Operating Expenditure,Free State,26.2304616,26.2304616
2013,0,AUDA,DC18,Lejweleputswa,Total Indirect Operating Expenditure,Free State,26.2304616,26.2304616
2013,100498712,AUDA,DC18,Lejweleputswa,Total Operating Expenditure,Free State,26.2304616,26.2304616
2013,3127351,AUDA,DC18,Lejweleputswa,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Free State,26.2304616,26.2304616
2013,85963425,AUDA,DC19,Thabo Mofutsanyane,Total Operating Revenue Generated,Free State,28.299435,28.299435
2013,85963425,AUDA,DC19,Thabo Mofutsanyane,Total Direct Operating Revenue,Free State,28.299435,28.299435
2013,0,AUDA,DC19,Thabo Mofutsanyane,Total Indirect Operating Revenue,Free State,28.299435,28.299435
2013,85963425,AUDA,DC19,Thabo Mofutsanyane,Total Operating Revenue,Free State,28.299435,28.299435
2013,111230713,AUDA,DC19,Thabo Mofutsanyane,Total Direct Operating Expenditure,Free State,28.299435,28.299435
2013,0,AUDA,DC19,Thabo Mofutsanyane,Total Indirect Operating Expenditure,Free State,28.299435,28.299435
2013,111230713,AUDA,DC19,Thabo Mofutsanyane,Total Operating Expenditure,Free State,28.299435,28.299435
2013,-25267288,AUDA,DC19,Thabo Mofutsanyane,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Free State,28.299435,28.299435
2013,309863796,AUDA,DC2,Cape Winelands,Total Operating Revenue Generated,Western Cape,19.7591675,19.7591675
2013,309863796,AUDA,DC2,Cape Winelands,Total Direct Operating Revenue,Western Cape,19.7591675,19.7591675
2013,40660575,AUDA,DC2,Cape Winelands,Total Indirect Operating Revenue,Western Cape,19.7591675,19.7591675
2013,350524371,AUDA,DC2,Cape Winelands,Total Operating Revenue,Western Cape,19.7591675,19.7591675
2013,285472302,AUDA,DC2,Cape Winelands,Total Direct Operating Expenditure,Western Cape,19.7591675,19.7591675
2013,41446475,AUDA,DC2,Cape Winelands,Total Indirect Operating Expenditure,Western Cape,19.7591675,19.7591675
2013,326918777,AUDA,DC2,Cape Winelands,Total Operating Expenditure,Western Cape,19.7591675,19.7591675
2013,23605594,AUDA,DC2,Cape Winelands,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Western Cape,19.7591675,19.7591675
2013,145516887,AUDA,DC20,Fezile Dabi,Total Operating Revenue Generated,Free State,27.7373373,27.7373373
2013,145516887,AUDA,DC20,Fezile Dabi,Total Direct Operating Revenue,Free State,27.7373373,27.7373373
2013,0,AUDA,DC20,Fezile Dabi,Total Indirect Operating Revenue,Free State,27.7373373,27.7373373
2013,145516887,AUDA,DC20,Fezile Dabi,Total Operating Revenue,Free State,27.7373373,27.7373373
2013,129229880,AUDA,DC20,Fezile Dabi,Total Direct Operating Expenditure,Free State,27.7373373,27.7373373
2013,0,AUDA,DC20,Fezile Dabi,Total Indirect Operating Expenditure,Free State,27.7373373,27.7373373
2013,129229880,AUDA,DC20,Fezile Dabi,Total Operating Expenditure,Free State,27.7373373,27.7373373
2013,16287007,AUDA,DC20,Fezile Dabi,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Free State,27.7373373,27.7373373
2013,905557430,AUDA,DC21,Ugu,Total Operating Revenue Generated,KwaZulu-Natal,30.2512728,30.2512728
2013,905557430,AUDA,DC21,Ugu,Total Direct Operating Revenue,KwaZulu-Natal,30.2512728,30.2512728
2013,0,AUDA,DC21,Ugu,Total Indirect Operating Revenue,KwaZulu-Natal,30.2512728,30.2512728
2013,905557430,AUDA,DC21,Ugu,Total Operating Revenue,KwaZulu-Natal,30.2512728,30.2512728
2013,677032869,AUDA,DC21,Ugu,Total Direct Operating Expenditure,KwaZulu-Natal,30.2512728,30.2512728
2013,0,AUDA,DC21,Ugu,Total Indirect Operating Expenditure,KwaZulu-Natal,30.2512728,30.2512728
2013,677032869,AUDA,DC21,Ugu,Total Operating Expenditure,KwaZulu-Natal,30.2512728,30.2512728
2013,228524561,AUDA,DC21,Ugu,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,30.2512728,30.2512728
2013,622148278,AUDA,DC22,Umgungundlovu,Total Operating Revenue Generated,KwaZulu-Natal,30.3435506,30.3435506
2013,622148278,AUDA,DC22,Umgungundlovu,Total Direct Operating Revenue,KwaZulu-Natal,30.3435506,30.3435506
2013,0,AUDA,DC22,Umgungundlovu,Total Indirect Operating Revenue,KwaZulu-Natal,30.3435506,30.3435506
2013,622148278,AUDA,DC22,Umgungundlovu,Total Operating Revenue,KwaZulu-Natal,30.3435506,30.3435506
2013,602769863,AUDA,DC22,Umgungundlovu,Total Direct Operating Expenditure,KwaZulu-Natal,30.3435506,30.3435506
2013,0,AUDA,DC22,Umgungundlovu,Total Indirect Operating Expenditure,KwaZulu-Natal,30.3435506,30.3435506
2013,602769863,AUDA,DC22,Umgungundlovu,Total Operating Expenditure,KwaZulu-Natal,30.3435506,30.3435506
2013,19378415,AUDA,DC22,Umgungundlovu,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,30.3435506,30.3435506
2013,690270555,AUDA,DC23,Uthukela,Total Operating Revenue Generated,KwaZulu-Natal,29.6035495,29.6035495
2013,690270555,AUDA,DC23,Uthukela,Total Direct Operating Revenue,KwaZulu-Natal,29.6035495,29.6035495
2013,0,AUDA,DC23,Uthukela,Total Indirect Operating Revenue,KwaZulu-Natal,29.6035495,29.6035495
2013,690270555,AUDA,DC23,Uthukela,Total Operating Revenue,KwaZulu-Natal,29.6035495,29.6035495
2013,651708705,AUDA,DC23,Uthukela,Total Direct Operating Expenditure,KwaZulu-Natal,29.6035495,29.6035495
2013,0,AUDA,DC23,Uthukela,Total Indirect Operating Expenditure,KwaZulu-Natal,29.6035495,29.6035495
2013,651708705,AUDA,DC23,Uthukela,Total Operating Expenditure,KwaZulu-Natal,29.6035495,29.6035495
2013,38561850,AUDA,DC23,Uthukela,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,29.6035495,29.6035495
2013,595981855,AUDA,DC24,Umzinyathi,Total Operating Revenue Generated,KwaZulu-Natal,30.6199895,30.6199895
2013,595981855,AUDA,DC24,Umzinyathi,Total Direct Operating Revenue,KwaZulu-Natal,30.6199895,30.6199895
2013,0,AUDA,DC24,Umzinyathi,Total Indirect Operating Revenue,KwaZulu-Natal,30.6199895,30.6199895
2013,595981855,AUDA,DC24,Umzinyathi,Total Operating Revenue,KwaZulu-Natal,30.6199895,30.6199895
2013,396885941,AUDA,DC24,Umzinyathi,Total Direct Operating Expenditure,KwaZulu-Natal,30.6199895,30.6199895
2013,0,AUDA,DC24,Umzinyathi,Total Indirect Operating Expenditure,KwaZulu-Natal,30.6199895,30.6199895
2013,396885941,AUDA,DC24,Umzinyathi,Total Operating Expenditure,KwaZulu-Natal,30.6199895,30.6199895
2013,199095914,AUDA,DC24,Umzinyathi,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,KwaZulu-Natal,30.6199895,30.6199895
2013,180108801,AUDA,DC25,Amajuba,Total Operating Revenue Generated,KwaZulu-Natal,30.0665236,30.0665236
2013,180108801,AUDA,DC25,Amajuba,Total Direct Operating Revenue,KwaZulu-Natal,30.0665236,30.0665236
2013,0,AUDA,DC25,Amajuba,Total Indirect Operating Revenue,KwaZulu-Natal,30.0665236,30.0665236
2013,180108801,AUDA,DC25,Amajuba,Total Operating Revenue,KwaZulu-Natal,30.0665236,30.0665236
2013,189830922,AUDA,DC25,Amajuba,Total Direct Operating Expenditure,KwaZulu-Natal,30.0665236,30.0665236
