,Unnamed: 0,mun_code,mun_name,Province,Latitude,Longitude,Wages_Salaries,emp_social_contributions,Less_Employee_Costs_Capitalised,Less_Employee_Costs_Allocated_To_Other_Operations,Councillor_Remuneration,Debt_Impairment,Collection_Costs,Dep_Impairment,IntExp_ExtBorrowing,Redemption_Payment,Bulk_Purchases,Other_Materials,Contracted_Services,Grants_Subsedies,Other_Expenditure,Loss_disposalPPE,Provision_Contribution,Total_Expenditure
27,2013,DC34,Vhembe,Limpopo,29.9740534,29.9740534,165904464,0,0,0,9335000,0,232733,72902000,0,0,181866,51807041,0,3592298,119959333,0,0,423914735
28,2013,DC35,Capricorn,Limpopo,29.2320784,29.2320784,112605597,64355154,0,0,9094273,52539917,9044006,64349451,213451,0,44310716,0,4818724,800000,149549559,1171124,0,512851972
29,2013,DC36,Waterberg,Limpopo,28.299435,28.299435,42691641,8179053,0,0,5472702,-73028,0,7646993,0,0,0,0,12759915,24213319,16900420,527892,0,118318907
30,2013,DC37,Bojanala,North West,27.3616476,27.3616476,118215263,12783046,0,0,0,0,0,7143971,47515,0,0,2902749,11812565,81444588,33340525,0,0,267690222
31,2013,DC38,Ngaka Modiri Molema,North West,25.8521764,25.8521764,159182261,29876837,0,0,9380302,0,0,168034969,1573356,0,1956294,42095229,16410757,104520312,121791040,1319517,0,656140874
32,2013,DC39,Dr Ruth Segomotsi Mompati,North West,24.3341432,24.3341432,65056000,0,0,0,5288000,0,0,36486000,0,0,50817000,1735000,70454000,77370000,31822000,0,0,339028000
33,2013,DC4,Eden,Western Cape,22.047636999999998,22.047636999999998,121746366,20785925,0,0,6748000,2042881,0,5161364,742776,0,0,0,6386000,0,104065000,391063,0,268069375
34,2013,DC40,Dr Kenneth Kaunda,North West,26.513796399999997,26.513796399999997,42095144,7181642,0,0,7347680,0,0,3031353,1064111,0,0,902095,1853895,119974071,29633764,21533,602936,213708224
35,2013,DC42,Sedibeng,Gauteng,28.2058768,28.2058768,161901137,41223848,0,0,10284043,125855,0,26707940,47186,0,0,0,41698904,5038185,67932595,163960,0,355123653
36,2013,DC43,Harry Gwala,KwaZulu-Natal,29.6035495,29.6035495,66077003,13150599,0,0,4622013,15023138,3354454,28991761,3791886,0,9709726,0,18824696,0,159048388,137537,17486449,340217650
37,2013,DC44,Alfred Nzo,Eastern Cape,28.859680400000002,28.859680400000002,116001216,0,0,0,6983375,3998790,0,49178089,0,0,1519815,0,25621036,0,396026996,0,0,599329317
38,2013,DC45,John Taolo Gaetsewe,Northern Cape,23.1918021,23.1918021,42831999,0,0,0,3820046,1129670,0,2741276,1737982,0,0,0,0,0,12958182,252215,0,65471370
39,2013,DC47,Sekhukhune,Limpopo,29.9740534,29.9740534,188694772,26501228,0,0,10008271,2889400,0,51563000,616300,0,73341000,1436300,45480400,1812000,164673000,0,0,567015671
40,2013,DC48,West Rand,Gauteng,27.455638800000003,27.455638800000003,144234292,9203369,0,0,7989001,17110226,0,13512111,927083,0,0,0,0,0,82679649,0,0,275655731
41,2013,DC5,Central Karoo,Western Cape,22.2384017,22.2384017,25219675,0,0,0,3214189,0,0,613373,34010,0,0,0,0,0,23675740,86748,0,52843735
42,2013,DC6,Namakwa,Northern Cape,19.949686,19.949686,19366702,-900049,0,0,2280503,1450592,0,1868477,1202144,0,0,0,68808,4319532,21887568,234737,0,51779014
43,2013,DC7,Pixley ka Seme,Northern Cape,23.3823545,23.3823545,20288537,2744548,0,0,3177718,79210,0,2046259,669120,0,0,421105,305885,4848419,9691153,1097,0,44273051
44,2013,DC8,Z F Mgcawu,Northern Cape,21.246215,21.246215,22656176,11520813,0,0,2909505,0,0,1515548,325887,0,0,537528,1157420,3544561,12571025,1836986,0,58575449
45,2013,DC9,Frances Baard,Northern Cape,24.3341432,24.3341432,31887366,7535212,0,0,5160197,0,0,3483486,2317814,0,0,2569405,0,35436785,10138450,1026265,0,99554980
46,2013,EC101,Dr Beyers Naude,Eastern Cape,24.3341432,24.3341432,38611689,15969126,0,0,2951758,2751942,0,38775330,0,0,41041199,0,1516183,18000,47124816,42310,0,188802353
47,2013,EC102,Blue Crane Route,Eastern Cape,24.371068,24.371068,42492791,8976570,0,0,2739347,8597729,14825,36537028,2546463,0,49117347,0,0,311809,30249482,437317,0,182020708
48,2013,EC103,Ikwezi,Eastern Cape,25.4733554,25.4733554,17737358,0,0,0,1478997,2973593,0,2710718,141103,0,5613492,0,2711116,0,12115110,0,0,45481487
49,2013,EC104,Makana,Eastern Cape,24.6192899,24.6192899,113293993,0,0,0,7782498,23521562,0,46624609,214867,0,69228826,0,4331710,17187417,65722712,148328,0,348056522
50,2013,EC105,Ndlambe,Eastern Cape,26.324943800000003,26.324943800000003,80938301,0,0,0,4973700,13487000,0,41543471,3260885,0,35690416,0,14153000,0,78508135,0,0,272554908
51,2013,EC106,Sundays River Valley,Eastern Cape,26.749645,26.749645,27063064,4618794,0,0,4930220,15821989,0,13796839,2719763,0,12319965,11842927,2445715,0,24142270,0,0,119701546
52,2013,EC107,Baviaans,Eastern Cape,25.568108399999996,25.568108399999996,13796023,4753620,0,0,1507253,1371162,0,15373952,1084227,0,7942343,0,0,5629260,14946245,4,0,66404089
53,2013,EC108,Kouga,Eastern Cape,24.048800699999997,24.048800699999997,193299330,0,0,0,8594060,5400817,0,81466307,22090102,0,162289859,0,0,0,72765832,0,0,545906307
54,2013,EC109,Kou-Kamma,Eastern Cape,24.8092691,24.8092691,26729910,4068869,0,0,2538907,19001455,0,19853506,466314,0,2579140,0,2853560,39008641,20811947,464136,0,138376385
55,2013,EC121,Mbhashe,Eastern Cape,24.048800699999997,24.048800699999997,31933920,5099032,0,0,17907022,2933372,0,30326761,599625,0,0,0,0,0,50671339,1141546,750252,141362869
56,2013,EC122,Mnquma,Eastern Cape,28.766440799999998,28.766440799999998,70885561,16664293,0,0,20371860,1960848,349249,41260038,626892,0,2218153,6700729,8098904,0,41996720,93108,0,211226355
57,2013,EC123,Great Kei,Eastern Cape,28.0186087,28.0186087,21940232,5273387,0,0,2993552,2766946,0,18890004,1116903,0,0,6643699,0,0,26070418,0,0,85695141
58,2013,EC124,Amahlathi,Eastern Cape,27.971760600000003,27.971760600000003,43186689,0,0,0,10638667,4368704,0,18551238,262218,0,17458772,0,586171,0,38991823,0,0,134044282
59,2013,EC126,Ngqushwa,Eastern Cape,27.267611600000002,27.267611600000002,29932970,520952,0,0,6233711,9854218,0,15853250,80239,0,0,4738276,0,3290009,26822015,0,0,97325640
60,2013,EC127,Nkonkobe,Eastern Cape,27.267611600000002,27.267611600000002,56101648,10355497,0,0,11380293,8181723,0,24212916,285520,0,26229289,8768260,263431,9300310,33160264,0,0,188239151
61,2013,EC128,Nxuba,Eastern Cape,26.832914399999996,26.832914399999996,13900973,6941188,0,0,2031849,88297,0,8365728,337361,0,19731836,0,443684,3017605,11749222,0,0,66607743
62,2013,EC131,Inxuba Yethemba,Eastern Cape,26.324943800000003,26.324943800000003,59362854,0,0,0,0,0,0,0,0,0,47561363,0,0,6531934,23848830,0,0,137304981
63,2013,EC132,Tsolwana,Eastern Cape,25.378571899999997,25.378571899999997,14023207,6228719,0,0,2319466,3602236,0,3463424,54427,0,7796084,0,0,2768274,19077445,0,0,59333282
64,2013,EC133,Inkwanca,Eastern Cape,26.135943100000002,26.135943100000002,13837534,5170973,0,0,1872447,7612196,0,9977809,245283,0,4403299,3311157,51171,0,10772314,0,0,57254183
65,2013,EC134,Lukanji,Eastern Cape,26.513796399999997,26.513796399999997,87178346,17721334,0,0,18065144,76103826,0,24272166,2027201,4369347,145053572,0,3112895,1660134,88285407,0,208679,468058051
66,2013,EC135,Intsika Yethu,Eastern Cape,26.8910342,26.8910342,75974944,0,0,0,9158525,0,0,146040131,492051,0,598936,0,0,5423898,52297900,0,0,289986385
67,2013,EC136,Emalahleni,Eastern Cape,27.6434844,27.6434844,37892638,5792004,0,0,9101125,9539098,0,21451637,642615,0,11232475,0,2713127,141136,52487152,2743897,0,153736904
