,account_type,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,AUDA,EC443,Mbizana,Total,19952825,Eastern Cape,28.9528645,28.9528645
2013,AUDA,EC444,Ntabankulu,Total,6045827,Eastern Cape,29.8566142,29.8566142
2013,AUDA,EKU,Ekurhuleni,Total,1718331711,Eastern Cape,29.2785638,29.2785638
2013,AUDA,FS162,Kopanong,Total,64527596,Gauteng,28.3461948,28.3461948
2013,AUDA,FS181,Masilonyana,Total,9892127,Free State,25.4733554,25.4733554
2013,AUDA,FS183,Tswelopele,Total,16477308,Free State,26.6081653,26.6081653
2013,AUDA,FS184,Matjhabeng,Total,798800649,Free State,25.9467997,25.9467997
2013,AUDA,FS191,Setsoto,Total,18063134,Free State,26.8910342,26.8910342
2013,AUDA,FS192,Dihlabeng,Total,169234320,Free State,27.6434844,27.6434844
2013,AUDA,FS194,Maluti a Phofung,Total,64879080,Free State,28.2058768,28.2058768
2013,AUDA,FS195,Phumelela,Total,40528374,Free State,28.9528645,28.9528645
2013,AUDA,FS196,Mantsopa,Total,21244102,Free State,29.2320784,29.2320784
2013,AUDA,FS201,Moqhaka,Total,113463607,Free State,27.2676116,27.2676116
2013,AUDA,FS204,Metsimaholo,Total,132912373,Free State,27.2676116,27.2676116
2013,AUDA,FS205,Mafube,Total,150196325,Free State,27.8277881,27.8277881
2013,AUDA,GT421,Emfuleni,Total,667692097,Free State,28.5797981,28.5797981
2013,AUDA,GT422,Midvaal,Total,60245869,Gauteng,27.784246,27.784246
2013,AUDA,GT423,Lesedi,Total,61900185,Gauteng,28.0654445,28.0654445
2013,AUDA,GT481,Mogale City,Total,227140044,Gauteng,28.4396756,28.4396756
2013,AUDA,GT483,Westonaria,Total,81002127,Gauteng,27.5965403,27.5965403
2013,AUDA,GT484,Merafong City,Total,80674846,Gauteng,27.666952,27.666952
2013,AUDA,JHB,City of Johannesburg,Total,8808261000,Gauteng,27.4086488,27.4086488
2013,AUDA,KZN211,Vulamehlo,Total,884754,Gauteng,27.9717606,27.9717606
2013,AUDA,KZN212,Umdoni,Total,7731289,KwaZulu-Natal,30.5739579,30.5739579
2013,AUDA,KZN214,uMuziwabantu,Total,9554033,KwaZulu-Natal,30.6890055,30.6890055
2013,AUDA,KZN215,Ezingoleni,Total,3991757,KwaZulu-Natal,29.9277947,29.9277947
2013,AUDA,KZN216,Ray Nkonyeni,Total,0,KwaZulu-Natal,30.182022,30.182022
2013,AUDA,KZN221,uMshwathi,Total,1362049,KwaZulu-Natal,30.3639319,30.3639319
2013,AUDA,KZN222,uMngeni,Total,26817330,KwaZulu-Natal,30.3204873,30.3204873
2013,AUDA,KZN223,Mpofana,Total,0,KwaZulu-Natal,30.5743164,30.5743164
2013,AUDA,KZN225,The Msunduzi,Total,551543722,KwaZulu-Natal,30.112735,30.112735
2013,AUDA,KZN226,Mkhambathini,Total,1127863,KwaZulu-Natal,30.112735,30.112735
2013,AUDA,KZN232,Emnambithi/Ladysmith,Total,71182375,KwaZulu-Natal,30.3824842,30.3824842
2013,AUDA,KZN233,Indaka,Total,9672830,KwaZulu-Natal,30.5739579,30.5739579
2013,AUDA,KZN234,Umtshezi,Total,185139726,KwaZulu-Natal,29.7807856,29.7807856
2013,AUDA,KZN235,Okhahlamba,Total,13115706,KwaZulu-Natal,30.107222,30.107222
2013,AUDA,KZN236,Imbabazane,Total,1407404,KwaZulu-Natal,30.0202964,30.0202964
2013,AUDA,KZN241,Endumeni,Total,25744838,KwaZulu-Natal,29.3250347,29.3250347
2013,AUDA,KZN242,Nqutu,Total,3910710,KwaZulu-Natal,29.6864574,29.6864574
2013,AUDA,KZN244,Msinga,Total,2460591,KwaZulu-Natal,30.2343393,30.2343393
2013,AUDA,KZN245,Umvoti,Total,21969427,KwaZulu-Natal,30.6746303,30.6746303
2013,AUDA,KZN252,Newcastle,Total,160336293,KwaZulu-Natal,30.4357631,30.4357631
2013,AUDA,KZN253,Emadlangeni,Total,1818358,KwaZulu-Natal,30.6199895,30.6199895
2013,AUDA,KZN254,Dannhauser,Total,2212404,KwaZulu-Natal,29.9971769,29.9971769
2013,AUDA,KZN261,eDumbe,Total,5182043,KwaZulu-Natal,30.315775,30.315775
2013,AUDA,KZN262,uPhongolo,Total,5055465,KwaZulu-Natal,30.0202964,30.0202964
2013,AUDA,KZN263,Abaqulusi,Total,29608605,KwaZulu-Natal,30.8039474,30.8039474
2013,AUDA,KZN265,Nongoma,Total,9448056,KwaZulu-Natal,31.5370003,31.5370003
2013,AUDA,KZN266,Ulundi,Total,71957024,KwaZulu-Natal,30.9876321,30.9876321
2013,AUDA,KZN272,Jozini,Total,3373898,KwaZulu-Natal,31.7195459,31.7195459
2013,AUDA,KZN273,The Big 5 False Bay,Total,6292677,KwaZulu-Natal,31.442761,31.442761
2013,AUDA,KZN274,Hlabisa,Total,2278502,KwaZulu-Natal,32.0650697,32.0650697
2013,AUDA,KZN275,Mtubatuba,Total,8039990,KwaZulu-Natal,32.3107517,32.3107517
2013,AUDA,KZN281,Mfolozi,Total,15678916,KwaZulu-Natal,31.8648002,31.8648002
2013,AUDA,KZN282,uMhlathuze,Total,250275664,KwaZulu-Natal,32.2880726,32.2880726
2013,AUDA,KZN283,Ntambanana,Total,432385,KwaZulu-Natal,32.259717,32.259717
2013,AUDA,KZN284,uMlalazi,Total,22337232,KwaZulu-Natal,31.947311,31.947311
2013,AUDA,KZN285,Mthonjaneni,Total,3555805,KwaZulu-Natal,31.7394939,31.7394939
2013,AUDA,KZN286,Nkandla,Total,42510958,KwaZulu-Natal,31.4913182,31.4913182
2013,AUDA,KZN291,Mandeni,Total,5698119,KwaZulu-Natal,31.3998995,31.3998995
