,total_amount,account_type,mun_code,mun_name,label,Province,Latitude,Longitude
2013,684689724,AUDA,DC35,Capricorn,Total Cash Receipts by Source,Limpopo,29.2320784,29.2320784
2013,691742501,AUDA,DC35,Capricorn,Total Cash Payments by Type,Limpopo,29.2320784,29.2320784
2013,102792067,AUDA,DC36,Waterberg,Total Cash Receipts by Source,Limpopo,28.299435,28.299435
2013,116547000,AUDA,DC36,Waterberg,Total Cash Payments by Type,Limpopo,28.299435,28.299435
2013,245999986,AUDA,DC37,Bojanala,Total Cash Receipts by Source,North West,27.3616476,27.3616476
2013,244033317,AUDA,DC37,Bojanala,Total Cash Payments by Type,North West,27.3616476,27.3616476
2013,664251582,AUDA,DC38,Ngaka Modiri Molema,Total Cash Receipts by Source,North West,25.8521764,25.8521764
2013,894795746,AUDA,DC38,Ngaka Modiri Molema,Total Cash Payments by Type,North West,25.8521764,25.8521764
2013,477398989,AUDA,DC39,Dr Ruth Segomotsi Mompati,Total Cash Receipts by Source,North West,24.3341432,24.3341432
2013,443458139,AUDA,DC39,Dr Ruth Segomotsi Mompati,Total Cash Payments by Type,North West,24.3341432,24.3341432
2013,294108595,AUDA,DC4,Eden,Total Cash Receipts by Source,Western Cape,22.047637,22.047637
2013,263896859,AUDA,DC4,Eden,Total Cash Payments by Type,Western Cape,22.047637,22.047637
2013,168213652,AUDA,DC40,Dr Kenneth Kaunda,Total Cash Receipts by Source,North West,26.5137964,26.5137964
2013,200401806,AUDA,DC40,Dr Kenneth Kaunda,Total Cash Payments by Type,North West,26.5137964,26.5137964
2013,341431503,AUDA,DC42,Sedibeng,Total Cash Receipts by Source,Gauteng,28.2058768,28.2058768
2013,347007670,AUDA,DC42,Sedibeng,Total Cash Payments by Type,Gauteng,28.2058768,28.2058768
2013,449697110,AUDA,DC43,Harry Gwala,Total Cash Receipts by Source,KwaZulu-Natal,29.6035495,29.6035495
2013,433050555,AUDA,DC43,Harry Gwala,Total Cash Payments by Type,KwaZulu-Natal,29.6035495,29.6035495
2013,890817776,AUDA,DC44,Alfred Nzo,Total Cash Receipts by Source,Eastern Cape,28.8596804,28.8596804
2013,794125213,AUDA,DC44,Alfred Nzo,Total Cash Payments by Type,Eastern Cape,28.8596804,28.8596804
2013,67847737,AUDA,DC45,John Taolo Gaetsewe,Total Cash Receipts by Source,Northern Cape,23.1918021,23.1918021
2013,63026869,AUDA,DC45,John Taolo Gaetsewe,Total Cash Payments by Type,Northern Cape,23.1918021,23.1918021
2013,1071906404,AUDA,DC47,Sekhukhune,Total Cash Receipts by Source,Limpopo,29.9740534,29.9740534
2013,1014663857,AUDA,DC47,Sekhukhune,Total Cash Payments by Type,Limpopo,29.9740534,29.9740534
2013,201092922,AUDA,DC48,West Rand,Total Cash Receipts by Source,Gauteng,27.4556388,27.4556388
2013,217650578,AUDA,DC48,West Rand,Total Cash Payments by Type,Gauteng,27.4556388,27.4556388
2013,47956727,AUDA,DC5,Central Karoo,Total Cash Receipts by Source,Western Cape,22.2384017,22.2384017
2013,45861359,AUDA,DC5,Central Karoo,Total Cash Payments by Type,Western Cape,22.2384017,22.2384017
2013,42132437,AUDA,DC6,Namakwa,Total Cash Receipts by Source,Northern Cape,19.949686,19.949686
2013,44874543,AUDA,DC6,Namakwa,Total Cash Payments by Type,Northern Cape,19.949686,19.949686
2013,36281648,AUDA,DC7,Pixley ka Seme,Total Cash Receipts by Source,Northern Cape,23.3823545,23.3823545
2013,30526025,AUDA,DC7,Pixley ka Seme,Total Cash Payments by Type,Northern Cape,23.3823545,23.3823545
2013,61653208,AUDA,DC8,Z F Mgcawu,Total Cash Receipts by Source,Northern Cape,21.246215,21.246215
2013,59272802,AUDA,DC8,Z F Mgcawu,Total Cash Payments by Type,Northern Cape,21.246215,21.246215
2013,98572922,AUDA,DC9,Frances Baard,Total Cash Receipts by Source,Northern Cape,24.3341432,24.3341432
2013,101223190,AUDA,DC9,Frances Baard,Total Cash Payments by Type,Northern Cape,24.3341432,24.3341432
2013,174767901,AUDA,EC101,Dr Beyers Naude,Total Cash Receipts by Source,Eastern Cape,24.371068,24.371068
2013,158020838,AUDA,EC101,Dr Beyers Naude,Total Cash Payments by Type,Eastern Cape,24.3341432,24.3341432
2013,167359606,AUDA,EC102,Blue Crane Route,Total Cash Receipts by Source,Eastern Cape,24.371068,24.371068
2013,161004682,AUDA,EC102,Blue Crane Route,Total Cash Payments by Type,Eastern Cape,24.3341432,24.3341432
2013,37815880,AUDA,EC103,Ikwezi,Total Cash Receipts by Source,Eastern Cape,25.4733554,25.4733554
2013,37743785,AUDA,EC103,Ikwezi,Total Cash Payments by Type,Eastern Cape,25.4733554,25.4733554
2013,324695744,AUDA,EC104,Makana,Total Cash Receipts by Source,Eastern Cape,24.6192899,24.6192899
2013,367860339,AUDA,EC104,Makana,Total Cash Payments by Type,Eastern Cape,24.6192899,24.6192899
