,Unnamed: 0,mun_name,mun_code,currRatio,cash_bal,cash_costCov,waste_prop,repairs_PPE,Province,Latitude,Longitude
0,2013,Buffalo City,BUF,2.033938091354837,321346064,0.5111035928217947,0.03534682609621893,0.025328033758937864,Eastern Cape,27.6434844,27.6434844
1,2013,City of Cape Town,CPT,1.6148837240633807,1402364000,0.2821427273993554,4.4085150842236456e-05,0.09846948981288058,Western Cape,18.4680927,18.4680927
2,2013,West Coast,DC1,4.220635572459233,24996494,0.09957626110926002,0.0,0.07377639003471768,Western Cape,18.617562600000003,18.617562600000003
3,2013,Cacadu,DC10,7.712886896884836,-26790628,1.9277644678524326,0.06702914085530322,0.007526277466387821,Eastern Cape,25.6223644,25.6223644
4,2013,Amathole,DC12,3.2030755167424303,-155229824,0.2843294875104912,0.10726626817279897,0.0,Eastern Cape,27.3616476,27.3616476
5,2013,Chris Hani,DC13,2.2477192489224094,-27468688,0.11048274276981689,0.057029928693169474,0.0006105404366008071,Eastern Cape,26.7967849,26.7967849
6,2013,Joe Gqabi,DC14,1.2444259450168935,6168136,0.04798179139025097,0.021372505226925565,0.0,Eastern Cape,26.985242200000002,26.985242200000002
7,2013,O.R.Tambo,DC15,1.123713319047938,-227047014,-0.009961228289624573,0.23680743736621926,0.026369882765300418,Eastern Cape,29.2320784,29.2320784
8,2013,Xhariep,DC16,0.38201025543568073,-13659936,-0.19308642477196789,0.41074169974323765,0.0633035139566922,Free State,25.283758499999998,25.283758499999998
9,2013,Lejweleputswa,DC18,4.0453753923580615,-133802,0.24742802673928796,19.059577599362665,0.0067821838973971685,Free State,26.230461600000005,26.230461600000005
10,2013,Thabo Mofutsanyane,DC19,1.5942448626123258,1778622,0.0159903856770207,0.4262761491064073,0.0,Free State,28.299435,28.299435
11,2013,Cape Winelands,DC2,9.301639661428073,31442012,1.3625464284665423,0.03606094488723723,0.0,Western Cape,19.7591675,19.7591675
12,2013,Fezile Dabi,DC20,5.784442329912323,-30415000,0.7614338108183649,0.021395980558056697,0.023730400558623754,Free State,27.737337300000004,27.737337300000004
13,2013,Ugu,DC21,0.9641679760342033,20613184,0.04451664517339704,0.10524599803440267,0.005519054595868707,KwaZulu-Natal,30.2512728,30.2512728
14,2013,Umgungundlovu,DC22,1.7984113589688402,5837749,0.22328214673864674,0.00034673266337471154,0.1688960868416926,KwaZulu-Natal,30.3435506,30.3435506
15,2013,Uthukela,DC23,0.7992836927953648,60368522,0.08568442859758947,0.4864995627149096,0.007881975867676643,KwaZulu-Natal,29.6035495,29.6035495
16,2013,Umzinyathi,DC24,1.315063053365632,15823622,0.03986944450622402,0.03198903939003473,0.22058885107952983,KwaZulu-Natal,30.619989500000003,30.619989500000003
17,2013,Amajuba,DC25,0.14664592069721014,-5237255,-0.01550216355162622,0.0,0.017142247575007964,KwaZulu-Natal,30.066523600000004,30.066523600000004
18,2013,Zululand,DC26,1.2916147054013265,-40999888,-0.08995659042914027,0.003260386793683496,0.021737768408087693,KwaZulu-Natal,31.445617900000002,31.445617900000002
19,2013,Umkhanyakude,DC27,1.7371199061471005,-32790784,0.2962387573270923,1.912628444412106,0.0,KwaZulu-Natal,32.537274100000005,32.537274100000005
20,2013,Uthungulu,DC28,2.459545802024635,79131592,0.9525468152205451,0.0,0.037487141541843925,KwaZulu-Natal,31.537000300000003,31.537000300000003
21,2013,iLembe,DC29,0.9554576384292389,-7152461,0.006186239157446831,0.03758314280771079,0.0,KwaZulu-Natal,31.171038899999996,31.171038899999996
22,2013,Overberg,DC3,0.8421563349288596,14455567,0.13339843807676066,0.028385852697726473,0.19291181477735467,Western Cape,19.7591675,19.7591675
23,2013,Gert Sibande,DC30,1.5540547691914406,26727961,0.10357927969752358,0.37843230244995385,0.0,Mpumalanga,29.9740534,29.9740534
24,2013,Nkangala,DC31,10.261309301724706,18004019,1.2935577508858735,0.18386729276540228,0.3855623394770718,Mpumalanga,29.6035495,29.6035495
25,2013,Ehlanzeni,DC32,0.5692418253683076,21478110,0.09375648233835623,0.0,0.0,Mpumalanga,31.262636600000004,31.262636600000004
26,2013,Mopani,DC33,1.4445841684531446,-9108909,-0.013572884232679378,0.41916868827905146,0.040632323574213126,Limpopo,30.716043100000004,30.716043100000004
27,2013,Vhembe,DC34,0.7287559703258251,100310713,0.2512550383510495,1.7316902183171339,0.0,Limpopo,29.9740534,29.9740534
28,2013,Capricorn,DC35,1.3451223517911453,-7052777,0.48198430053029023,0.053933691416126604,0.002516393289112885,Limpopo,29.2320784,29.2320784
29,2013,Waterberg,DC36,10.515761811221703,-13754933,0.05403882745468567,5.071040759360632e-05,0.0,Limpopo,28.299435,28.299435
30,2013,Bojanala,DC37,0.12952160738768148,1966669,0.0073468092532718654,0.039007775188740365,0.07158940892030669,North West,27.3616476,27.3616476
31,2013,Ngaka Modiri Molema,DC38,0.26244375798763436,-230544164,-0.3514930956732319,0.08196562983820453,0.0,North West,25.8521764,25.8521764
32,2013,Dr Ruth Segomotsi Mompati,DC39,0.9599364917027987,33940850,0.21039079073114905,0.06662576542350485,0.0010315698260588671,North West,24.3341432,24.3341432
33,2013,Eden,DC4,1.3046092473961028,30211736,0.1128286572280965,2.7968591211943967,0.005957879244426066,Western Cape,22.047636999999998,22.047636999999998
34,2013,Dr Kenneth Kaunda,DC40,4.188882262870055,-32188154,-0.15061729210757935,0.01914760191914748,0.0733482426530404,North West,26.513796399999997,26.513796399999997
35,2013,Sedibeng,DC42,0.29648637524770455,-5576167,-0.015702043366849463,0.00016332339316187423,0.02706519974422708,Gauteng,28.2058768,28.2058768
