,Name,Code,Province,Latitude,Longitude
143,Makhado Local Municipality,LIM344,Limpopo,-23.043121,29.9070436
144,Makhuduthamaga Local Municipality,LIM473,Limpopo,-24.7349678,29.8352303
145,Maluti-a-Phofung Local Municipality,FS194,Free State,-28.4060627,28.9528645
146,Mamusa Local Municipality,NW393,North West,-27.260549,25.3785719
147,Mandeni Local Municipality,KZN291,KwaZulu-Natal,-29.1178615,31.4684703
148,Mantsopa Local Municipality,FS196,Free State,-29.128289,27.2676116
149,Maphumulo Local Municipality,KZN294,KwaZulu-Natal,-29.1254942,31.03351
150,Maquassi Hills Local Municipality,NW404,North West,-27.2867082,26.1359431
151,Maruleng Local Municipality,LIM335,Limpopo,-24.3506041,30.9576681
152,Masilonyana Local Municipality,FS181,Free State,-28.6668694,26.6081653
153,Matatiele Local Municipality,EC441,Eastern Cape,-30.317734,28.7664408
154,Matjhabeng Local Municipality,FS184,Free State,-28.001522,26.8910342
155,Matzikama Local Municipality,WC011,Western Cape,-31.6124893,18.5225709
156,Mbhashe Local Municipality,EC121,Eastern Cape,-32.1620824,28.7664408
157,Mbizana Local Municipality,EC443,Eastern Cape,-30.8563982,29.8566142
158,Mbombela Local Municipality,MP326,Mpumalanga,-25.4752644,30.9693589
159,Merafong City Local Municipality,GT484,Gauteng,-26.3745696,27.4086488
160,Metsimaholo Local Municipality,FS204,Free State,-26.8101339,27.8277881
161,Mhlontlo Local Municipality,EC156,Eastern Cape,-31.1899834,28.8130675
162,Midvaal Local Municipality,GT422,Gauteng,-26.5836999,28.0654445
163,Mkhambathini Local Municipality,KZN226,KwaZulu-Natal,-29.9964144,30.5739579
164,Mkhondo Local Municipality,MP303,Mpumalanga,-26.9916405,30.6199895
165,Mnquma Local Municipality,EC122,Eastern Cape,-32.1774783,28.0186087
166,Modimolle/Mookgophong Local Municipality,LIM368,Limpopo,-24.7029457,28.4046264
167,Mogalakwena Local Municipality,LIM367,Limpopo,-24.1808857,29.0138916
168,Mogale City Local Municipality,GT481,Gauteng,-25.9879912,27.5965403
169,Mohokare Local Municipality,FS163,Free State,-30.3037954,26.9852422
170,Molemole Local Municipality,LIM353,Limpopo,-23.6024301,29.6962677
171,Moqhaka Local Municipality,FS201,Free State,-27.7487985,27.2676116
172,Moretele Local Municipality,NW371,North West,-25.1282834,27.9717606
173,Moses Kotane Local Municipality,NW375,North West,-25.2133321,26.8910342
174,Mossel Bay Local Municipality,WC043,Western Cape,-34.0282385,21.9045541
175,Mpofana Local Municipality,KZN223,KwaZulu-Natal,-29.1888478,30.112735
176,Msinga Local Municipality,KZN244,KwaZulu-Natal,-28.5607794,30.4357631
177,Msukaligwa Local Municipality,MP302,Mpumalanga,-26.4402941,30.0665236
178,Msunduzi Local Municipality,KZN225,KwaZulu-Natal,-29.617891,30.3824842
179,Mthonjaneni Local Municipality,KZN285,KwaZulu-Natal,-28.6125661,31.3998995
180,Mtubatuba Local Municipality,KZN275,KwaZulu-Natal,-28.3187106,32.2880726
181,Musina Local Municipality,LIM341,Limpopo,-22.3952779,29.6962677
182,Nala Local Municipality,FS185,Free State,-27.558897,26.5137964
183,Naledi Local Municipality,NW392,North West,-26.9468463,24.7142918
184,Nama Khoi Local Municipality,NC062,Northern Cape,-29.1251583,17.8583868
185,Ndlambe Local Municipality,EC105,Eastern Cape,-33.5192788,26.749645
186,Ndwedwe Local Municipality,KZN293,KwaZulu-Natal,-29.4839492,30.9417368
187,Newcastle Local Municipality,KZN252,KwaZulu-Natal,-27.7138429,29.9971769
188,Ngqushwa Local Municipality,EC126,Eastern Cape,-33.1901061,27.2676116
189,Ngwathe Local Municipality,FS203,Free State,-27.3890364,27.7373373
190,Nkandla Local Municipality,KZN286,KwaZulu-Natal,-28.6222801,31.0894002
191,Nketoana Local Municipality,FS193,Free State,-27.8009097,28.4318311
192,Nkomazi Local Municipality,MP324,Mpumalanga,-25.7096724,31.7195459
193,Nongoma Local Municipality,KZN265,KwaZulu-Natal,-27.9016066,31.7195459
194,Nqutu Local Municipality,KZN242,KwaZulu-Natal,-28.2195161,30.6746303
195,Ntabankulu Local Municipality,EC444,Eastern Cape,-30.9918701,29.2785638
196,Nyandeni Local Municipality,EC155,Eastern Cape,-31.5697497,29.1390642
197,Okhahlamba Local Municipality,KZN235,KwaZulu-Natal,-28.6596577,29.3250347
198,Oudtshoorn Local Municipality,WC045,Western Cape,-33.6012837,22.1430215
199,Overstrand Local Municipality,WC032,Western Cape,-34.4632005,19.4259114
200,Phokwane Local Municipality,NC094,Northern Cape,-27.773621,24.7617836
201,Phumelela Local Municipality,FS195,Free State,-27.7437854,29.2320784
202,Pixley ka Seme Local Municipality,MP304,Mpumalanga,-27.1662031,29.8815203
203,Polokwane Local Municipality,LIM354,Limpopo,-23.9018525,29.4485367
204,Port St Johns Local Municipality,EC154,Eastern Cape,-31.6225448,29.5457058
205,Prince Albert Local Municipality,WC052,Western Cape,-33.021413,22.047637
206,Ramotshere Moiloa Local Municipality,NW385,North West,-25.5622797,26.10005
207,Rand West City Local Municipality,GT485,Gauteng,-26.1818416,27.6997888
208,Ratlou Local Municipality,NW381,North West,-26.1001373,24.9991464
209,Ray Nkonyeni Local Municipality,KZN216,KwaZulu-Natal,-30.7910992,30.3639319
210,Raymond Mhlaba Local Municipality,EC129,Eastern Cape,-33.575891,26.8927198
211,Renosterberg Local Municipality,NC075,Northern Cape,-30.1696628,24.3341432
212,Richmond Local Municipality,KZN227,KwaZulu-Natal,-29.8992727,30.2974199
213,Richtersveld Local Municipality,NC061,Northern Cape,-28.8656132,17.1011931
214,Rustenburg Local Municipality,NW373,North West,-25.6629882,27.2676116
215,Sakhisizwe Local Municipality,EC138,Eastern Cape,-31.3828253,27.8311428
216,Saldanha Bay Local Municipality,WC014,Western Cape,-33.0197457,18.1903059
217,Senqu Local Municipality,EC142,Eastern Cape,-30.9198587,27.6434844
218,Setsoto Local Municipality,FS191,Free State,-28.5301758,27.6434844
219,Siyancuma Local Municipality,NC078,Northern Cape,-29.0237991,23.4776098
220,Siyathemba Local Municipality,NC077,Northern Cape,-29.3718832,22.5245093
221,Sol Plaatje Local Municipality,NC091,Northern Cape,-28.7552826,24.6667939
222,Stellenbosch Local Municipality,WC024,Western Cape,-33.9405478,18.9502232
223,Steve Tshwete Local Municipality,MP313,Mpumalanga,-25.77257,29.4681751
224,Sundays River Valley Local Municipality,EC106,Eastern Cape,-33.410592,25.5681084
225,Swartland Local Municipality,WC015,Western Cape,-33.1532491,18.6624903
226,Swellendam Local Municipality,WC034,Western Cape,-33.9041305,20.7185132
227,Thaba Chweu Local Municipality,MP321,Mpumalanga,-25.0981115,30.7791913
228,Thabazimbi Local Municipality,LIM361,Limpopo,-24.683767,27.3616476
229,Theewaterskloof Local Municipality,WC031,Western Cape,-34.2313647,19.4252453
230,Thembelihle Local Municipality,NC076,Northern Cape,-29.6526582,23.8584737
231,Thembisile Hani Local Municipality,MP315,Mpumalanga,-25.4528036,28.9062794
232,Thulamela Local Municipality,LIM343,Limpopo,-22.8921825,30.6199895
233,Tokologo Local Municipality,FS182,Free State,-28.5528984,25.4733554
234,Tsantsabane Local Municipality,NC085,Northern Cape,-28.2833588,23.1918021
235,Tswaing Local Municipality,NW382,North West,-26.6610013,25.7575196
236,Tswelopele Local Municipality,FS183,Free State,-28.0223248,25.9467997
237,Ubuhlebezwe Local Municipality,KZN434,KwaZulu-Natal,-30.1669781,30.0665236
238,Ubuntu Local Municipality,NC071,Northern Cape,-31.4297716,23.1918021
239,Ulundi Local Municipality,KZN266,KwaZulu-Natal,-28.3001641,31.442761
240,Umdoni Local Municipality,KZN212,KwaZulu-Natal,-30.3216098,30.6890055
241,uMfolozi Local Municipality,KZN281,KwaZulu-Natal,-28.5919171,32.259717
242,uMhlabuyalingana Local Municipality,KZN271,KwaZulu-Natal,-27.2116325,32.4467238
243,uMhlathuze Local Municipality,KZN282,KwaZulu-Natal,-28.8047159,31.947311
244,uMlalazi Local Municipality,KZN284,KwaZulu-Natal,-28.9238681,31.4913182
245,uMngeni Local Municipality,KZN222,KwaZulu-Natal,-29.44155,30.112735
246,uMshwathi Local Municipality,KZN221,KwaZulu-Natal,-29.4330484,30.5743164
247,Umsobomvu Local Municipality,NC072,Northern Cape,-30.8134774,24.9991464
248,uMuziwabantu Local Municipality,KZN214,KwaZulu-Natal,-30.662238,29.9277947
249,Umvoti Local Municipality,KZN245,KwaZulu-Natal,-29.0204413,30.6199895
250,Umzimkhulu Local Municipality,KZN435,KwaZulu-Natal,-30.2594938,29.6962677
251,Umzimvubu Local Municipality,EC442,Eastern Cape,-30.7781755,28.9528645
252,Umzumbe Local Municipality,KZN213,KwaZulu-Natal,-30.5002776,30.5928401
253,uPhongolo Local Municipality,KZN262,KwaZulu-Natal,-27.4434059,31.5370003
254,Victor Khanye Local Municipality,MP311,Mpumalanga,-26.1633978,28.8130675
255,Walter Sisulu Local Municipality,EC145,Eastern Cape,-30.9945984,26.32916
256,Witzenberg Local Municipality,WC022,Western Cape,-33.4133949,19.2831531
257,Camdeboo Local Municipality,EC101,Eastern Cape,-32.2346329,24.3341432
258,Ikwezi Local Municipality,EC103,Eastern Cape,-32.9404084,24.6192899
259,Baviaans Local Municipality,EC107,Eastern Cape,-33.3967935,24.0488007
260,Nkonkobe Local Municipality,EC127,Eastern Cape,-32.7901018,26.8329144
261,Nxuba Local Municipality,EC128,Eastern Cape,-32.5706576,26.3249438
262,Tsolwana Local Municipality,EC132,Eastern Cape,-31.7678995,26.1359431
263,Inkwanca Local Municipality,EC133,Eastern Cape,-31.5147783,26.5137964
264,Lukhanji Local Municipality,EC134,Eastern Cape,-32.1058375,26.8910342
265,Maletswai Local Municipality,EC143,Eastern Cape,-30.9211564,26.8910342
266,Gariep Local Municipality,EC144,Eastern Cape,-30.8922859,25.8521764
267,Motheo District Municipality,DC17,Free State,-29.3571225,26.6081653
268,Naledi Local Municipality,FS164,Free State,-26.9468463,24.7142918
269,Metsweding District Municipality,DC46,Gauteng,-25.8714724,28.7664408
270,Nokeng tsa Taemane Local Municipality,GT461,Gauteng,-25.4456662,28.5331038
271,Kungwini Local Municipality,GT462,Gauteng,-25.8714724,28.7664408
272,Randfontein Local Municipality,GT482,Gauteng,-26.1991505,27.6786847
273,Westonaria Local Municipality,GT483,Gauteng,-26.3861208,27.666952
274,Ezinqoleni Local Municipality,KZN215,KwaZulu-Natal,-30.7437548,30.182022
275,Hibiscus Coast Local Municipality,KZN216,KwaZulu-Natal,-30.7915932,30.3204873
276,Vulamehlo Local Municipality,KZN211,KwaZulu-Natal,-30.2470163,30.5739579
277,Emnambithi/Ladysmith Local Municipality,KZN232,KwaZulu-Natal,-28.5596901,29.7807856
278,Indaka Local Municipality,KZN233,KwaZulu-Natal,-28.313889,30.107222
279,Umtshezi Local Municipality,KZN234,KwaZulu-Natal,-28.8739412,30.0202964
280,Imbabazane Local Municipality,KZN236,KwaZulu-Natal,-29.1069655,29.6864574
281,Big 5 False Bay Local Municipality,KZN273,KwaZulu-Natal,-27.8744141,32.3107517
282,Hlabisa Local Municipality,KZN274,KwaZulu-Natal,-28.1445916,31.8648002
283,Ntambanana Local Municipality,KZN283,KwaZulu-Natal,-28.5954965,31.7394939
284,Ingwe Local Municipality,KZN431,KwaZulu-Natal,-29.8774769,29.8815203
285,Kwa Sani Local Municipality,KZN432,KwaZulu-Natal,-29.8003549,29.5107708
286,Bohlabela District Municipality,CBDC4,Limpopo,-24.8436762,31.0667489
287,Mutale Local Municipality,LIM342,Limpopo,-22.5108293,30.8039474
288,Aganang Local Municipality,LIM352,Limpopo,-23.6841943,29.0925356
289,Mookgopong Local Municipality,LIM364,Limpopo,-24.4874107,28.7664408
290,Modimolle Local Municipality,LIM365,Limpopo,-24.4284477,28.2058768
291,Fetakgomo Local Municipality,LIM474,Limpopo,-24.3909787,29.8352303
292,Greater Tubatse Local Municipality,LIM475,Limpopo,-24.6865139,30.2512728
293,Umjindi Local Municipality,MP323,Mpumalanga,-25.7460409,31.03351
294,Kagisano Local Municipality,NW391,North West,-26.3773788,23.9536466
295,Molopo Local Municipality,NW395,North West,-25.6594234,23.4776098
296,Ventersdorp Local Municipality,NW401,North West,-26.2622829,26.8910342
297,Tlokwe Local Municipality,NW402,North West,-26.7162699,27.096925
298,Mier Local Municipality,NC081,Northern Cape,-26.2993528,20.2832217
299,Khara Hais Local Municipality,NC083,Northern Cape,-28.457463,21.242665
