,mun_name,mun_code,label,total_amount,Province,Latitude,Longitude
2013,Gert Sibande,DC30,unauthorised,0.0,Mpumalanga,29.9740534,29.9740534
2013,Nkangala,DC31,fruitless,67590000.0,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,irregular,0.0,Mpumalanga,29.6035495,29.6035495
2013,Nkangala,DC31,unauthorised,0.0,Mpumalanga,29.6035495,29.6035495
2013,Ehlanzeni,DC32,fruitless,0.0,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,irregular,0.0,Mpumalanga,31.2626366,31.2626366
2013,Ehlanzeni,DC32,unauthorised,0.0,Mpumalanga,31.2626366,31.2626366
2013,Mopani,DC33,fruitless,1510000.0,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,irregular,159260000.0,Limpopo,30.7160431,30.7160431
2013,Mopani,DC33,unauthorised,157216000.0,Limpopo,30.7160431,30.7160431
2013,Vhembe,DC34,fruitless,2091000.0,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,irregular,726244000.0,Limpopo,29.9740534,29.9740534
2013,Vhembe,DC34,unauthorised,5754000.0,Limpopo,29.9740534,29.9740534
2013,Capricorn,DC35,fruitless,97000.0,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,irregular,9504000.0,Limpopo,29.2320784,29.2320784
2013,Capricorn,DC35,unauthorised,18059000.0,Limpopo,29.2320784,29.2320784
2013,Waterberg,DC36,fruitless,6000.0,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,irregular,0.0,Limpopo,28.299435,28.299435
2013,Waterberg,DC36,unauthorised,0.0,Limpopo,28.299435,28.299435
2013,Bojanala,DC37,fruitless,0.0,North West,27.3616476,27.3616476
2013,Bojanala,DC37,irregular,3050000.0,North West,27.3616476,27.3616476
2013,Bojanala,DC37,unauthorised,7392000.0,North West,27.3616476,27.3616476
2013,Ngaka Modiri Molema,DC38,fruitless,0.0,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,irregular,0.0,North West,25.8521764,25.8521764
2013,Ngaka Modiri Molema,DC38,unauthorised,53781000.0,North West,25.8521764,25.8521764
2013,Dr Ruth Segomotsi Mompati,DC39,fruitless,0.0,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,irregular,16509000.0,North West,24.3341432,24.3341432
2013,Dr Ruth Segomotsi Mompati,DC39,unauthorised,6079000.0,North West,24.3341432,24.3341432
2013,Eden,DC4,fruitless,726043000.0,Western Cape,22.047637,22.047637
2013,Eden,DC4,irregular,8872000.0,Western Cape,22.047637,22.047637
2013,Eden,DC4,unauthorised,14015000.0,Western Cape,22.047637,22.047637
2013,Dr Kenneth Kaunda,DC40,fruitless,25000.0,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,irregular,4067000.0,North West,26.5137964,26.5137964
2013,Dr Kenneth Kaunda,DC40,unauthorised,0.0,North West,26.5137964,26.5137964
2013,Sedibeng,DC42,fruitless,58000.0,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,irregular,0.0,Gauteng,28.2058768,28.2058768
2013,Sedibeng,DC42,unauthorised,0.0,Gauteng,28.2058768,28.2058768
2013,Harry Gwala,DC43,fruitless,26050000.0,KwaZulu-Natal,29.6035495,29.6035495
2013,Harry Gwala,DC43,irregular,187117000.0,KwaZulu-Natal,29.6035495,29.6035495
2013,Harry Gwala,DC43,unauthorised,164918000.0,KwaZulu-Natal,29.6035495,29.6035495
2013,Alfred Nzo,DC44,fruitless,504000.0,Eastern Cape,28.8596804,28.8596804
2013,Alfred Nzo,DC44,irregular,0.0,Eastern Cape,28.8596804,28.8596804
2013,Alfred Nzo,DC44,unauthorised,127000.0,Eastern Cape,28.8596804,28.8596804
2013,John Taolo Gaetsewe,DC45,fruitless,104000.0,Northern Cape,23.1918021,23.1918021
2013,John Taolo Gaetsewe,DC45,irregular,48000.0,Northern Cape,23.1918021,23.1918021
2013,John Taolo Gaetsewe,DC45,unauthorised,385000.0,Northern Cape,23.1918021,23.1918021
2013,Sekhukhune,DC47,fruitless,285966000.0,Limpopo,29.9740534,29.9740534
2013,Sekhukhune,DC47,irregular,115843000.0,Limpopo,29.9740534,29.9740534
2013,Sekhukhune,DC47,unauthorised,0.0,Limpopo,29.9740534,29.9740534
2013,West Rand,DC48,fruitless,2000.0,Gauteng,27.4556388,27.4556388
2013,West Rand,DC48,irregular,3958000.0,Gauteng,27.4556388,27.4556388
2013,West Rand,DC48,unauthorised,0.0,Gauteng,27.4556388,27.4556388
2013,Central Karoo,DC5,fruitless,0.0,Western Cape,22.2384017,22.2384017
2013,Central Karoo,DC5,irregular,2813000.0,Western Cape,22.2384017,22.2384017
2013,Central Karoo,DC5,unauthorised,491000.0,Western Cape,22.2384017,22.2384017
2013,Namakwa,DC6,fruitless,0.0,Northern Cape,19.949686,19.949686
2013,Namakwa,DC6,irregular,2662000.0,Northern Cape,19.949686,19.949686
2013,Namakwa,DC6,unauthorised,3728000.0,Northern Cape,19.949686,19.949686
2013,Pixley ka Seme,DC7,fruitless,471000.0,Northern Cape,23.3823545,23.3823545
2013,Pixley ka Seme,DC7,irregular,31476000.0,Northern Cape,23.3823545,23.3823545
2013,Pixley ka Seme,DC7,unauthorised,661000.0,Northern Cape,23.3823545,23.3823545
2013,Z F Mgcawu,DC8,fruitless,0.0,Northern Cape,21.246215,21.246215
2013,Z F Mgcawu,DC8,irregular,3960000.0,Northern Cape,21.246215,21.246215
2013,Z F Mgcawu,DC8,unauthorised,0.0,Northern Cape,21.246215,21.246215
2013,Frances Baard,DC9,fruitless,182000.0,Northern Cape,24.3341432,24.3341432
2013,Frances Baard,DC9,irregular,184000.0,Northern Cape,24.3341432,24.3341432
2013,Frances Baard,DC9,unauthorised,1000000.0,Northern Cape,24.3341432,24.3341432
2013,Dr Beyers Naude,EC101,fruitless,39000.0,Eastern Cape,24.371068,24.371068
2013,Dr Beyers Naude,EC101,irregular,1279000.0,Eastern Cape,24.3341432,24.3341432
2013,Dr Beyers Naude,EC101,unauthorised,15196000.0,Eastern Cape,24.371068,24.371068
2013,Blue Crane Route,EC102,fruitless,15000.0,Eastern Cape,24.3341432,24.3341432
2013,Blue Crane Route,EC102,irregular,21480000.0,Eastern Cape,24.371068,24.371068
2013,Blue Crane Route,EC102,unauthorised,357000.0,Eastern Cape,24.3341432,24.3341432
2013,Ikwezi,EC103,fruitless,149000.0,Eastern Cape,25.4733554,25.4733554
2013,Ikwezi,EC103,irregular,9579000.0,Eastern Cape,25.4733554,25.4733554
2013,Ikwezi,EC103,unauthorised,10443000.0,Eastern Cape,25.4733554,25.4733554
2013,Makana,EC104,fruitless,174000.0,Eastern Cape,24.6192899,24.6192899
2013,Makana,EC104,irregular,43799000.0,Eastern Cape,24.6192899,24.6192899
2013,Makana,EC104,unauthorised,140601000.0,Eastern Cape,24.6192899,24.6192899
2013,Ndlambe,EC105,fruitless,0.0,Eastern Cape,26.3249438,26.3249438
2013,Ndlambe,EC105,irregular,16200000.0,Eastern Cape,26.3249438,26.3249438
2013,Ndlambe,EC105,unauthorised,62531000.0,Eastern Cape,26.3249438,26.3249438
