,mun_name,mun_code,account_type,label,total_amount,Province,Latitude,Longitude
2013,Xhariep,DC16,AUDA,Total Net Assets and Liabilities,24418612,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Total Non-Current Assets,21628547,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Total Current Assets,2790065,Free State,25.2837585,25.2837585
2013,Xhariep,DC16,AUDA,Total Assets,24418612,Free State,25.2837585,25.2837585
2013,Lejweleputswa,DC18,AUDA,Total Community Wealth / Equity,87569048,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total Non-Current Liabilities,20544686,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total Current Liabilities,10268363,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total Net Assets and Liabilities,118382097,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total Non-Current Assets,76842714,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total Current Assets,41539383,Free State,26.2304616,26.2304616
2013,Lejweleputswa,DC18,AUDA,Total Assets,118382097,Free State,26.2304616,26.2304616
2013,Thabo Mofutsanyane,DC19,AUDA,Total Community Wealth / Equity,16902721,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total Non-Current Liabilities,1942000,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total Current Liabilities,28404222,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total Net Assets and Liabilities,47248943,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total Non-Current Assets,1965658,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total Current Assets,45283285,Free State,28.299435,28.299435
2013,Thabo Mofutsanyane,DC19,AUDA,Total Assets,47248943,Free State,28.299435,28.299435
2013,Cape Winelands,DC2,AUDA,Total Community Wealth / Equity,463764213,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total Non-Current Liabilities,140276932,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total Current Liabilities,47200842,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total Net Assets and Liabilities,651241987,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total Non-Current Assets,212196763,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total Current Assets,439045224,Western Cape,19.7591675,19.7591675
2013,Cape Winelands,DC2,AUDA,Total Assets,651241987,Western Cape,19.7591675,19.7591675
2013,Fezile Dabi,DC20,AUDA,Total Community Wealth / Equity,142135000,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total Non-Current Liabilities,30158000,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total Current Liabilities,29426000,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total Net Assets and Liabilities,201719000,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total Non-Current Assets,31506000,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total Current Assets,170213000,Free State,27.7373373,27.7373373
2013,Fezile Dabi,DC20,AUDA,Total Assets,201719000,Free State,27.7373373,27.7373373
2013,Ugu,DC21,AUDA,Total Community Wealth / Equity,1813203708,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total Non-Current Liabilities,218660913,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total Current Liabilities,221760373,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total Net Assets and Liabilities,2253624994,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total Non-Current Assets,2039810744,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total Current Assets,213814250,KwaZulu-Natal,30.2512728,30.2512728
2013,Ugu,DC21,AUDA,Total Assets,2253624994,KwaZulu-Natal,30.2512728,30.2512728
2013,Umgungundlovu,DC22,AUDA,Total Community Wealth / Equity,787503015,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Total Non-Current Liabilities,9953749,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Total Current Liabilities,146225104,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Total Net Assets and Liabilities,943681868,KwaZulu-Natal,30.3435506,30.3435506
2013,Umgungundlovu,DC22,AUDA,Total Non-Current Assets,680708980,KwaZulu-Natal,30.3435506,30.3435506
