,date,mun_code,mun_name,Province,Latitude,Longitude,Property_rates,Property_rates_PENALTIES,Service_Charges,Rent_Faciliites_Equip,Interest_Earned_Ex,Interest_Earned_De,Dividends_Rec,Fines,Licence_permits,Agency_Services,Transfers_Operating,Transfers_Capital,other_rev,PPE_disposal_gain,revenue_foregone,Total_rev
24,2013,DC31,Nkangala,Mpumalanga,29.6035495,29.6035495,0,0,0,129828,29655700,1025,0,0,0,0,303181428,0,4588407,0,0,337556388
25,2013,DC32,Ehlanzeni,Mpumalanga,31.262636600000004,31.262636600000004,0,0,0,73000,2008000,0,0,0,0,0,206099000,0,1370000,0,0,209550000
26,2013,DC33,Mopani,Limpopo,30.716043100000004,30.716043100000004,0,0,165015010,0,676173,13927967,0,0,0,0,489709354,259353516,12907778,0,0,941589798
27,2013,DC34,Vhembe,Limpopo,29.9740534,29.9740534,0,0,41338565,0,6200000,0,0,0,0,0,606805864,513175223,154786094,0,0,1322305746
28,2013,DC35,Capricorn,Limpopo,29.2320784,29.2320784,0,0,29333307,0,17954137,5443619,0,0,0,0,402161999,267995485,29035012,253325,0,752176884
29,2013,DC36,Waterberg,Limpopo,28.299435,28.299435,0,0,718952,0,6176944,112122,0,0,0,22817,93442364,0,1093209,22540,0,101588948
30,2013,DC37,Bojanala,North West,27.3616476,27.3616476,0,0,0,0,1586309,0,0,0,0,0,249305000,0,145588,0,0,251036897
31,2013,DC38,Ngaka Modiri Molema,North West,25.8521764,25.8521764,0,0,0,0,8574729,0,0,0,0,0,360483482,292032174,3161197,0,0,664251582
32,2013,DC39,Dr Ruth Segomotsi Mompati,North West,24.3341432,24.3341432,0,0,0,465000,3781000,0,0,0,0,0,161350000,228392000,530000,0,0,394518000
33,2013,DC4,Eden,Western Cape,22.047636999999998,22.047636999999998,0,0,0,1774763,3432586,0,0,0,208295,14148470,138082436,11000,125096000,134000,0,282887550
34,2013,DC40,Dr Kenneth Kaunda,North West,26.513796399999997,26.513796399999997,0,0,0,0,10751734,0,1775,0,0,0,158451620,943830,761741,20885,0,170931585
35,2013,DC42,Sedibeng,Gauteng,28.2058768,28.2058768,0,0,0,7926622,2115595,0,0,0,62151875,7246453,259626688,0,2282472,0,0,341349705
36,2013,DC43,Harry Gwala,KwaZulu-Natal,29.6035495,29.6035495,0,0,39865234,0,2987674,0,0,0,0,0,208927016,246502333,2209606,0,0,500491863
37,2013,DC44,Alfred Nzo,Eastern Cape,28.859680400000002,28.859680400000002,0,0,13720324,330331,12029844,0,0,0,0,52639,744424785,0,1229310,112802,0,771900035
38,2013,DC45,John Taolo Gaetsewe,Northern Cape,23.1918021,23.1918021,0,0,0,77000,1847640,0,0,0,0,0,58580810,0,6673830,0,0,67179280
39,2013,DC47,Sekhukhune,Limpopo,29.9740534,29.9740534,0,0,40454000,0,11381921,4296416,0,0,0,0,376085956,532768178,2456729,0,0,967443200
40,2013,DC48,West Rand,Gauteng,27.455638800000003,27.455638800000003,0,0,2972111,1952896,5842377,429000,0,0,182589,24837750,180319128,0,23669398,0,0,240205249
41,2013,DC5,Central Karoo,Western Cape,22.2384017,22.2384017,0,0,0,48423,98956,0,0,0,0,2892849,20217922,0,28651603,10550,0,51920303
42,2013,DC6,Namakwa,Northern Cape,19.949686,19.949686,0,0,0,571610,3065503,61165,0,0,0,1914183,37269056,0,1123835,0,0,44005352
43,2013,DC7,Pixley ka Seme,Northern Cape,23.3823545,23.3823545,0,0,0,155323,506237,0,0,0,0,0,35888727,0,2712037,0,0,39262324
44,2013,DC8,Z F Mgcawu,Northern Cape,21.246215,21.246215,0,0,0,141070,300287,5279,0,0,0,0,49905426,8985078,2516745,0,0,61853885
45,2013,DC9,Frances Baard,Northern Cape,24.3341432,24.3341432,0,0,0,596421,5672199,0,0,0,0,0,94578831,0,1073235,0,0,101920686
46,2013,EC101,Dr Beyers Naude,Eastern Cape,24.3341432,24.3341432,16867183,0,90869959,623317,2101264,3551530,0,93997,1823836,0,41319468,10633066,1612443,0,0,169496063
47,2013,EC102,Blue Crane Route,Eastern Cape,24.371068,24.371068,8001704,0,79163628,85567,1628930,2196443,0,75577,740723,614458,54200064,24136280,8985080,0,0,179828454
48,2013,EC103,Ikwezi,Eastern Cape,25.4733554,25.4733554,1392245,189438,10073540,9321,116524,608881,0,0,205485,0,18094267,12390941,513077,6000,0,43599719
49,2013,EC104,Makana,Eastern Cape,24.6192899,24.6192899,38084464,0,166252776,1058985,9710615,1325220,0,995661,2410544,1006407,74354089,59398055,1716767,0,0,356313583
50,2013,EC105,Ndlambe,Eastern Cape,26.324943800000003,26.324943800000003,50404000,0,84221792,3436913,1202527,4602000,0,510927,3189776,0,84571292,65335602,6321182,-117000,0,303679011
51,2013,EC106,Sundays River Valley,Eastern Cape,26.749645,26.749645,13014347,0,38375915,114658,285441,4649043,0,1907308,1327117,1577044,42787003,22964712,2255173,0,0,129257761
52,2013,EC107,Baviaans,Eastern Cape,25.568108399999996,25.568108399999996,3081737,0,15733045,115974,112422,367926,0,3800,0,648264,26570000,23518325,556291,7018,0,70714802
53,2013,EC108,Kouga,Eastern Cape,24.048800699999997,24.048800699999997,113455498,0,262119663,675855,1236465,6455937,0,1069986,7745867,0,66919596,27901999,11984148,180045,0,499745059
54,2013,EC109,Kou-Kamma,Eastern Cape,24.8092691,24.8092691,13443080,0,17684104,130775,597258,0,0,485531,0,1361505,61314205,13208977,1735838,0,0,109961273
55,2013,EC121,Mbhashe,Eastern Cape,24.048800699999997,24.048800699999997,4710025,0,916485,537274,3626340,0,0,619629,0,0,137664283,28222412,1271985,0,0,177568433
56,2013,EC122,Mnquma,Eastern Cape,28.766440799999998,28.766440799999998,11118819,0,3436176,2168314,3323411,2461889,0,1384495,1013057,2594106,154524527,60826719,20789989,636840,0,264278342
57,2013,EC123,Great Kei,Eastern Cape,28.0186087,28.0186087,12638208,0,6788106,104333,1491176,0,0,28550,2169467,0,34697564,14594357,2797297,0,0,75309058
58,2013,EC124,Amahlathi,Eastern Cape,27.971760600000003,27.971760600000003,8630427,0,34628397,300850,7812655,2225667,0,118791,0,2491292,95385040,18869976,46419054,0,0,216882149
59,2013,EC126,Ngqushwa,Eastern Cape,27.267611600000002,27.267611600000002,23669076,0,451021,72287,961438,2958196,0,0,1543845,230501,65986655,13819333,530842,1197257,0,111420451
60,2013,EC127,Nkonkobe,Eastern Cape,27.267611600000002,27.267611600000002,19393434,0,38553232,263835,899972,1817417,0,113130,2391312,801000,90220641,26315000,1397395,0,0,182166368
61,2013,EC128,Nxuba,Eastern Cape,26.832914399999996,26.832914399999996,3093783,0,18912263,116908,2707673,0,0,28900,1953220,209631,24791784,10183803,5718178,0,0,67716143
62,2013,EC131,Inxuba Yethemba,Eastern Cape,26.324943800000003,26.324943800000003,21776883,808646,88076402,1817160,6748270,0,0,176703,1444644,0,0,17263780,0,2095795,0,140208283
63,2013,EC132,Tsolwana,Eastern Cape,25.378571899999997,25.378571899999997,1509757,0,9783109,59874,300186,1367316,0,3000,0,7408005,31722272,13347219,321013,338,0,65822089
64,2013,EC133,Inkwanca,Eastern Cape,26.135943100000002,26.135943100000002,4881197,0,13698211,121217,46271,2343665,0,51308,0,6047152,21626944,12445231,3398213,0,0,64659409
65,2013,EC134,Lukanji,Eastern Cape,26.513796399999997,26.513796399999997,62700060,0,222475845,2491287,8326297,19436342,0,382581,7550,8060108,159975032,43692000,8904521,520175,0,536971798
66,2013,EC135,Intsika Yethu,Eastern Cape,26.8910342,26.8910342,8987332,0,4258163,885378,41874,0,0,0,1123773,512904,167227042,0,2434856,283015,0,185754337
67,2013,EC136,Emalahleni,Eastern Cape,27.6434844,27.6434844,3193711,0,14913989,896762,2861731,6439725,0,1000,352691,92647,85415248,20792761,21434147,0,0,156394412
68,2013,EC137,Engcobo,Eastern Cape,29.2553229,29.2553229,2893382,0,2704504,177080,2267282,0,0,34970,3623860,0,103266013,54831699,432776,0,0,170231566
69,2013,EC138,Sakhisizwe,Eastern Cape,27.983473800000002,27.983473800000002,3683699,0,11934152,167416,530330,4238688,381530,31550,0,10444970,33027000,26942686,1476078,0,0,92858099
70,2013,EC141,Elundini,Eastern Cape,27.831142800000002,27.831142800000002,14126128,0,18335328,1023089,1833624,2827490,0,63804,2009772,1217607,81474558,30363179,1603261,333946,0,155211786
71,2013,EC142,Senqu,Eastern Cape,28.3929417,28.3929417,4311689,0,25267381,423707,7476031,1092245,0,65462,1749913,1618736,103398274,20143049,5844349,0,0,171390836
72,2013,EC143,Maletswai,Eastern Cape,27.6434844,27.6434844,9577682,0,49652695,1832518,153641,262432,0,251869,2363595,4566160,30899150,15677662,3047188,29001,0,118313593
73,2013,EC144,Gariep,Eastern Cape,26.8910342,26.8910342,6292100,0,20859133,131843,87353,6064619,0,22218,1156336,8420928,33953853,12044000,235904,0,0,89268287
