date,mun_code,efficient_measure,wellfare_measure,profile,province
2012,JHB,0.9998487674,0.705571209,1,Gauteng
2012,KZN211,0.9988421456,0.137627185,2,KwaZulu-Natal
2012,KZN212,0.9996045568,0.423631368,2,KwaZulu-Natal
2012,KZN213,0.999341936,0.163696435,2,KwaZulu-Natal
2012,KZN214,0.9991210076,0.195796584,2,KwaZulu-Natal
2012,KZN215,0.9994892944,0.230456816,2,KwaZulu-Natal
2012,KZN216,0.9995310146,0.40163107,2,KwaZulu-Natal
2012,KZN221,0.9999758408,0.34780786,2,KwaZulu-Natal
2012,KZN222,1.0,0.605455865,1,KwaZulu-Natal
2012,KZN223,1.0,0.396058203,2,KwaZulu-Natal
2012,KZN224,0.9998765576,0.269331163,2,KwaZulu-Natal
2012,KZN225,0.9999512092,0.601191534,1,KwaZulu-Natal
2012,KZN226,0.9999151684,0.318003798,2,KwaZulu-Natal
2012,KZN227,0.9999966739,0.308575322,2,KwaZulu-Natal
2012,KZN232,0.9998981561,0.464493907,2,KwaZulu-Natal
2012,KZN233,0.9990439448,0.267951237,2,KwaZulu-Natal
2012,KZN234,1.0,0.393888628,2,KwaZulu-Natal
2012,KZN235,0.9985576744,0.223229441,2,KwaZulu-Natal
2012,KZN236,0.9999993124,0.168681049,2,KwaZulu-Natal
2012,KZN241,0.9998139553,0.55602243,1,KwaZulu-Natal
2012,KZN242,0.9997544248,0.230998403,2,KwaZulu-Natal
2012,KZN244,0.9994833155,0.108787589,2,KwaZulu-Natal
2012,KZN245,1.0,0.237195056,2,KwaZulu-Natal
2012,KZN252,0.9999348696,0.590119459,1,KwaZulu-Natal
2012,KZN253,0.9999950379,0.226222423,2,KwaZulu-Natal
2012,KZN254,1.0,0.319387383,2,KwaZulu-Natal
2012,KZN261,0.996722187,0.290111406,2,KwaZulu-Natal
2012,KZN262,0.9995406264,0.303892511,2,KwaZulu-Natal
2012,KZN263,0.9996064057,0.429414515,2,KwaZulu-Natal
2012,KZN265,0.9980234656,0.250833701,2,KwaZulu-Natal
2012,KZN266,0.9998109992,0.318480203,2,KwaZulu-Natal
2012,KZN271,0.9975971135,0.113605052,2,KwaZulu-Natal
2012,KZN272,0.9970570381,0.155775646,2,KwaZulu-Natal
2012,KZN273,0.9990987717,0.204504908,2,KwaZulu-Natal
2012,KZN274,0.9986803701,0.18346862,2,KwaZulu-Natal
2012,KZN275,0.9991548118,0.307443353,2,KwaZulu-Natal
2012,KZN281,0.9995345128,0.318850782,2,KwaZulu-Natal
2012,KZN282,1.0,0.605877913,1,KwaZulu-Natal
2012,KZN283,1.0,0.195505988,2,KwaZulu-Natal
2012,KZN284,0.9999104406,0.266423736,2,KwaZulu-Natal
2012,KZN285,0.9998815471,0.269725849,2,KwaZulu-Natal
2012,KZN286,0.9978301218,0.217430866,2,KwaZulu-Natal
2012,KZN291,1.0,0.381279343,2,KwaZulu-Natal
2012,KZN292,0.9998497399,0.432518184,2,KwaZulu-Natal
2012,KZN293,0.9995566999,0.209517717,2,KwaZulu-Natal
2012,KZN294,0.9987443904,0.137163337,2,KwaZulu-Natal
2012,KZN431,0.9997180723,0.153395638,2,KwaZulu-Natal
2012,KZN432,0.9974554152,0.338949879,2,KwaZulu-Natal
2012,KZN433,0.9990356346,0.538938755,1,KwaZulu-Natal
2012,KZN434,0.9999887981,0.129693148,2,KwaZulu-Natal
2012,KZN435,0.9996079059,0.164096014,2,KwaZulu-Natal
2012,LIM331,0.9998631568,0.190041147,2,Limpopo
2012,LIM332,0.9978689356,0.212933092,2,Limpopo
2012,LIM333,0.9995275411,0.270043402,2,Limpopo
2012,LIM334,0.9988990233,0.466992056,2,Limpopo
2012,LIM335,0.9984515117,0.188822688,2,Limpopo
2012,LIM341,0.9982505125,0.548149806,1,Limpopo
2012,LIM342,0.9987023441,0.115007101,2,Limpopo
2012,LIM343,0.9996303743,0.239445889,2,Limpopo
2012,LIM344,0.999612346,0.227599913,2,Limpopo
